audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
5a932187-audio_SP16,H1,i,235813.36379892007,58726.094103410534,24.90363275318304,177087.26969550952,75.09636724681695
5a932187-audio_SP16,H1,e,156520.2823922513,123760.00975920429,79.06963102012085,32760.272633047018,20.93036897987915
5a932187-audio_SP16,H1,a,152388.5215500789,86170.16778619573,56.54636380068687,66218.35376388318,43.45363619931313
5a932187-audio_SP16,H1,o,264386.7854452324,247134.3885064725,93.47456155582566,17252.39693875992,6.525438444174339
5a932187-audio_SP16,H1,u,315179.8987316719,194504.93706795634,61.71235470620794,120674.96166371557,38.28764529379206
5a932187-audio_SP16,H2,i,216052.07628674823,61141.12687697967,28.299254479661684,154910.94940976857,71.70074552033833
5a932187-audio_SP16,H2,e,163793.41476872587,127189.74521951264,77.65253896141239,36603.66954921323,22.347461038587614
5a932187-audio_SP16,H2,a,161231.34628766924,97028.92435060354,60.179938073260494,64202.421937065694,39.8200619267395
5a932187-audio_SP16,H2,o,353734.99903529417,306280.21591925295,86.58465143526655,47454.78311604122,13.415348564733447
5a932187-audio_SP16,H2,u,332409.54667826416,236256.623683316,71.07395862850666,96152.92299494817,28.926041371493344
