half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,387,326.65704483741587,2059.94905194592,339.34874579920347,2096.1805192044576,85.48840501358274,277.79744364715395,83.78666164862028,361.4384808388013,232.2445842449102,176.92691041505046
H1,e,458,415.51913071388924,1789.838914650853,412.10654781909545,1781.0373029202437,59.76948592873704,165.39677044977174,68.55354359971972,194.7023380654316,143.95541376048018,117.35024792402155
H1,a,418,552.2254200542291,1446.4208819874457,556.9156946004562,1467.9813371263663,100.4488432581414,148.2460949410574,121.39438606927666,185.6606687350661,152.09096361817828,135.16695668655058
H1,o,430,447.9392539231066,1083.8674537344577,442.9668067619925,1105.7989282893584,69.29160314923978,188.32125831963054,82.7674260596176,211.5836341472177,159.8653388085467,132.91937441948528
H1,u,71,365.4098193150416,1021.6152495506363,366.73897811459346,1099.1447338821374,66.06706611047109,411.0275314316028,82.3574092911415,397.8746881410432,290.2792189742621,208.57187164427683
H2,i,308,327.6661225127273,2038.2420898288908,335.40648885552446,2047.8646757436468,90.30252484457243,328.9737643806025,80.84882666110457,330.4217279801587,255.22973785610822,186.7482037010726
H2,e,327,427.1019096473474,1778.5395484881867,428.61665099850336,1782.738933418713,73.07446954185399,192.21783079323535,71.09410929884291,212.58890754731488,162.5806507855341,130.13227348050262
H2,a,405,565.5353056449993,1441.478284096706,570.6273449042757,1451.7457730888298,129.97831996363286,152.53286086061817,123.07394552815032,201.4260378558713,167.82969510778318,140.63327727177034
H2,o,442,446.484144161346,1095.1324494860196,441.5535495123698,1109.0963785440997,79.01058540832035,203.83657869678183,86.11364927457669,233.22235678409538,171.2586928149477,141.16241241085174
H2,u,102,376.10419743583867,1016.2089820891018,388.91470280562805,1054.5800239949199,75.52143043245235,328.38950753344164,97.64637572751622,330.40429838892044,244.7048933591082,171.7694061719003
