half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,284.35181830942753,193.2106467848527,1.471719198922117,True
H1,i,u,i-u,1039.0567177620103,262.8683813997024,3.9527641636826645,True
H1,e,a,e-a,369.62758920785365,148.07907071098379,2.496150113808328,True
H1,a,o,a-o,377.2540162600294,156.02658069488908,2.4178829951913894,True
H1,o,u,o-u,103.37526059203462,234.3277101845608,0.44115679067838104,True
H2,i,e,i-e,278.0879100966124,213.9797736889465,1.299599047622404,True
H2,i,u,i-u,1023.1802971219237,250.0227028891479,4.092349555854411,True
H2,e,a,e-a,364.38180673659656,165.22601878914114,2.2053536689134594,True
H2,a,o,a-o,366.2357385657219,169.55286258960075,2.1600091733761406,True
H2,o,u,o-u,105.74616119291328,211.1989875669118,0.5006944512904491,True
