half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,284.35181830942753,232.2445842449102,193.2106467848527,1.471719198922117,0.6794774442926322,0.05367697958789333,0.1974225607311788,387
H1,e,i,284.35181830942753,143.95541376048018,193.2106467848527,1.471719198922117,0.6794774442926322,0.27579243024320294,0.3932723676930241,458
H1,a,e,369.62758920785365,152.09096361817828,148.07907071098379,2.496150113808328,0.40061693183761266,0.2671652478012432,0.36543317746798304,418
H1,o,u,103.37526059203462,159.8653388085467,234.3277101845608,0.44115679067838104,2.266767782180725,0.19437398681924783,0.2783744777250324,430
H1,u,o,103.37526059203462,290.2792189742621,234.3277101845608,0.44115679067838104,2.266767782180725,-0.2341198907100669,-0.24054572221350465,71
H2,i,e,278.0879100966124,255.22973785610822,213.9797736889465,1.299599047622404,0.769468092354703,0.018143823745834887,0.14635910226175824,308
H2,e,i,278.0879100966124,162.5806507855341,213.9797736889465,1.299599047622404,0.769468092354703,0.24319744678616484,0.37069754248313896,327
H2,a,e,364.38180673659656,167.82969510778318,165.22601878914114,2.2053536689134594,0.4534420098218003,0.24905834462679324,0.3464105843262345,405
H2,o,u,105.74616119291328,171.2586928149477,211.1989875669118,0.5006944512904491,1.9972260475878683,0.18168692874805742,0.2702703158986229,442
H2,u,o,105.74616119291328,244.7048933591082,211.1989875669118,0.5006944512904491,1.9972260475878683,-0.24408915773496007,-0.2537476397681738,102
