center_f1,center_f2,cov_00_f2,cov_01,cov_11_f1,det_cov,region_level,chi2_q,width_f2_axis,height_f1_axis,angle_degrees,ellipse_area_analytic,raw_n_tokens,filtered_n_tokens,removed_outliers,removed_outliers_percent,audio,half,vowel
325.15294283458127,2060.207124700421,71229.64047857524,-4629.4268978773825,3682.7466953091407,240889129.6777407,0.8,3.218875824868201,959.7831315981284,208.2090980923321,176.09746875889866,156950.49766605135,387,377,10,2.5839793281653747,713a2f9b-Audio_SP16,H1,i
415.5854242961224,1789.4421889969171,24802.97667598758,-1344.9890103929963,2928.574118038764,70828360.10553853,0.8,3.218875824868201,566.0491200548223,191.43162600036908,176.49465983547586,85105.5120744871,458,451,7,1.5283842794759825,713a2f9b-Audio_SP16,H1,e
552.3557097867223,1446.679684952732,19255.747179430356,-138.21108336532177,7708.923164165487,148421973.17126018,0.8,3.218875824868201,497.9445086298077,315.0158223067282,179.31432231701464,123197.86916590475,418,409,9,2.15311004784689,713a2f9b-Audio_SP16,H1,a
447.29307379095803,1080.2612996772946,27437.60746349953,2433.2314679741758,4529.3835917187835,118354833.66445567,0.8,3.218875824868201,597.1297615924121,234.57865765297157,-174.00338659481935,110013.78216549393,430,422,8,1.8604651162790697,713a2f9b-Audio_SP16,H1,o
365.24239482538655,1006.625875800474,81959.69262371228,-2971.2588598015745,3681.568553574166,292911847.8121142,0.8,3.218875824868201,1027.970006476336,214.36419160905933,177.82934657797867,173070.30742788833,71,67,4,5.633802816901409,713a2f9b-Audio_SP16,H1,u
327.4472869084126,2040.6571720932848,83590.74024660957,-1351.8915647667384,4065.35719461021,337998606.46145946,0.8,3.218875824868201,1037.578269086301,228.13966630818686,179.02637556125165,185913.76701798206,308,293,15,4.870129870129871,713a2f9b-Audio_SP16,H2,i
426.26932266642467,1778.778176518595,31327.798858484923,-1710.7212265967546,3693.8892043341825,112794850.8837815,0.8,3.218875824868201,636.1757387945306,214.9471785699172,176.47097328652075,107398.6279282271,327,316,11,3.3639143730886847,713a2f9b-Audio_SP16,H2,e
565.0788588954574,1437.8491137136696,22163.504877101117,1.2008244651269495,10533.573764994446,233460912.07177925,0.8,3.218875824868201,534.1968567573317,368.2730809739017,-179.99408404296238,154511.63380691022,405,390,15,3.7037037037037033,713a2f9b-Audio_SP16,H2,a
446.37243572497,1093.764224976753,33678.053256348714,2235.8898985470387,5235.021533538947,171306130.36623225,0.8,3.218875824868201,660.2053436551529,255.25345650747224,-175.5325813282558,132355.05971324028,442,433,9,2.0361990950226243,713a2f9b-Audio_SP16,H2,o
376.3049870369277,1012.7689625781852,72193.5272465842,1847.9575484035656,4324.0018045253455,308749994.9885782,0.8,3.218875824868201,964.4559954027594,234.5769185080657,-178.44148472086462,177687.78575383223,102,99,3,2.941176470588235,713a2f9b-Audio_SP16,H2,u
