audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
713a2f9b-Audio_SP16,H1,i,e,156968.21847959294,85098.90294738433,43632.11232004387,198435.0091069334,27.796781248247633,51.272238311956976,21.988112136266857
713a2f9b-Audio_SP16,H1,i,a,156968.21847959294,123308.90891496761,0.0,280277.12739456055,0.0,0.0,0.0
713a2f9b-Audio_SP16,H1,i,o,156968.21847959294,110096.92574119601,0.0,267065.14422078896,0.0,0.0,0.0
713a2f9b-Audio_SP16,H1,i,u,156968.21847959294,172944.0675538071,0.0,329912.28603340004,0.0,0.0,0.0
713a2f9b-Audio_SP16,H1,e,a,85098.90294738433,123308.90891496761,10140.04304875742,198267.76881359454,11.91559784857261,8.223285031051466,5.11431742508324
713a2f9b-Audio_SP16,H1,e,o,85098.90294738433,110096.92574119601,0.0,195195.82868858034,0.0,0.0,0.0
713a2f9b-Audio_SP16,H1,e,u,85098.90294738433,172944.0675538071,0.0,258042.97050119142,0.0,0.0,0.0
713a2f9b-Audio_SP16,H1,a,o,123308.90891496761,110096.92574119601,17304.969300223165,216100.86535594048,14.033835391534014,15.717940518068435,8.0078204553786
713a2f9b-Audio_SP16,H1,a,u,123308.90891496761,172944.0675538071,3556.056763626734,292696.919705148,2.8838603754729104,2.0561889250814334,1.21492797642318
713a2f9b-Audio_SP16,H1,o,u,110096.92574119601,172944.0675538071,63727.35388281573,219313.6394121874,57.88295490885833,36.84853420195439,29.05763364906085
713a2f9b-Audio_SP16,H2,i,e,185944.11730502298,107443.83756637528,50448.5402193375,242939.41465206078,27.13102245476346,46.95340501792115,20.76589354246621
713a2f9b-Audio_SP16,H2,i,a,185944.11730502298,154487.2533353919,0.0,340431.3706404149,0.0,0.0,0.0
713a2f9b-Audio_SP16,H2,i,o,185944.11730502298,132384.34730518397,0.0,318328.46461020695,0.0,0.0,0.0
713a2f9b-Audio_SP16,H2,i,u,185944.11730502298,177725.20084904012,0.0,363669.31815406313,0.0,0.0,0.0
713a2f9b-Audio_SP16,H2,e,a,107443.83756637528,154487.2533353919,21160.416226994115,240770.67467477306,19.694397283531412,13.697192337969039,8.78861857058675
713a2f9b-Audio_SP16,H2,e,o,107443.83756637528,132384.34730518397,0.0,239828.18487155926,0.0,0.0,0.0
713a2f9b-Audio_SP16,H2,e,u,107443.83756637528,177725.20084904012,233.08887606363248,284935.9495393518,0.2169401999622713,0.13115128015053887,0.08180395504339165
713a2f9b-Audio_SP16,H2,a,o,154487.2533353919,132384.34730518397,30737.328743521623,256134.27189705425,19.896352663342952,23.218250019138022,12.000474796233283
713a2f9b-Audio_SP16,H2,a,u,154487.2533353919,177725.20084904012,17289.114024545957,314923.34015988605,11.191288375754395,9.728003649426926,5.48994368463395
713a2f9b-Audio_SP16,H2,o,u,132384.34730518397,177725.20084904012,90387.81241789296,219721.73573633112,68.27681237081833,50.85818555055026,41.137401411374015
