half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,317,365.9938742202031,2148.677194910437,393.4370836630247,2117.228150246731,100.92270681402837,287.2633686217321,95.57022029461746,309.05947509450925,233.4340763047956,178.4896732873534
H1,e,334,518.4089430982385,1831.1958249242605,522.2427553009359,1843.7031944813375,63.945338180339014,211.5080219108975,67.10008630024993,285.7343432888149,179.4032861998943,154.38998432499187
H1,a,495,681.547699122403,1493.2403658790638,700.9058522388594,1513.0767804651098,98.60613885788679,195.75837919042402,103.14779517425075,238.8193721203188,184.17623997294893,159.36651854948403
H1,o,288,537.2467084360679,1131.9948901698656,542.6923032847444,1131.0182755178298,67.52192806648597,167.69193827098903,58.5159223745344,185.17891539005723,140.99265500781743,104.97726103082155
H1,u,69,402.3912889635689,899.5989340583385,412.6634073901047,1022.3465233825895,72.55452951148936,386.6563704916512,81.47472376655753,436.21006946504997,285.2471035131192,211.7702256912562
H2,i,179,369.6243095133681,2142.045284845531,407.3281503136822,2095.8065691857005,126.0251989947915,262.87533443413275,85.18600704606678,303.25796174182506,228.58580777629783,176.35637171334227
H2,e,157,538.7648834026602,1813.5524590699315,537.8463347189937,1823.490183055888,74.07725395887142,235.3572991858504,74.43252193596499,286.8439772390311,199.33333466510933,165.24300610297092
H2,a,240,693.0143434799193,1464.3128901484736,712.5563769852021,1473.058861403479,101.00278113167828,182.5678006578101,104.12445053635167,191.17812452441126,172.12155039080304,138.0053075280971
H2,o,153,545.2311695622923,1154.6879154838316,552.0266798916915,1153.5163926820626,69.57557544301295,160.6404184317968,62.79426047688844,181.5029427349907,138.2837027611943,109.72238351537924
H2,u,41,427.9254936136509,1013.4989017533476,431.35147237321905,1063.9031467960385,74.89753070452686,308.23866615183505,87.71146159264805,413.3346588300195,253.30379995238036,172.42407093062087
