half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,352.17151149602614,208.17901801045457,1.6916763027402713,True
H1,i,a,i-a,727.4418555878603,210.25265200568387,3.459846278505895,False
H1,i,o,i-o,1031.0045790390877,192.8346399722137,5.346573515980579,False
H1,i,u,i-u,1249.6084480881614,260.63132778207734,4.794544304102234,True
H1,e,a,e-a,375.27076360351,181.805426857801,2.0641340035302016,True
H1,e,o,e-o,699.4546508275878,161.3450771878005,4.335147145601752,False
H1,e,u,e-u,938.7933016068896,238.2765716157857,3.939931212039879,False
H1,a,o,a-o,389.00008950310365,164.01191440978715,2.3717794582360576,True
H1,a,u,a-u,656.0018680666451,240.0903969687224,2.7323119806083094,False
H1,o,u,o-u,268.68915977034595,224.9942652922265,1.1942044808180678,True
H2,i,e,i-e,369.48081184499625,214.45891194521977,1.7228512841628818,True
H2,i,a,i-a,750.9342933244528,202.33301711000647,3.7113779256115045,False
H2,i,o,i-o,1002.852104813615,188.90983823783358,5.308628254453561,False
H2,i,u,i-u,1130.0513116040104,241.26156613420434,4.68392595518263,True
H2,e,a,e-a,381.7868154278926,186.2251411835231,2.0501357281917447,True
H2,e,o,e-o,658.8962738182831,171.54614650008727,3.8409272796923357,False
H2,e,u,e-u,807.694908306175,227.92168981804693,3.5437386803817095,False
H2,a,o,a-o,343.08525387904353,156.12208453367526,2.1975446645092713,True
H2,a,u,a-u,522.977390004713,216.55096764878388,2.415031415850845,False
H2,o,u,o-u,183.56186752142852,204.06518262513802,0.8995256572436783,True
