audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
7a414497-Audio_SP15,H1,i,155265.87122893048,13817.530244962934,8.899270738377393,141448.34098396756,91.10072926162262
7a414497-Audio_SP15,H1,e,109726.40535116533,30297.72156786047,27.612060625604645,79428.68378330486,72.38793937439536
7a414497-Audio_SP15,H1,a,152718.20880220237,21372.057024219237,13.994439295644115,131346.15177798312,86.00556070435587
7a414497-Audio_SP15,H1,o,74855.27588532417,19337.465502873863,25.833136374379578,55517.810382450305,74.16686362562042
7a414497-Audio_SP15,H1,u,142739.86429751723,14445.59980155216,10.120228061477443,128294.26449596506,89.87977193852255
7a414497-Audio_SP15,H2,i,171608.92064180283,14291.678602379405,8.328051099517285,157317.24203942344,91.67194890048272
7a414497-Audio_SP15,H2,e,131428.21768593285,40808.26495538897,31.049850385178583,90619.95273054388,68.95014961482143
7a414497-Audio_SP15,H2,a,145117.43676877403,34105.902800526026,23.502277575967245,111011.533968248,76.49772242403274
7a414497-Audio_SP15,H2,o,75014.57767583804,52254.995826615566,69.65978806469604,22759.58184922247,30.340211935303955
7a414497-Audio_SP15,H2,u,230691.79102318513,44665.6793790991,19.361624954660865,186026.11164408602,80.63837504533915
