half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,146,436.70779607302643,2267.223625622784,450.50416854781946,2210.6147207264357,125.01256042537715,269.3251161164239,112.89203260600726,423.4338796291988,253.7150787896466,237.88284816281276
H1,e,198,517.0034934824527,1929.1501910415523,527.5403244274196,1951.7913460987797,79.76346080654042,211.83572647672457,59.39508446193577,260.07845324932487,181.1508690312383,143.91053705950083
H1,a,215,735.717861417787,1575.2410564925372,785.2517582444077,1572.488075708711,182.94815335352985,194.3373604906121,322.2070660855543,332.0492067393577,252.33771179853034,252.1698594238711
H1,o,121,518.7523732272407,1204.9404143805236,522.4047226353755,1232.5916366168003,58.55251283471797,206.9870385632592,61.45638686947666,280.8192958617358,178.58068774791388,154.3178155844767
H1,u,51,463.9765727321145,1055.2301086569123,475.51590020362397,1076.3935341961117,65.63257352671084,209.16612499515279,55.93501347646048,259.91410027067093,179.70493282438701,141.68393208124056
H2,i,214,423.0111830755643,2232.4562871879925,425.9578069085561,2165.2512619174454,131.62159065498543,350.4789107841261,112.68985723978261,417.4460700090858,302.8495362514123,231.10321517275247
H2,e,230,523.8853164506346,1937.1238788946735,531.1713740239414,1975.8257581404991,75.24624831566229,206.00139649542803,70.201431086983,269.08794528036015,179.97408736851176,144.49693313881437
H2,a,280,771.1068073004672,1516.3058496864935,793.7534624750205,1545.1964815370754,183.8689102610512,208.04141191207916,312.2968490225884,337.1750372721631,255.68723541110634,251.112232080177
H2,o,181,518.5407712206853,1186.836780524484,526.7836026296577,1189.301680774739,53.379197713047645,192.67932208712932,53.03153023546008,278.1316024989717,166.4260017947151,149.72630500294986
H2,u,62,459.4426858549847,1138.460107427164,457.24530029918446,1135.931044905133,59.74058468452584,238.8323240537576,64.14067514320129,278.0829040929748,193.1713965917288,151.53099564313374
