audio,half,vowel_raw,vowel,f1,f2,token_time
7aee4437-Audio_SP12,H1,i,i,296.32889777402994,2458.830188230768,91.52075
7aee4437-Audio_SP12,H1,i,i,603.1353833250138,2019.095262386606,92.13775
7aee4437-Audio_SP12,H1,i,i,706.3465250540389,2025.105388064578,94.54375
7aee4437-Audio_SP12,H1,i,i,414.74875985933016,2443.3631259741483,97.47375
7aee4437-Audio_SP12,H1,i,i,430.0689458275754,1702.527443591753,98.22375
7aee4437-Audio_SP12,H1,i,i,541.88464591465,2302.050411255276,117.88275
7aee4437-Audio_SP12,H1,i,i,460.0217525072287,2375.100958064926,120.62875
7aee4437-Audio_SP12,H1,i,i,427.8734837928787,2490.087583280584,174.29775
7aee4437-Audio_SP12,H1,i,i,437.7706319138687,2518.0878798553663,178.61575
7aee4437-Audio_SP12,H1,i,i,445.0728323510818,2414.065526980766,220.44375
7aee4437-Audio_SP12,H1,i,i,470.457251599116,2177.516105139352,220.79275
7aee4437-Audio_SP12,H1,i,i,316.0832709686887,2690.3336235959364,227.20275
7aee4437-Audio_SP12,H1,i,i,431.5271934296233,2338.197488045154,231.05375
7aee4437-Audio_SP12,H1,i,i,469.8171110161638,2010.044394658145,232.39375
7aee4437-Audio_SP12,H1,i,i,423.0123913216149,2330.435634552025,254.46275
7aee4437-Audio_SP12,H1,i,i,462.7714166667714,2425.284598185783,254.74875
7aee4437-Audio_SP12,H1,i,i,396.738225378988,2564.7877260641203,254.98375
7aee4437-Audio_SP12,H1,i,i,315.22497311676926,2575.346913156772,260.28275
7aee4437-Audio_SP12,H1,i,i,364.4766162165924,2040.1991815882843,263.60574999999994
7aee4437-Audio_SP12,H1,i,i,258.9296435240307,2065.296766610351,264.47574999999995
7aee4437-Audio_SP12,H1,i,i,397.97351837129634,1999.084684707307,323.91775
7aee4437-Audio_SP12,H1,i,i,490.6821256633943,2353.851866048029,385.26575
7aee4437-Audio_SP12,H1,i,i,528.223948418737,2357.975134591266,387.34575
7aee4437-Audio_SP12,H1,i,i,477.7143553010786,2347.639501321253,387.78575
7aee4437-Audio_SP12,H1,i,i,630.380818064281,2010.126533172272,392.10575
7aee4437-Audio_SP12,H1,i,i,565.3027460732613,1996.7809290479088,399.90875
7aee4437-Audio_SP12,H1,i,i,445.1232243360688,1993.928227013211,406.34275
7aee4437-Audio_SP12,H1,i,i,333.85849648879,2338.57770562966,406.43075
7aee4437-Audio_SP12,H1,i,i,423.2211942565697,1721.549548615147,411.95575
7aee4437-Audio_SP12,H1,i,i,390.932709365995,2310.725574885318,412.10575
7aee4437-Audio_SP12,H1,i,i,324.68813175593414,2682.1509837182866,413.89575
7aee4437-Audio_SP12,H1,i,i,533.9992873771754,2410.4830995229813,415.05275
7aee4437-Audio_SP12,H1,i,i,328.2946764239708,2228.522815829493,415.31875
7aee4437-Audio_SP12,H1,i,i,513.898595747939,2525.4367224779003,415.90275
7aee4437-Audio_SP12,H1,i,i,503.1259959519341,1855.4018537173,418.35775
7aee4437-Audio_SP12,H1,i,i,384.226006929303,2324.3904516187863,418.87575
7aee4437-Audio_SP12,H1,i,i,416.1330642473528,1963.6674050771728,420.00375
7aee4437-Audio_SP12,H1,i,i,371.4869880877707,2538.2106431496577,420.94275
7aee4437-Audio_SP12,H1,i,i,409.6630128540638,1994.1003198611224,423.30575
7aee4437-Audio_SP12,H1,i,i,661.6177054900032,1931.358750476583,423.9377500000001
7aee4437-Audio_SP12,H1,i,i,479.93292324815775,2461.912620022888,424.89375
7aee4437-Audio_SP12,H1,i,i,450.8123206803524,1937.785479998408,426.60374999999993
7aee4437-Audio_SP12,H1,i,i,422.4195626381701,2081.418006169902,426.69575
7aee4437-Audio_SP12,H1,i,i,585.3183847313921,2388.982168038557,430.34575
7aee4437-Audio_SP12,H1,i,i,408.5476020466572,2014.6217310231464,431.22775
7aee4437-Audio_SP12,H1,i,i,373.9964063247114,2371.996683476442,432.03775
7aee4437-Audio_SP12,H1,i,i,259.7390697098327,2447.2710246773345,498.54275000000007
7aee4437-Audio_SP12,H1,i,i,503.7793712570888,2144.5150469732093,499.88275
7aee4437-Audio_SP12,H1,i,i,533.2695131616057,2311.46860582123,506.50875
7aee4437-Audio_SP12,H1,i,i,1103.3181952447703,1935.8273279260927,511.82375
