half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,531.9261475541482,281.5784572671487,1.8890868027218473,True
H1,i,a,i-a,1004.170579334607,243.60968852719498,4.122046973605929,False
H1,i,o,i-o,1209.526756896799,267.2678049340175,4.525523593069523,False
H1,i,u,i-u,1336.9802105510964,271.60638486831874,4.922491830224449,True
H1,e,a,e-a,497.06245315697987,247.01665379404022,2.0122629204240825,True
H1,e,o,e-o,679.6015213422514,270.376823084997,2.5135346794448004,False
H1,e,u,e-u,837.9799609830496,274.6662979117115,3.0509020122024912,False
H1,a,o,a-o,367.6523891497315,230.57076833134172,1.59453165642141,True
H1,a,u,a-u,652.5619678761029,235.58613701976296,2.7699506266846274,False
H1,o,u,o-u,297.41135172569506,259.9754356969627,1.1439978970642792,True
H2,i,e,i-e,539.8592203811511,284.1066064498863,1.9001994607836656,True
H2,i,a,i-a,997.8913759742904,252.21249959993415,3.9565500423538524,False
H2,i,o,i-o,1203.5866390687024,271.0265880692782,4.440843415558361,False
H2,i,u,i-u,1347.9060935024627,288.5107635597143,4.671943870903385,True
H2,e,a,e-a,488.5635202300516,239.28470194386972,2.0417666330572883,True
H2,e,o,e-o,665.1605189418599,259.0394469388669,2.567796244171403,False
H2,e,u,e-u,838.0275305614372,277.28051557895145,3.0223094789464984,False
H2,a,o,a-o,374.2678826262246,223.59788951680693,1.6738435386622574,True
H2,a,u,a-u,665.7648611343509,244.4975775865792,2.7229916455863306,False
H2,o,u,o-u,300.1777071019805,263.8623351896454,1.1376299951496835,True
