half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,226,353.8013209548418,2084.873749805549,379.41159381204506,2047.108779033269,117.39447260925999,203.84626356528108,92.91791542893395,256.2466217154415,186.9002353138024,146.61728725885558
H1,e,302,448.944851173384,1846.9349685296625,454.1073913828449,1848.7991679670654,61.22669425148583,161.5796949560236,63.495012257115036,215.0359464244243,142.73881393609318,124.30063504623581
H1,a,393,660.5608833076259,1516.272947628598,658.2139121559302,1514.9856927064227,68.73170172696867,163.44528253949565,90.7051592214433,209.8545536876918,148.42922786342655,124.80749429504397
H1,o,251,503.4754075411108,1165.3811688049743,511.1308912888435,1154.6838595552551,66.4793869847614,238.30350207338745,62.93874357990239,387.00557983264457,212.38776420135062,200.7930996324721
H1,u,66,408.4626055963616,907.0804401166549,427.4467796304323,1011.7459436746565,100.26568849630432,311.2743605163981,83.03626439296625,387.4369815897725,232.8678364450523,159.99073569596013
H2,i,184,370.17393153153165,2084.226541652567,393.4719368553682,2056.07398565422,116.88555918051411,197.78975420998515,105.67320597695499,231.9023548079051,185.81255987632082,140.57315073343182
H2,e,267,444.8407638263537,1830.4868552628056,455.7469010746408,1836.5465509335777,64.45541577389513,144.91016528892428,60.47293568250171,193.90071041886858,128.98900759221024,117.9064109105812
H2,a,363,655.6144654528354,1510.5450058664412,648.1880970439805,1512.3757386845589,79.05126164719779,163.91115195265994,84.81390643993609,209.61568097076633,151.458080085711,127.18175686274023
H2,o,276,515.6254874566437,1151.4513546049434,528.4360474482005,1158.0265650610634,64.92944317657746,241.8017768490507,88.16709805687145,364.4368452322749,214.69319543299127,197.36031624108563
H2,u,66,430.5803289805,929.2423475080894,457.1193081066441,1015.6433712210763,123.74873893046944,272.585186169031,97.91830490009397,350.1935689146866,230.58834101566958,166.82602966403613
