audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
7dec1dd7-Audio_SP13,H1,i,e,109956.4973969149,74130.53338018575,32582.27895838427,151504.75181871638,29.631972397929847,43.9525759126578,21.505780226200912
7dec1dd7-Audio_SP13,H1,i,a,109956.4973969149,101692.37191688224,0.0,211648.86931379713,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H1,i,o,109956.4973969149,129500.80639368683,0.0,239457.30379060173,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H1,i,u,109956.4973969149,132289.23740875523,0.0,242245.73480567013,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H1,e,a,74130.53338018575,101692.37191688224,0.0,175822.905297068,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H1,e,o,74130.53338018575,129500.80639368683,0.0,203631.33977387258,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H1,e,u,74130.53338018575,132289.23740875523,0.0,206419.77078894098,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H1,a,o,101692.37191688224,129500.80639368683,1903.2148198085902,229289.96349076048,1.8715413790959399,1.4696548020116207,0.8300471555028542
7dec1dd7-Audio_SP13,H1,a,u,101692.37191688224,132289.23740875523,0.0,233981.60932563746,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H1,o,u,129500.80639368683,132289.23740875523,50204.40421687776,211585.6395855643,38.76763829891118,37.95048274543543,23.72769924991782
7dec1dd7-Audio_SP13,H2,i,e,139568.65156173456,67834.82727340818,36496.1562168678,170907.32261827495,26.149250428721576,53.80150239016618,21.35435489700036
7dec1dd7-Audio_SP13,H2,i,a,139568.65156173456,101250.38980918222,0.0,240819.04137091676,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H2,i,o,139568.65156173456,151342.85046817065,0.0,290911.5020299052,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H2,i,u,139568.65156173456,186449.26517477058,0.0,326017.9167365051,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H2,e,a,67834.82727340818,101250.38980918222,0.0,169085.21708259042,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H2,e,o,67834.82727340818,151342.85046817065,0.0,219177.67774157884,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H2,e,u,67834.82727340818,186449.26517477058,0.0,254284.09244817877,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H2,a,o,101250.38980918222,151342.85046817065,6971.869909843796,245621.37036750908,6.8857709318285805,4.60667278849097,2.838462263854399
7dec1dd7-Audio_SP13,H2,a,u,101250.38980918222,186449.26517477058,0.0,287699.6549839528,0.0,0.0,0.0
7dec1dd7-Audio_SP13,H2,o,u,151342.85046817065,186449.26517477058,83863.17935849758,253928.93628444365,55.41271298847056,44.979088161000455,33.02623977621697
