audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
7e277fda-Audio_SP28,H1,i,e,213451.1236136581,107589.08897757654,55302.29034247437,265737.92224876024,25.908643349458455,51.40139289960931,20.810838691929444
7e277fda-Audio_SP28,H1,i,a,213451.1236136581,106693.57931902359,0.0,320144.70293268166,0.0,0.0,0.0
7e277fda-Audio_SP28,H1,i,o,213451.1236136581,57011.06897665195,0.0,270462.19259031006,0.0,0.0,0.0
7e277fda-Audio_SP28,H1,i,u,213451.1236136581,154575.9324906306,0.0,368027.0561042887,0.0,0.0,0.0
7e277fda-Audio_SP28,H1,e,a,107589.08897757654,106693.57931902359,0.0,214282.66829660014,0.0,0.0,0.0
7e277fda-Audio_SP28,H1,e,o,107589.08897757654,57011.06897665195,0.0,164600.1579542285,0.0,0.0,0.0
7e277fda-Audio_SP28,H1,e,u,107589.08897757654,154575.9324906306,0.0,262165.0214682071,0.0,0.0,0.0
7e277fda-Audio_SP28,H1,a,o,106693.57931902359,57011.06897665195,22433.430732117413,141271.2175635581,21.0260363138061,39.34925468825132,15.87968952134541
7e277fda-Audio_SP28,H1,a,u,106693.57931902359,154575.9324906306,25494.61170778313,235774.90010187106,23.89516957862282,16.493260818160323,10.813115262382762
7e277fda-Audio_SP28,H1,o,u,57011.06897665195,154575.9324906306,52560.93424486328,159026.06722241928,92.19426190094566,34.003310475289666,33.05177268287077
7e277fda-Audio_SP28,H2,i,e,228695.53266947277,103708.8377614834,58919.41682593273,273484.95360502345,25.763256561328333,56.81233933161953,21.54393360558556
7e277fda-Audio_SP28,H2,i,a,228695.53266947277,101698.50178319855,0.0,330394.0344526713,0.0,0.0,0.0
7e277fda-Audio_SP28,H2,i,o,228695.53266947277,65728.61933302658,0.0,294424.1520024994,0.0,0.0,0.0
7e277fda-Audio_SP28,H2,i,u,228695.53266947277,119409.63380694108,0.0,348105.16647641384,0.0,0.0,0.0
7e277fda-Audio_SP28,H2,e,a,103708.8377614834,101698.50178319855,0.0,205407.33954468195,0.0,0.0,0.0
7e277fda-Audio_SP28,H2,e,o,103708.8377614834,65728.61933302658,0.0,169437.45709451,0.0,0.0,0.0
7e277fda-Audio_SP28,H2,e,u,103708.8377614834,119409.63380694108,0.0,223118.4715684245,0.0,0.0,0.0
7e277fda-Audio_SP28,H2,a,o,101698.50178319855,65728.61933302658,27755.606409868273,139671.51470635686,27.292050446365312,42.227581670686256,19.87205943045811
7e277fda-Audio_SP28,H2,a,u,101698.50178319855,119409.63380694108,17509.37787538419,203598.75771475543,17.216947711492136,14.663287472845763,8.599943374858437
7e277fda-Audio_SP28,H2,o,u,65728.61933302658,119409.63380694108,49033.46355637425,136104.7895835934,74.59986844990134,41.06323919864832,36.02625866906666
