half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,692,335.5817387525126,2113.795618680633,349.94328399749804,2082.676925865598,89.92215201506565,249.82820787424563,65.69942296660861,244.61507552518606,196.85127096820082,138.19260128705398
H1,e,752,406.97784450885297,1976.4989960102293,412.68733710305645,1952.7896835034987,50.031523580917515,182.56668881886225,55.514041525787604,212.69056451224878,147.7160834995563,115.15024647090462
H1,a,893,677.0295486579109,1487.660769857532,667.0229470400565,1487.4911439904931,88.19241008331117,186.25045196030513,113.9024978687197,191.95029861964554,166.54021031069712,132.57461553800812
H1,o,722,441.85839939033167,970.0326087414267,453.77515725555924,1020.714870720509,71.49680145851599,221.96310923843936,66.0041917771631,303.7300103668514,190.29904426946564,158.7578420667321
H1,u,105,364.42686472114457,1049.0710714623806,376.9307696182614,1141.3487996025178,59.718207023536976,343.01143643955095,60.16513368482896,465.74626298265264,274.1218972388914,219.4484038561233
H2,i,580,336.6445000480895,2120.726672841349,355.82212116682314,2074.220128280015,90.13527178435001,247.36987683380337,70.60084194357609,184.99284023606697,182.00817144422865,106.15679074924253
H2,e,629,422.25473930295874,1978.1647427338737,430.9756362269605,1937.2310585943587,61.99836094768499,199.07655188760526,65.74576419408334,255.19800798639062,166.86242720396856,129.18207202319923
H2,a,766,677.6240074047793,1470.8179850465642,667.7174655448327,1486.7340737265658,87.24056297988706,180.30733078692765,119.53536762514966,193.22390148248041,161.26784081209522,127.36700250369383
H2,o,729,461.6672748505009,975.7123270977328,472.9855832771785,1007.532081942605,72.2782594956155,217.74417352116203,77.7909987784368,277.2721590549362,186.65382874930657,159.69177560313133
H2,u,112,364.6355043360408,938.7600998556092,378.52148377067505,1056.9056783229485,63.96380776163246,328.4618826853136,67.18113397738216,477.25264805011,270.36180561415387,192.82184805456217
