audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
85c7895f-Audio_SP16,H1,i,e,106582.46116267768,66054.96398801066,36728.533871668675,135908.89127901965,34.4602043066069,55.60298826040554,27.02437899832863
85c7895f-Audio_SP16,H1,i,a,106582.46116267768,132258.75334253052,0.0,238841.2145052082,0.0,0.0,0.0
85c7895f-Audio_SP16,H1,i,o,106582.46116267768,109206.48736165593,0.0,215788.94852433362,0.0,0.0,0.0
85c7895f-Audio_SP16,H1,i,u,106582.46116267768,139190.88225624917,0.0,245773.34341892684,0.0,0.0,0.0
85c7895f-Audio_SP16,H1,e,a,66054.96398801066,132258.75334253052,0.0,198313.71733054117,0.0,0.0,0.0
85c7895f-Audio_SP16,H1,e,o,66054.96398801066,109206.48736165593,0.0,175261.45134966657,0.0,0.0,0.0
85c7895f-Audio_SP16,H1,e,u,66054.96398801066,139190.88225624917,0.0,205245.84624425982,0.0,0.0,0.0
85c7895f-Audio_SP16,H1,a,o,132258.75334253052,109206.48736165593,0.0,241465.24070418644,0.0,0.0,0.0
85c7895f-Audio_SP16,H1,a,u,132258.75334253052,139190.88225624917,0.0,271449.63559877966,0.0,0.0,0.0
85c7895f-Audio_SP16,H1,o,u,109206.48736165593,139190.88225624917,53514.46863110266,194882.90098680244,49.00301248027542,38.44682048396173,27.459807073954984
85c7895f-Audio_SP16,H2,i,e,73200.05910229079,88267.53718686751,32208.592185490223,129259.00410366808,44.00077346997969,36.48973701090443,24.917871222076215
85c7895f-Audio_SP16,H2,i,a,73200.05910229079,123873.21226601524,0.0,197073.271368306,0.0,0.0,0.0
85c7895f-Audio_SP16,H2,i,o,73200.05910229079,129945.49793842803,0.0,203145.55704071882,0.0,0.0,0.0
85c7895f-Audio_SP16,H2,i,u,73200.05910229079,149606.11518547084,0.0,222806.17428776162,0.0,0.0,0.0
85c7895f-Audio_SP16,H2,e,a,88267.53718686751,123873.21226601524,0.0,212140.74945288277,0.0,0.0,0.0
85c7895f-Audio_SP16,H2,e,o,88267.53718686751,129945.49793842803,0.0,218213.03512529554,0.0,0.0,0.0
85c7895f-Audio_SP16,H2,e,u,88267.53718686751,149606.11518547084,0.0,237873.65237233834,0.0,0.0,0.0
85c7895f-Audio_SP16,H2,a,o,123873.21226601524,129945.49793842803,0.0,253818.71020444328,0.0,0.0,0.0
85c7895f-Audio_SP16,H2,a,u,123873.21226601524,149606.11518547084,0.0,273479.3274514861,0.0,0.0,0.0
85c7895f-Audio_SP16,H2,o,u,129945.49793842803,149606.11518547084,53971.15447298362,225580.45865091527,41.53368552911061,36.0755002601826,23.92545648490933
