audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
919b9bc1-Audio_SP14,H1,i,223003.77066320647,31993.483699088352,14.346611092691708,191010.2869641181,85.6533889073083
919b9bc1-Audio_SP14,H1,e,66838.81308941271,44245.857779954145,66.19785082174462,22592.955309458564,33.80214917825538
919b9bc1-Audio_SP14,H1,a,134364.18162301186,30894.99498839004,22.99347535571103,103469.18663462182,77.00652464428896
919b9bc1-Audio_SP14,H1,o,93371.54040935657,78890.50173274709,84.49095022624434,14481.038676609489,15.50904977375566
919b9bc1-Audio_SP14,H1,u,220278.67366935874,90942.19037608146,41.28506353392472,129336.48329327728,58.71493646607529
919b9bc1-Audio_SP14,H2,i,240890.29501985622,30011.909693067893,12.458745874587459,210878.38532678832,87.54125412541254
919b9bc1-Audio_SP14,H2,e,56393.93696595644,37229.83150841012,66.01743646818773,19164.10545754632,33.98256353181228
919b9bc1-Audio_SP14,H2,a,195155.8686768472,26277.419710347353,13.464837049742712,168878.44896649985,86.53516295025729
919b9bc1-Audio_SP14,H2,o,100956.7586085041,74710.7211669191,74.00269402134494,26246.037441584995,25.99730597865506
919b9bc1-Audio_SP14,H2,u,181337.2096651558,84041.71574559339,46.34554369772136,97295.4939195624,53.65445630227863
