half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,241,308.4745147144019,2028.319377792238,331.9082919475393,2097.7653681015518,91.74874727904869,350.3050208698555,84.06808387424104,378.01111448421057,275.9405549963961,203.09993028194305
H1,e,250,446.32840886686057,1839.7543150238002,449.3760701382279,1874.8386464238206,73.67918363929206,253.42342123994686,86.88594909115471,275.41428053013055,208.32718295062992,156.01668967529352
H1,a,322,616.9095851473355,1391.9664360926008,609.9745882784133,1413.1225901473993,75.21815146314285,203.99450419957677,83.0750450789044,196.6216014206948,162.26359652367844,116.85907669681109
H1,o,336,486.518273568341,948.6379923469433,485.0239202795589,979.4298028385698,69.17935236909564,218.19633275588436,65.99282596891953,306.14819777613525,191.0464817742039,165.5493387051489
H1,u,59,426.0909485332919,820.5426934638493,436.1617861397334,909.4676015380481,123.88129011414264,278.3604200158618,139.21296332020404,344.822854094552,241.87459311897607,159.21369140826914
H2,i,176,304.29782883891085,2002.5002621550393,335.0823588866721,1992.984717380674,106.88624128694069,293.11796043308595,74.11690860859153,292.52945217894717,237.50506066512654,181.91702498296274
H2,e,160,442.3940296404078,1860.440535702133,442.7737882613239,1900.0093164709142,80.067837542495,287.88726792940895,99.66078653914957,282.6257600936681,222.96127540592988,166.38244502619284
H2,a,280,646.8811870080583,1368.3261717923695,636.6395989824997,1387.6665346023672,73.18276489828393,221.72415306894342,71.08662654740147,178.02466122852388,165.70353349734822,111.52758462357764
H2,o,249,491.32125538679367,992.2825058236242,485.63741533305193,982.644526508025,88.52615107138526,203.9472480880285,94.53913329733302,306.64843354003847,192.701907857613,178.34129112856098
H2,u,48,380.9291460752773,810.7560644184632,393.67053055934394,876.5085360988114,100.28607680469413,259.7458409171252,121.3986921983261,233.6281692091568,199.88161689543244,150.3702071758213
