audio,half,vowel_raw,vowel,f1,f2,token_time
9a0c18cb-Audio_SP14,H1,y,i,249.668519983002,1976.0565089999309,24.43375
9a0c18cb-Audio_SP14,H1,y,i,417.4491755510156,1856.930623855245,25.60275
9a0c18cb-Audio_SP14,H1,y,i,245.7791028339684,2050.964908464443,218.16775
9a0c18cb-Audio_SP14,H1,y,i,247.2608362459114,1780.4687667533474,263.55275
9a0c18cb-Audio_SP14,H1,y,i,411.67560961485367,1728.4302947945912,310.31275000000005
9a0c18cb-Audio_SP14,H1,y,i,231.2863774478566,2549.9697234397386,393.43275000000006
9a0c18cb-Audio_SP14,H1,y,i,376.18990527266953,1936.8881585509123,476.97375
9a0c18cb-Audio_SP14,H1,y,i,432.37653390473935,2020.4878385112,510.80775
9a0c18cb-Audio_SP14,H1,y,i,534.2997071183471,1858.534776983592,511.66575
9a0c18cb-Audio_SP14,H1,y,i,477.15073038073285,2527.327696213217,590.80275
9a0c18cb-Audio_SP14,H1,y,i,403.41406342817817,2097.0612704695627,656.3927500000001
9a0c18cb-Audio_SP14,H1,y,i,311.5831733790601,1901.9460567251456,683.90875
9a0c18cb-Audio_SP14,H1,y,i,358.488612276657,2756.521652647345,685.82375
9a0c18cb-Audio_SP14,H1,y,i,283.37299287977504,2028.319377792238,708.1927499999999
9a0c18cb-Audio_SP14,H1,y,i,443.8082561946619,2078.2176075880343,788.7787500000001
9a0c18cb-Audio_SP14,H1,y,i,239.9567057538274,2072.260322162332,817.1327499999999
9a0c18cb-Audio_SP14,H1,y,i,303.4462804114484,2036.828825219702,820.39775
9a0c18cb-Audio_SP14,H1,y,i,354.03142022463976,1745.1492471196036,835.01775
9a0c18cb-Audio_SP14,H1,y,i,411.9243202095517,1357.2474971596966,835.29275
9a0c18cb-Audio_SP14,H1,y,i,521.5038102608461,2280.0514143443734,876.4757500000001
9a0c18cb-Audio_SP14,H1,y,i,294.8811011696923,1721.302599323291,936.91775
9a0c18cb-Audio_SP14,H1,y,i,284.1474692855065,591.2808577731361,967.29575
9a0c18cb-Audio_SP14,H1,y,i,316.4338180484386,1994.5393766283976,986.42375
9a0c18cb-Audio_SP14,H1,y,i,349.67734746965084,1697.370331101042,987.89275
9a0c18cb-Audio_SP14,H1,y,i,224.5587519574877,2054.161021161348,1028.8437499999998
9a0c18cb-Audio_SP14,H1,y,i,301.0565166962983,1892.0213269243816,1033.04375
9a0c18cb-Audio_SP14,H1,y,i,286.2316605577403,2665.6560352949814,1046.6507500000002
9a0c18cb-Audio_SP14,H1,y,i,262.43146667223465,1239.9232396319878,1055.99375
9a0c18cb-Audio_SP14,H1,y,i,250.18540100903869,1291.0681799509057,1056.60575
9a0c18cb-Audio_SP14,H1,y,i,520.4223157244929,1796.7799370183448,1097.0637499999998
9a0c18cb-Audio_SP14,H1,y,i,398.88110537092206,1596.9158968342283,1144.66375
9a0c18cb-Audio_SP14,H1,y,i,255.688339849186,1722.1617256941688,1209.19875
