half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,298.1547654713485,208.61853010312277,1.429186397411423,True
H1,i,u,i-u,1451.1746874845135,268.3003229590197,5.408769812424588,True
H1,e,a,e-a,551.092260068788,324.2740519262043,1.6994645633693848,True
H1,a,o,a-o,549.0357054302283,333.79133019502353,1.644847111845129,True
H1,o,u,o-u,104.29329869780031,268.55685471727554,0.38834718558048187,True
H2,i,e,i-e,403.62806784597456,219.32094504102525,1.8403534955153216,True
H2,i,u,i-u,1702.0792459048957,197.4413590030743,8.620682386401084,True
H2,e,a,e-a,412.20184154868497,293.46354924330427,1.404610019239348,True
H2,a,o,a-o,695.2811838647688,315.80959079623045,2.201583498815856,True
H2,o,u,o-u,259.94915442664274,214.5495788752912,1.2116041233422343,True
