half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,298.1547654713485,208.61853010312277,1.429186397411423,True
H1,i,a,i-a,848.9497822378603,333.58496848275655,2.544928166575178,False
H1,i,o,i-o,1374.3746993163775,223.12481364275047,6.159667662588689,False
H1,i,u,i-u,1451.1746874845135,268.3003229590197,5.408769812424588,True
H1,e,a,e-a,551.092260068788,324.2740519262043,1.6994645633693848,True
H1,e,o,e-o,1082.5978066147572,208.94834772763602,5.181174287273726,False
H1,e,u,e-u,1163.1614012497212,256.63162871109876,4.532416394236199,False
H1,a,o,a-o,549.0357054302283,333.79133019502353,1.644847111845129,True
H1,a,u,a-u,640.7815075894947,365.536636946511,1.752988463597591,False
H1,o,u,o-u,104.29329869780031,268.55685471727554,0.38834718558048187,True
H2,i,e,i-e,403.62806784597456,219.32094504102525,1.8403534955153216,True
H2,i,a,i-a,810.8406475904028,304.44583440786084,2.663333033173098,False
H2,i,o,i-o,1453.957139023117,248.42809792391378,5.852627585903835,False
H2,i,u,i-u,1702.0792459048957,197.4413590030743,8.620682386401084,True
H2,e,a,e-a,412.20184154868497,293.46354924330427,1.404610019239348,True
H2,e,o,e-o,1055.1882831643336,234.840602290729,4.49321059847235,False
H2,e,u,e-u,1307.1050652792735,180.0463242922763,7.2598264386525235,False
H2,a,o,a-o,695.2811838647688,315.80959079623045,2.201583498815856,True
H2,a,u,a-u,955.0565325066609,277.49282521494086,3.441734148502368,False
H2,o,u,o-u,259.94915442664274,214.5495788752912,1.2116041233422343,True
