half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,298.1547654713485,222.81598135544627,208.61853010312277,1.429186397411423,0.6996987949306153,0.17588914763006885,0.3179462359521845,185
H1,e,i,298.1547654713485,193.38154166668676,208.61853010312277,1.429186397411423,0.6996987949306153,0.22972997672928078,0.349494771216127,249
H1,a,o,549.0357054302283,415.82556540921433,333.79133019502353,1.644847111845129,0.6079592399795971,-0.2609942166447017,-0.29859387328389964,225
H1,o,u,104.29329869780031,223.43321905847768,268.55685471727554,0.38834718558048187,2.5750154427030294,0.033747434074446386,0.06386274446581162,185
H1,u,o,104.29329869780031,307.12076623445375,268.55685471727554,0.38834718558048187,2.5750154427030294,-0.045333863867944545,-0.019823778766021292,14
H2,i,e,403.62806784597456,233.81207900258227,219.32094504102525,1.8403534955153216,0.5433738694423963,0.18582628014445127,0.3510776482534286,169
H2,e,i,403.62806784597456,203.80202545575222,219.32094504102525,1.8403534955153216,0.5433738694423963,0.25481694369192864,0.388319739144853,238
H2,a,e,412.20184154868497,361.5334616450979,293.46354924330427,1.404610019239348,0.7119413832328632,-0.19471340302803022,-0.15051193683655928,244
H2,o,u,259.94915442664274,262.2307216721138,214.5495788752912,1.2116041233422343,0.825352093752768,-0.03286824205442041,-0.05231801229152636,170
H2,u,o,259.94915442664274,152.637125898164,214.5495788752912,1.2116041233422343,0.825352093752768,0.21919891453368195,0.3045553048209396,26
