audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
a452055c-Audio_SP11,H1,i,e,136616.80217143128,86549.08047428468,34390.024118837515,188775.85852687844,25.172616817427606,39.73470767151064,18.217384567709946
a452055c-Audio_SP11,H1,i,a,136616.80217143128,104391.2363003454,0.0,241008.03847177667,0.0,0.0,0.0
a452055c-Audio_SP11,H1,i,o,136616.80217143128,98204.980632785,0.0,234821.7828042163,0.0,0.0,0.0
a452055c-Audio_SP11,H1,i,u,136616.80217143128,98080.67053071818,0.0,234697.47270214948,0.0,0.0,0.0
a452055c-Audio_SP11,H1,e,a,86549.08047428468,104391.2363003454,3400.2469094746853,187540.06986515538,3.928692125718148,3.257214906136172,1.8130775529301673
a452055c-Audio_SP11,H1,e,o,86549.08047428468,98204.980632785,0.0,184754.0611070697,0.0,0.0,0.0
a452055c-Audio_SP11,H1,e,u,86549.08047428468,98080.67053071818,0.0,184629.75100500285,0.0,0.0,0.0
a452055c-Audio_SP11,H1,a,o,104391.2363003454,98204.980632785,0.0,202596.2169331304,0.0,0.0,0.0
a452055c-Audio_SP11,H1,a,u,104391.2363003454,98080.67053071818,0.0,202471.90683106356,0.0,0.0,0.0
a452055c-Audio_SP11,H1,o,u,98204.980632785,98080.67053071818,60831.514064343886,135454.1370991593,61.94341027550261,62.0219190337732,44.90930684517382
a452055c-Audio_SP11,H2,i,e,198610.44444898155,92831.26888456746,46181.313483754966,245260.39984979405,23.252207914784602,49.74758401846243,18.829502647813506
a452055c-Audio_SP11,H2,i,a,198610.44444898155,113538.54673398093,0.0,312148.9911829625,0.0,0.0,0.0
a452055c-Audio_SP11,H2,i,o,198610.44444898155,77874.89684590284,0.0,276485.3412948844,0.0,0.0,0.0
a452055c-Audio_SP11,H2,i,u,198610.44444898155,137466.06404203258,0.0,336076.50849101413,0.0,0.0,0.0
a452055c-Audio_SP11,H2,e,a,92831.26888456746,113538.54673398093,7136.746908333255,199233.06871021513,7.687869609115823,6.285747980423374,3.582109613898317
a452055c-Audio_SP11,H2,e,o,92831.26888456746,77874.89684590284,0.0,170706.1657304703,0.0,0.0,0.0
a452055c-Audio_SP11,H2,e,u,92831.26888456746,137466.06404203258,0.0,230297.33292660004,0.0,0.0,0.0
a452055c-Audio_SP11,H2,a,o,113538.54673398093,77874.89684590284,0.0,191413.44357988375,0.0,0.0,0.0
a452055c-Audio_SP11,H2,a,u,113538.54673398093,137466.06404203258,0.0,251004.6107760135,0.0,0.0,0.0
a452055c-Audio_SP11,H2,o,u,77874.89684590284,137466.06404203258,74386.86200608892,140954.09888184647,95.52097661623108,54.1128914430429,52.77381970171939
