audio,half,vowel_raw,vowel,f1,f2,token_time
a452055c-Audio_SP11,H1,y,i,357.19613938736296,2208.3216322383355,10.42375
a452055c-Audio_SP11,H1,y,i,464.2556337502312,1612.2407919000825,10.81075
a452055c-Audio_SP11,H1,y,i,322.89564664137527,1878.6251303406864,21.39875
a452055c-Audio_SP11,H1,y,i,335.9798442910875,1596.663801851109,25.15275
a452055c-Audio_SP11,H1,y,i,221.90857208349297,1847.405110551388,85.85575
a452055c-Audio_SP11,H1,y,i,242.4026151119516,2261.6182956310995,165.56375000000003
a452055c-Audio_SP11,H1,y,i,384.2474427685349,1784.5838679574076,206.15775
a452055c-Audio_SP11,H1,y,i,241.99630405414297,2044.173618067796,225.84375
a452055c-Audio_SP11,H1,y,i,226.06372660503183,2416.109694469912,232.79275
a452055c-Audio_SP11,H1,y,i,452.8362320295733,2002.2450784289813,274.20875
a452055c-Audio_SP11,H1,y,i,511.4610300517541,1827.0925071714023,304.79374999999993
a452055c-Audio_SP11,H1,y,i,416.5518167856329,2163.8694538377067,307.57275000000004
a452055c-Audio_SP11,H1,y,i,306.6262209196895,2563.3632027629906,357.46575
a452055c-Audio_SP11,H1,y,i,351.0543334649073,1848.209976681208,437.92375
a452055c-Audio_SP11,H1,y,i,307.55043517526394,2249.814861602951,464.8777500000001
a452055c-Audio_SP11,H1,y,i,317.6864413106496,2288.1753730876003,485.52475
a452055c-Audio_SP11,H1,y,i,374.567475226896,1331.7992482212342,488.27375
a452055c-Audio_SP11,H1,y,i,347.7578117039376,1459.9285630501358,492.86875
a452055c-Audio_SP11,H1,y,i,323.0473662940388,2163.6882483035693,504.82075
a452055c-Audio_SP11,H1,y,i,485.6117103080263,1609.7595123513263,507.64575
a452055c-Audio_SP11,H1,y,i,354.7412457533312,2112.7439228482194,528.3177499999999
a452055c-Audio_SP11,H1,y,i,425.3637940574467,1790.705361516519,528.56875
a452055c-Audio_SP11,H1,y,i,304.20092435783124,2139.0277993945,536.40775
a452055c-Audio_SP11,H1,y,i,347.0950451806657,2074.692588958795,545.28775
a452055c-Audio_SP11,H1,y,i,335.75116389134155,1853.6199044309224,552.3587500000001
a452055c-Audio_SP11,H1,y,i,384.9841132051523,2149.146587059927,559.80075
a452055c-Audio_SP11,H1,y,i,219.4728882580249,2440.276626005768,567.4377499999999
a452055c-Audio_SP11,H1,y,i,413.8369537652513,2048.3560105411275,568.8937500000001
a452055c-Audio_SP11,H1,y,i,325.2847447832271,2137.839549621857,595.5677499999999
a452055c-Audio_SP11,H1,y,i,373.9591975940591,2128.4312487463635,596.1587499999999
a452055c-Audio_SP11,H1,y,i,270.46378278651696,2411.765965437099,611.8127499999999
a452055c-Audio_SP11,H1,y,i,365.9749277192415,2189.913059533982,729.8287499999999
a452055c-Audio_SP11,H1,y,i,495.381543100091,1798.7036775793483,756.40275
a452055c-Audio_SP11,H1,y,i,309.0004078922592,1982.516655791217,757.3407500000001
a452055c-Audio_SP11,H1,y,i,467.1081331854076,1750.4308670562016,775.52775
a452055c-Audio_SP11,H1,y,i,321.01404132172485,2140.2076866381303,851.78275
a452055c-Audio_SP11,H1,y,i,266.8381307280291,2212.390099635708,1045.5637499999998
a452055c-Audio_SP11,H1,y,i,338.4993633749419,1993.956737718307,1045.90375
a452055c-Audio_SP11,H1,y,i,446.762380445864,1693.0187094649914,1068.82875
a452055c-Audio_SP11,H1,y,i,451.5922448047583,1909.395752923372,1069.62775
a452055c-Audio_SP11,H1,y,i,382.13968379668006,1917.953934398672,1080.17375
a452055c-Audio_SP11,H1,y,i,494.83444091660886,1765.8710828551707,1161.56575
a452055c-Audio_SP11,H1,y,i,364.63509358831857,1536.3657362259132,1174.06775
a452055c-Audio_SP11,H1,y,i,334.18986121032606,1934.115493372304,1178.34375
a452055c-Audio_SP11,H1,y,i,365.3851105174488,1879.795331105644,1189.39375
a452055c-Audio_SP11,H1,y,i,462.0061165470835,1719.4196037298796,1206.00375
a452055c-Audio_SP11,H1,y,i,195.6207774560792,1740.2213934746044,1211.66575
a452055c-Audio_SP11,H1,y,i,223.50155437317363,2001.966328866592,1216.6127499999998
a452055c-Audio_SP11,H1,y,i,430.2084895120021,1749.30365847927,1260.11075
a452055c-Audio_SP11,H1,y,i,207.0076575904596,1845.008314220245,1267.51275
a452055c-Audio_SP11,H1,y,i,455.3643216008242,1231.2411226037837,1276.71375
a452055c-Audio_SP11,H1,y,i,262.6106728203156,1376.985027886403,1290.40575
a452055c-Audio_SP11,H1,y,i,393.7709883475907,2192.779094375537,1335.65575
a452055c-Audio_SP11,H1,y,i,191.0811476092248,1648.363145592082,1360.41775
a452055c-Audio_SP11,H1,y,i,407.63543824807823,1330.3315990304652,1364.22875
a452055c-Audio_SP11,H1,y,i,302.3603686734218,1747.0721279942948,1366.01075
a452055c-Audio_SP11,H1,y,i,307.545439706827,2131.019782967704,1376.7207500000002
a452055c-Audio_SP11,H1,y,i,353.0732998437828,2064.009675642641,1378.3827499999998
