half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,428,403.1861879473166,2096.2383769055477,423.1983316687717,2072.7674864058527,100.2521709623282,235.20439859543177,92.8934695760517,269.2853627788561,201.69830441966832,155.19040642666744
H1,e,561,491.4258363092263,1843.747368300888,493.99280154952174,1864.687427348139,47.26084540197932,200.6408582926564,54.52627186793285,265.14934590720895,168.53998563430477,141.16112794932062
H1,a,670,611.7256779597586,1420.93814532542,619.7037582235146,1431.0383442270881,67.00771275662576,206.00415729151788,81.86126363113681,251.5188730918287,176.8299623590456,142.9014282151589
H1,o,378,511.28091450624004,1020.7745277357636,512.5995882055048,1053.547564417105,40.597061273293654,253.61901171435733,47.796680195241095,333.0328523650545,202.45811764093398,168.27967221845694
H1,u,103,449.5850192071014,979.9912711691104,464.84554049984985,1062.219932685681,83.15936627176868,372.85886564195783,59.50920491734314,358.7673464811229,266.67781468934936,190.8349407174831
H2,i,370,404.8239788727105,2051.230365483934,421.92886402235064,2005.4835610279424,97.33623677366514,245.03610414034551,105.54636670697357,259.79084750293396,205.3615396864615,150.8322641792374
H2,e,468,482.7655662077216,1861.312443959267,486.4427539866838,1861.2798436813775,45.945179535734674,200.16980357474964,54.45458097000727,280.3834805489887,168.4077212453214,151.464956938652
H2,a,473,605.1276318235356,1431.2976337986174,611.7816200588351,1439.0997996341287,64.9458520228848,186.6224448941233,85.67920033847315,239.38124223081422,163.30409067383354,141.41672111370335
H2,o,335,499.4642800972763,1040.085028314351,499.4354807514353,1074.5207833944319,38.6430164979288,248.66393813746407,46.10757390863955,299.3540106342675,189.36538013028044,153.97364878433928
H2,u,106,436.0017405643081,1035.2529785659922,455.7144353054468,1152.0307769298747,79.00161900587936,454.99309286905174,65.26150110264268,564.5525922881259,336.1882511817071,234.13334780612138
