audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
c3533b36-Audio_SP16,H1,i,156413.5089604426,29311.27667595383,18.73960687332111,127102.23228448875,81.26039312667889
c3533b36-Audio_SP16,H1,e,79123.77394391723,32899.32374117867,41.5795684423466,46224.45020273856,58.42043155765341
c3533b36-Audio_SP16,H1,a,191193.55625625583,8009.748188355074,4.189340030696247,183183.80806790077,95.81065996930376
c3533b36-Audio_SP16,H1,o,107007.83487273702,58149.0378470174,54.3409161732627,48858.79702571962,45.659083826737294
c3533b36-Audio_SP16,H1,u,118098.76845911045,53727.33672388716,45.49356223175966,64371.43173522329,54.506437768240346
c3533b36-Audio_SP16,H2,i,180013.3340714457,32178.4814273078,17.8756099337266,147834.8526441379,82.1243900662734
c3533b36-Audio_SP16,H2,e,92864.64583024438,37573.24415182895,40.460224465306695,55291.40167841543,59.539775534693305
c3533b36-Audio_SP16,H2,a,183225.28271666483,11982.534945837984,6.53978248425873,171242.74777082686,93.46021751574128
c3533b36-Audio_SP16,H2,o,102887.23660277516,81340.96069086627,79.05835881753313,21546.275911908888,20.94164118246687
c3533b36-Audio_SP16,H2,u,109665.10374391108,74753.18846954944,68.1649731022116,34911.91527436164,31.8350268977884
