audio,half,vowel_raw,vowel,f1,f2,token_time
cafd9c21-Audio_SP27,H1,a,a,654.6011479818878,1398.0916943266834,5.385750000000001
cafd9c21-Audio_SP27,H1,a,a,674.65819432367,1107.7775270032664,6.14875
cafd9c21-Audio_SP27,H1,a,a,650.1779742566199,1307.023507217845,27.415750000000003
cafd9c21-Audio_SP27,H1,a,a,597.3663235760093,1458.7589707204704,29.08275
cafd9c21-Audio_SP27,H1,a,a,580.4823946354579,1519.2766762434164,30.71575
cafd9c21-Audio_SP27,H1,a,a,637.5098314914197,1424.5779180933455,33.91375
cafd9c21-Audio_SP27,H1,a,a,686.7947696650266,1283.410631426708,35.10775
cafd9c21-Audio_SP27,H1,a,a,704.2617935300398,1406.692120548174,37.27275
cafd9c21-Audio_SP27,H1,a,a,609.6900818403755,1386.1884041740316,40.74575
cafd9c21-Audio_SP27,H1,a,a,714.8975276134041,1409.5440877355654,41.14375
cafd9c21-Audio_SP27,H1,a,a,725.3379558451239,1312.7076141255054,43.87375
cafd9c21-Audio_SP27,H1,a,a,727.8713933100802,1355.6597443583223,44.50575
cafd9c21-Audio_SP27,H1,a,a,781.9366241248891,1237.5052404045764,44.97575
cafd9c21-Audio_SP27,H1,a,a,666.974853425204,1372.4423628749112,47.66275
cafd9c21-Audio_SP27,H1,a,a,685.5039377302905,1470.676228654956,49.45075
cafd9c21-Audio_SP27,H1,a,a,655.3708809642768,1211.830134601155,49.77374999999999
cafd9c21-Audio_SP27,H1,a,a,622.4463207129488,1536.711864292542,51.23775
cafd9c21-Audio_SP27,H1,a,a,658.8179060448446,1319.237669504879,52.47375
cafd9c21-Audio_SP27,H1,a,a,588.9121843404721,1243.620040011945,53.33575
cafd9c21-Audio_SP27,H1,a,a,654.7990722757509,1580.5329215352526,55.19375
cafd9c21-Audio_SP27,H1,a,a,542.6816087208834,1288.2777417291995,56.81275
cafd9c21-Audio_SP27,H1,a,a,522.6259061904999,1741.7367935992745,57.91275
cafd9c21-Audio_SP27,H1,a,a,663.7947438400342,1334.4693169238185,59.28274999999999
cafd9c21-Audio_SP27,H1,a,a,679.4046699709875,1384.1508684837916,60.57875
cafd9c21-Audio_SP27,H1,a,a,680.7795362981641,1240.4541491865853,60.95775
cafd9c21-Audio_SP27,H1,a,a,697.7744388505873,1389.1512151565516,61.49875
cafd9c21-Audio_SP27,H1,a,a,578.5697243822362,1274.784515484121,62.45275
cafd9c21-Audio_SP27,H1,a,a,614.9133181039687,1309.7152920424337,63.655750000000005
cafd9c21-Audio_SP27,H1,a,a,643.6282328296925,1604.329679304141,65.20875
cafd9c21-Audio_SP27,H1,a,a,624.7865645891691,1294.7955916801802,66.13775
cafd9c21-Audio_SP27,H1,a,a,602.859298216992,1435.8483442311976,68.47375
cafd9c21-Audio_SP27,H1,a,a,883.2548232551688,1377.3663367675904,72.58075
cafd9c21-Audio_SP27,H1,a,a,636.8012961823226,1704.164847787652,73.58574999999999
cafd9c21-Audio_SP27,H1,a,a,611.8434996526389,1510.3910759647472,75.66775
cafd9c21-Audio_SP27,H1,a,a,627.4682326161809,1470.8108463841245,77.15775
cafd9c21-Audio_SP27,H1,a,a,579.9407809143858,1611.5684077955411,84.47774999999999
cafd9c21-Audio_SP27,H1,a,a,641.8595060763788,1333.6002748274268,85.80375000000001
cafd9c21-Audio_SP27,H1,a,a,642.2884966403246,1375.2582783752182,91.07375
cafd9c21-Audio_SP27,H1,a,a,706.463505941397,1295.7140739970996,91.39075
cafd9c21-Audio_SP27,H1,a,a,547.3019652481892,1711.2182329317036,93.20375
cafd9c21-Audio_SP27,H1,a,a,584.3372146180739,1309.9528781127344,93.35375
cafd9c21-Audio_SP27,H1,a,a,571.8007594858319,1243.204913729658,115.62275
cafd9c21-Audio_SP27,H1,a,a,574.0658267921723,1391.258651469352,118.31875
cafd9c21-Audio_SP27,H1,a,a,624.9677084230962,1339.891372961254,123.41575
cafd9c21-Audio_SP27,H1,a,a,563.8955408645805,1427.4034141028303,126.70875
cafd9c21-Audio_SP27,H1,a,a,640.9341824298401,1463.6741661207834,128.08875
cafd9c21-Audio_SP27,H1,a,a,612.4305561915761,1125.8414739679886,128.72375000000002
cafd9c21-Audio_SP27,H1,a,a,678.9754684977141,1304.6110854930107,129.35975
cafd9c21-Audio_SP27,H1,a,a,626.5125189972418,1347.4279053041005,130.39375
cafd9c21-Audio_SP27,H1,a,a,584.0343191334691,1383.3489377791116,132.19575
cafd9c21-Audio_SP27,H1,a,a,625.5632565748224,1447.9281415754135,136.32575000000003
cafd9c21-Audio_SP27,H1,a,a,681.7726116640473,1173.2989194243607,137.57575000000003
cafd9c21-Audio_SP27,H1,a,a,652.4943615968925,1388.4724113595018,141.24274999999997
cafd9c21-Audio_SP27,H1,a,a,558.0588597972418,1278.0415734572173,141.66775
cafd9c21-Audio_SP27,H1,a,a,632.4709356279928,1257.572992645316,143.20274999999998
cafd9c21-Audio_SP27,H1,a,a,584.6089193880309,1441.4582241178912,149.54874999999998
cafd9c21-Audio_SP27,H1,a,a,652.9111372072191,1203.315981712657,149.66275
cafd9c21-Audio_SP27,H1,a,a,619.6574764897397,1498.8218044192938,151.27375
cafd9c21-Audio_SP27,H1,a,a,628.7742132380829,1272.815738406681,151.88575
cafd9c21-Audio_SP27,H1,a,a,661.523712176982,1245.4535113412296,152.05874999999995
cafd9c21-Audio_SP27,H1,a,a,620.8542937497741,1325.9784850679762,156.83575
cafd9c21-Audio_SP27,H1,a,a,507.90756677459007,1662.5866836778728,157.40375
cafd9c21-Audio_SP27,H1,a,a,521.3517636846908,1800.6788515349192,159.39375
cafd9c21-Audio_SP27,H1,a,a,619.9571818175513,1183.7759655201935,160.14775000000003
cafd9c21-Audio_SP27,H1,a,a,602.51016747432,1323.3435844237406,164.08575
cafd9c21-Audio_SP27,H1,a,a,676.8934890588226,1435.8725245258458,169.34575
cafd9c21-Audio_SP27,H1,a,a,594.332846100289,1459.5135260601735,169.77275
cafd9c21-Audio_SP27,H1,a,a,581.307258279367,1711.7747259706168,172.73574999999997
cafd9c21-Audio_SP27,H1,a,a,653.0289161235297,1438.0630712752372,174.29375000000002
cafd9c21-Audio_SP27,H1,a,a,629.8244869613064,1275.1948514060475,180.29275
cafd9c21-Audio_SP27,H1,a,a,573.6678778249701,1384.3728882442851,183.09375000000003
cafd9c21-Audio_SP27,H1,a,a,658.5971599662236,1261.3160250811422,184.15275
cafd9c21-Audio_SP27,H1,a,a,566.119165861013,1298.6737379660085,184.97775
cafd9c21-Audio_SP27,H1,a,a,573.9217189598197,1676.377385435095,185.92275
cafd9c21-Audio_SP27,H1,a,a,656.1869289066656,1509.5345802203303,190.48875
cafd9c21-Audio_SP27,H1,a,a,641.2567292247874,1334.651876994267,192.40375
cafd9c21-Audio_SP27,H1,a,a,635.0965409470399,1593.551957316729,198.85875
cafd9c21-Audio_SP27,H1,a,a,728.4533345716592,1204.8916247033287,203.96775
cafd9c21-Audio_SP27,H1,a,a,584.1904703568282,1540.8957077725104,205.57275
cafd9c21-Audio_SP27,H1,a,a,562.6090292447491,1556.195543524879,205.85575
cafd9c21-Audio_SP27,H1,a,a,659.642302008066,1201.0328310455952,207.01275
cafd9c21-Audio_SP27,H1,a,a,587.2561145870812,1500.524608012894,208.48775
cafd9c21-Audio_SP27,H1,a,a,717.192856378212,1250.6834078682482,219.02575
cafd9c21-Audio_SP27,H1,a,a,612.2460219747772,1580.5935734044317,221.16875
cafd9c21-Audio_SP27,H1,a,a,577.3422810954511,1432.937913444894,222.56575
cafd9c21-Audio_SP27,H1,a,a,610.981761552204,1371.4177559998525,225.18775
cafd9c21-Audio_SP27,H1,a,a,614.8565114529785,1365.7376471533676,226.58275
cafd9c21-Audio_SP27,H1,a,a,667.9150474291126,1327.5421077391302,228.34575
cafd9c21-Audio_SP27,H1,a,a,641.4641574902637,1301.920577649837,229.41775
cafd9c21-Audio_SP27,H1,a,a,617.1879623521309,1293.931085517749,229.54275
cafd9c21-Audio_SP27,H1,a,a,688.9672871975274,1385.5609146837314,230.01275
cafd9c21-Audio_SP27,H1,a,a,574.3875607206365,1426.1768404325544,235.29375
cafd9c21-Audio_SP27,H1,a,a,667.2818732984489,1173.453652468891,235.44775
cafd9c21-Audio_SP27,H1,a,a,656.3946489323567,1533.0863322568296,235.62775
cafd9c21-Audio_SP27,H1,a,a,574.944293114916,1617.8081411378523,237.42375
cafd9c21-Audio_SP27,H1,a,a,648.8249077919157,1516.298280038354,240.73275
cafd9c21-Audio_SP27,H1,a,a,649.2109037279707,1453.372716693775,240.85375
cafd9c21-Audio_SP27,H1,a,a,656.088406302041,1485.4275355986874,241.05575
cafd9c21-Audio_SP27,H1,a,a,556.6335134088199,1582.2795371761945,241.65875
cafd9c21-Audio_SP27,H1,a,a,541.9180721400033,1698.9360109602248,246.55775
cafd9c21-Audio_SP27,H1,a,a,575.9213819916149,1469.706306989062,247.79275
cafd9c21-Audio_SP27,H1,a,a,650.7527585431368,1214.557621502066,251.15875
cafd9c21-Audio_SP27,H1,a,a,675.7798203250923,1255.3556206438589,251.32875
cafd9c21-Audio_SP27,H1,a,a,615.4899308661986,1510.8527207947373,251.61275
cafd9c21-Audio_SP27,H1,a,a,563.7428286368247,1715.9037337138127,253.07875
cafd9c21-Audio_SP27,H1,a,a,631.3086478645563,1359.6786579479165,253.92275
cafd9c21-Audio_SP27,H1,a,a,613.3957231962778,1300.633860097806,254.07575
cafd9c21-Audio_SP27,H1,a,a,504.8580836401044,1760.9465485677636,254.26275
cafd9c21-Audio_SP27,H1,a,a,671.6895105210449,1397.8364960347835,258.53875000000005
cafd9c21-Audio_SP27,H1,a,a,607.188443460059,1362.0337908789506,261.46275
cafd9c21-Audio_SP27,H1,a,a,538.0321096103904,1646.2757297622095,261.68275000000006
cafd9c21-Audio_SP27,H1,a,a,535.5091053649068,1263.8645811894023,263.21374999999995
cafd9c21-Audio_SP27,H1,a,a,576.5112280434677,1421.2103322587718,265.25275000000005
cafd9c21-Audio_SP27,H1,a,a,750.7183717925772,1547.2765316214893,265.42775000000006
cafd9c21-Audio_SP27,H1,a,a,625.742451192536,1550.6534529903229,270.52575
cafd9c21-Audio_SP27,H1,a,a,600.906417205603,1688.566795298336,271.27275000000003
cafd9c21-Audio_SP27,H1,a,a,647.3087394165898,1273.330085130995,275.11075000000005
cafd9c21-Audio_SP27,H1,a,a,624.4291315484356,1383.0191996503188,275.48074999999994
cafd9c21-Audio_SP27,H1,a,a,531.9387514909108,1763.2575156847706,276.19275000000005
cafd9c21-Audio_SP27,H1,a,a,620.4436105749871,1309.6371557233902,278.88375
cafd9c21-Audio_SP27,H1,a,a,599.1562703899513,1322.6349683555638,279.22574999999995
cafd9c21-Audio_SP27,H1,a,a,630.1488795866677,1196.920514062124,280.47875
cafd9c21-Audio_SP27,H1,a,a,496.7168744589525,1851.2386030978068,282.09574999999995
cafd9c21-Audio_SP27,H1,a,a,599.665289948086,1441.6741035179894,284.83575
cafd9c21-Audio_SP27,H1,a,a,700.4814839201548,1494.3741012468408,286.15374999999995
cafd9c21-Audio_SP27,H1,a,a,642.8495188639777,1224.889054711953,301.49875000000003
cafd9c21-Audio_SP27,H1,a,a,712.6677932423736,1136.2584634447517,301.73774999999995
cafd9c21-Audio_SP27,H1,a,a,596.9367912021157,1327.778600405049,309.95275000000004
cafd9c21-Audio_SP27,H1,a,a,651.1693312859036,1356.8162926421217,310.64775000000003
cafd9c21-Audio_SP27,H1,a,a,643.2428028867619,1415.8841443419565,310.86775000000006
cafd9c21-Audio_SP27,H1,a,a,650.7149183568933,1144.1871948270443,311.02575
cafd9c21-Audio_SP27,H1,a,a,650.3476514663141,1298.9832435583144,315.90775
cafd9c21-Audio_SP27,H1,a,a,550.6833496217788,1521.2915177527916,319.69275000000005
cafd9c21-Audio_SP27,H1,a,a,569.0869171008873,1538.2577188534815,322.37575
cafd9c21-Audio_SP27,H1,a,a,597.9492269935496,1715.0088306317718,326.53275
cafd9c21-Audio_SP27,H1,a,a,598.0063443122777,1348.7177125213063,327.25375
cafd9c21-Audio_SP27,H1,a,a,621.4089512859041,1447.8116306954037,329.03275
cafd9c21-Audio_SP27,H1,a,a,597.6625130053126,1101.448068261296,329.16574999999995
cafd9c21-Audio_SP27,H1,a,a,609.8269338695646,1506.3794905267537,329.35275
cafd9c21-Audio_SP27,H1,a,a,630.1150960413829,1415.1831937513637,329.89075
cafd9c21-Audio_SP27,H1,a,a,561.1707078689366,1449.4420917328696,333.04275
cafd9c21-Audio_SP27,H1,a,a,624.8196664999726,1122.4082615528623,333.77875
cafd9c21-Audio_SP27,H1,a,a,615.1074850279883,1383.3818821818948,337.62275000000005
cafd9c21-Audio_SP27,H1,a,a,647.2964076465553,1656.2418744192785,337.89275000000004
cafd9c21-Audio_SP27,H1,a,a,671.5922675430588,1350.2497205857014,338.46775
cafd9c21-Audio_SP27,H1,a,a,566.610750955563,1161.2375809002156,340.21374999999995
cafd9c21-Audio_SP27,H1,a,a,634.0846105148155,1404.851325826041,348.49775000000005
cafd9c21-Audio_SP27,H1,a,a,607.9462849248721,1574.4738532745212,348.84075
cafd9c21-Audio_SP27,H1,a,a,569.7376253593044,1587.9924830104565,350.21775
cafd9c21-Audio_SP27,H1,a,a,613.9280937605681,1235.8595589696583,353.20275000000004
cafd9c21-Audio_SP27,H1,a,a,653.148582221777,1226.2057760588018,353.32775000000004
cafd9c21-Audio_SP27,H1,a,a,614.3360510867712,1466.3343097701884,353.51275000000004
cafd9c21-Audio_SP27,H1,a,a,594.4701827086667,1212.3679079563262,353.69575
cafd9c21-Audio_SP27,H1,a,a,669.4589263399183,1655.0100363007723,356.40374999999995
cafd9c21-Audio_SP27,H1,a,a,704.5820585541126,1247.0065498581098,358.97275
cafd9c21-Audio_SP27,H1,a,a,611.5418973879308,1264.072395533913,364.41575
cafd9c21-Audio_SP27,H1,a,a,591.9726986824754,1513.1930351032552,365.67375
