audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
cafd9c21-Audio_SP27,H1,i,122903.31599389047,32325.501200382976,26.30156960288189,90577.8147935075,73.6984303971181
cafd9c21-Audio_SP27,H1,e,84379.41443289272,43088.36985376338,51.06502592291836,41291.04457912934,48.93497407708164
cafd9c21-Audio_SP27,H1,a,98452.3132108191,16502.713885276225,16.7621393008191,81949.59932554288,83.2378606991809
cafd9c21-Audio_SP27,H1,o,79609.38694449444,25968.97838158926,32.62049788135594,53640.408562905184,67.37950211864407
cafd9c21-Audio_SP27,H1,u,73943.33219308214,20229.13314969344,27.357616366098796,53714.1990433887,72.6423836339012
cafd9c21-Audio_SP27,H2,i,143441.0130820406,34309.889379565684,23.919162757127392,109131.1237024749,76.0808372428726
cafd9c21-Audio_SP27,H2,e,74070.64078639187,44072.78186143968,59.501013348242374,29997.85892495219,40.49898665175763
cafd9c21-Audio_SP27,H2,a,121539.21133717903,19158.252956211916,15.763022275224667,102380.95838096712,84.23697772477533
cafd9c21-Audio_SP27,H2,o,104379.0901402478,48928.34556663471,46.8756199166832,55450.7445736131,53.1243800833168
cafd9c21-Audio_SP27,H2,u,108126.88131568617,39532.98509229679,36.56166219839142,68593.89622338938,63.43833780160858
