half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,398,403.1724470123463,2490.5953541254285,415.5151047420891,2484.7577793940613,93.55658631750119,283.0140294861948,75.33981802582707,279.91633792688754,216.14387187707183,153.6750378235007
H1,e,507,477.8881912650746,2106.468372351665,479.4024911098892,2075.0138197049623,47.7684023025064,256.0685688827661,64.05078455041928,387.8195630693476,217.63298526238736,188.45586651443608
H1,a,476,627.6974911346413,1669.0466587537985,643.2886942682037,1678.6223689092492,104.75440104013745,191.65397435719782,148.43481284921597,188.1683866664166,177.5536205037845,148.6822641029156
H1,o,330,496.5980488524499,1131.1462046736162,493.81136674896965,1214.1184437852046,45.93370555988375,270.55448343028826,56.4681012565934,495.03135019295246,246.44392280505167,215.79469329958312
H1,u,68,436.32252085084804,998.8924107327081,440.54367662846806,1163.578314137393,60.93159973997538,471.05186936514156,76.3792874415658,461.3397541965513,296.47119429176104,135.61260900810038
H2,i,420,404.95389284485515,2511.648335766213,410.75098839402034,2473.440085924103,95.25996539308073,339.4844383780498,78.29164267433106,329.4734501497969,256.98342154295597,179.65200131241102
H2,e,405,486.6988513750085,2123.370608370129,482.19479223652615,2077.142588847997,49.242098361911324,275.8444245314694,60.729041214351355,431.00637279178886,239.46562371545372,208.0236164652784
H2,a,499,674.5877003874173,1659.4292038240646,676.7243509677864,1662.5285529153955,114.32457308707092,212.15878666966435,174.68842477001692,187.45087726582983,192.67020178959515,156.35778144424089
H2,o,348,494.4538942533127,1123.0038206381746,490.05390513849414,1202.0901540221823,49.45566180198769,281.12790941935117,55.7937354240654,494.58651768778896,249.3929071376632,209.60989992121148
H2,u,85,439.6700200484577,991.179854570672,445.8302951172769,1181.7352496757637,82.42743484075864,424.16810732962773,78.7081545949901,529.6224838459646,303.1651154993917,142.01314531017007
