half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,391.32592626333906,216.88970656099676,1.8042623251614982,True
H1,i,a,i-a,851.677024643113,197.79214026853288,4.305919454063402,False
H1,i,o,i-o,1362.6556179110119,231.78953863101148,5.878848657101128,False
H1,i,u,i-u,1492.0712445195115,259.43529289092027,5.751226935599906,True
H1,e,a,e-a,462.36412258554805,198.60690374231763,2.3280365076605896,True
H1,e,o,e-o,975.5016091914702,232.48518593854618,4.195973198263603,False
H1,e,u,e-u,1108.3556359369234,260.0569988665962,4.261971955253881,False
H1,a,o,a-o,553.6460622693598,214.7788342010732,2.5777496387332257,True
H1,a,u,a-u,696.9441121007021,244.3567649961681,2.852158040771375,False
H1,o,u,o-u,145.34168461813042,272.60757154958605,0.5331535136458726,True
H2,i,e,i-e,396.7894048950455,248.37900866353004,1.5975158570367014,True
H2,i,a,i-a,893.8567217502639,227.1148229481818,3.9357040203148914,False
H2,i,o,i-o,1391.5257236743055,253.21660794515404,5.49539674734015,False
H2,i,u,i-u,1520.8647578917373,281.0245240220897,5.411857784241603,True
H2,e,a,e-a,500.5435509877065,217.33107416919765,2.3031384393656515,True
H2,e,o,e-o,1000.3968465999848,244.4796587366793,4.09194307522115,False
H2,e,u,e-u,1133.16707239706,273.17839610517404,4.148084506509766,False
H2,a,o,a-o,565.8625096598008,222.84369947142147,2.539279822593188,True
H2,a,u,a-u,708.3385555745363,253.9989113297563,2.7887464236212,False
H2,o,u,o-u,142.7544426722316,277.5841398444214,0.5142744925997634,True
