audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
d4c363bf-Audio_SP13,H1,i,e,129694.71992976441,113913.28277016919,35431.87181638154,208176.13088355205,27.319440479588923,31.10424961404079,17.02014138988929
d4c363bf-Audio_SP13,H1,i,a,129694.71992976441,157518.18039999506,0.0,287212.90032975946,0.0,0.0,0.0
d4c363bf-Audio_SP13,H1,i,o,129694.71992976441,111451.19345377486,0.0,241145.91338353927,0.0,0.0,0.0
d4c363bf-Audio_SP13,H1,i,u,129694.71992976441,117828.56014172858,0.0,247523.280071493,0.0,0.0,0.0
d4c363bf-Audio_SP13,H1,e,a,113913.28277016919,157518.18039999506,13439.675516558516,257991.78765360572,11.798163646705127,8.532142437419203,5.2093423743407605
d4c363bf-Audio_SP13,H1,e,o,113913.28277016919,111451.19345377486,0.0,225364.47622394405,0.0,0.0,0.0
d4c363bf-Audio_SP13,H1,e,u,113913.28277016919,117828.56014172858,0.0,231741.84291189778,0.0,0.0,0.0
d4c363bf-Audio_SP13,H1,a,o,157518.18039999506,111451.19345377486,7867.578642613456,261101.79521115645,4.994711481960278,7.059214350967527,3.0132227303342907
d4c363bf-Audio_SP13,H1,a,u,157518.18039999506,117828.56014172858,0.0,275346.7405417236,0.0,0.0,0.0
d4c363bf-Audio_SP13,H1,o,u,111451.19345377486,117828.56014172858,55119.33037266251,174160.42322284094,49.456025247072496,46.77926158680283,31.64859693877551
d4c363bf-Audio_SP13,H2,i,e,169386.35870126897,121153.77355907376,44525.77273897064,246014.35952137207,26.286516269882526,36.75145348837209,18.098851150638847
d4c363bf-Audio_SP13,H2,i,a,169386.35870126897,178913.13072095776,0.0,348299.48942222673,0.0,0.0,0.0
d4c363bf-Audio_SP13,H2,i,o,169386.35870126897,110341.50365133084,0.0,279727.8623525998,0.0,0.0,0.0
d4c363bf-Audio_SP13,H2,i,u,169386.35870126897,149557.99401703684,0.0,318944.3527183058,0.0,0.0,0.0
d4c363bf-Audio_SP13,H2,e,a,121153.77355907376,178913.13072095776,9940.59668228156,290126.30759775,8.204941860465116,5.556102362204724,3.4262996570665534
d4c363bf-Audio_SP13,H2,e,o,121153.77355907376,110341.50365133084,0.0,231495.2772104046,0.0,0.0,0.0
d4c363bf-Audio_SP13,H2,e,u,121153.77355907376,149557.99401703684,0.0,270711.7675761106,0.0,0.0,0.0
d4c363bf-Audio_SP13,H2,a,o,178913.13072095776,110341.50365133084,4666.533429237579,284588.100943051,2.608267716535433,4.229173316310245,1.6397500154693398
d4c363bf-Audio_SP13,H2,a,u,178913.13072095776,149557.99401703684,0.0,328471.12473799457,0.0,0.0,0.0
d4c363bf-Audio_SP13,H2,o,u,110341.50365133084,149557.99401703684,77129.87328324754,182769.62438512014,69.90105330354292,51.5718827269516,42.200597360053955
