audio,half,vowel_raw,vowel,f1,f2,token_time
d4c363bf-Audio_SP13,H1,i,i,357.4542607847757,2185.917512986984,36.03875000000001
d4c363bf-Audio_SP13,H1,i,i,492.22986940611264,2708.574442003588,37.92875
d4c363bf-Audio_SP13,H1,i,i,374.28786718916194,2805.899947286218,38.21775
d4c363bf-Audio_SP13,H1,i,i,519.160046740526,2459.280272721488,43.14075
d4c363bf-Audio_SP13,H1,i,i,279.9094416669117,2008.729641998665,52.05375
d4c363bf-Audio_SP13,H1,i,i,511.01902667241785,2485.911309003281,64.75274999999999
d4c363bf-Audio_SP13,H1,i,i,425.597013998578,2475.615249593996,64.86274999999999
d4c363bf-Audio_SP13,H1,i,i,455.1220817743797,2276.0177856695886,69.02775
d4c363bf-Audio_SP13,H1,i,i,366.54711794028617,2665.106969303931,83.51074999999999
d4c363bf-Audio_SP13,H1,i,i,475.47248310283805,2248.7298260238845,86.13775
d4c363bf-Audio_SP13,H1,i,i,439.1199047153157,2454.11351470376,108.54775
d4c363bf-Audio_SP13,H1,i,i,521.9606028760344,1990.009589524185,112.64275
d4c363bf-Audio_SP13,H1,i,i,412.7679095553464,2564.503253603053,124.91775
d4c363bf-Audio_SP13,H1,i,i,372.68385027772325,2374.3874782953344,130.64775
d4c363bf-Audio_SP13,H1,i,i,455.57880302280506,2648.624468835567,136.48575
d4c363bf-Audio_SP13,H1,i,i,416.3100945395874,2529.851624323805,137.30775
d4c363bf-Audio_SP13,H1,i,i,391.5619372091895,2327.7337739555546,139.69575
d4c363bf-Audio_SP13,H1,i,i,378.3148309894465,2905.9400033313773,140.06075
d4c363bf-Audio_SP13,H1,i,i,444.98545320288,2678.580508266346,149.99875
d4c363bf-Audio_SP13,H1,i,i,450.0045368335032,2412.042529650167,150.32274999999998
d4c363bf-Audio_SP13,H1,i,i,485.4684900814384,2391.0883271310804,150.47075
d4c363bf-Audio_SP13,H1,i,i,348.7895054814496,2362.875026350844,150.84275
d4c363bf-Audio_SP13,H1,i,i,380.1442115075756,2460.1101975605907,156.01075000000003
d4c363bf-Audio_SP13,H1,i,i,408.435849450362,2078.596963715621,160.39375
d4c363bf-Audio_SP13,H1,i,i,353.5061389040969,2083.236587554132,161.49075000000002
d4c363bf-Audio_SP13,H1,i,i,373.2903211819189,2447.919929103521,185.64575
d4c363bf-Audio_SP13,H1,i,i,453.9112290716044,2396.3121361976755,186.59375000000003
d4c363bf-Audio_SP13,H1,i,i,388.84484825664566,2438.133788932397,187.94375
d4c363bf-Audio_SP13,H1,i,i,387.9675081002367,2724.694321569744,189.17375
d4c363bf-Audio_SP13,H1,i,i,384.38018135744994,2421.9078302947228,190.59575
d4c363bf-Audio_SP13,H1,i,i,449.3567212709408,2513.235684511325,191.27775
d4c363bf-Audio_SP13,H1,i,i,403.029209053528,2441.5974835506604,220.45375
d4c363bf-Audio_SP13,H1,i,i,482.6894448984687,2560.357271979267,230.79275
d4c363bf-Audio_SP13,H1,i,i,364.1005668347141,2323.258243662141,232.76275
d4c363bf-Audio_SP13,H1,i,i,413.6484580402832,2319.143422706007,234.24775
d4c363bf-Audio_SP13,H1,i,i,507.97966459527055,2533.498127771516,234.89775
d4c363bf-Audio_SP13,H1,i,i,333.53095015809714,2643.4516119142727,243.72375
d4c363bf-Audio_SP13,H1,i,i,335.7213280363176,2694.187156793606,246.47275
d4c363bf-Audio_SP13,H1,i,i,329.2344900473768,2896.330603652504,248.57475
d4c363bf-Audio_SP13,H1,i,i,388.74025952094007,2576.206339988911,253.23375
d4c363bf-Audio_SP13,H1,i,i,436.37565775552326,2428.0771687851147,277.16775
d4c363bf-Audio_SP13,H1,i,i,431.4686238752888,2632.724826908323,281.90775
d4c363bf-Audio_SP13,H1,i,i,413.616323655224,2335.758131835937,286.77275000000003
d4c363bf-Audio_SP13,H1,i,i,375.8823825598316,2861.844382459992,287.35875
d4c363bf-Audio_SP13,H1,i,i,395.97314801724826,1972.8814393059888,296.71374999999995
d4c363bf-Audio_SP13,H1,i,i,394.1880770505104,2433.5219951167537,298.22074999999995
d4c363bf-Audio_SP13,H1,i,i,341.15519799770703,2604.4896183724336,299.51075
d4c363bf-Audio_SP13,H1,i,i,357.832867787617,2699.7798776671743,299.87075
d4c363bf-Audio_SP13,H1,i,i,447.3565489760717,2863.343624810722,300.13575
d4c363bf-Audio_SP13,H1,i,i,449.4801255965708,2596.287012009148,315.39075
d4c363bf-Audio_SP13,H1,i,i,370.0020265474849,2278.5856433058225,317.71575
d4c363bf-Audio_SP13,H1,i,i,378.0309718832309,2486.327571781646,320.17275
d4c363bf-Audio_SP13,H1,i,i,437.1266787102909,2519.36537861066,320.32275000000004
d4c363bf-Audio_SP13,H1,i,i,445.1430376310179,2328.237969498777,325.56075
d4c363bf-Audio_SP13,H1,i,i,357.654019384145,2442.359117181448,332.59775
d4c363bf-Audio_SP13,H1,i,i,442.9292920440434,2532.9279613085023,333.05574999999993
d4c363bf-Audio_SP13,H1,i,i,417.60513409219953,2401.8803062099723,337.64375
d4c363bf-Audio_SP13,H1,i,i,409.1301423450472,2383.958608970365,342.10374999999993
d4c363bf-Audio_SP13,H1,i,i,316.37475603734555,2722.404835172774,342.57075000000003
d4c363bf-Audio_SP13,H1,i,i,444.2352015538403,2458.985604205599,344.44075
d4c363bf-Audio_SP13,H1,i,i,397.6605204220816,2303.2715072057063,355.27075
d4c363bf-Audio_SP13,H1,i,i,343.2468189786477,2651.081327237299,357.03275
d4c363bf-Audio_SP13,H1,i,i,298.31226533422927,2063.495063012589,358.56575
d4c363bf-Audio_SP13,H1,i,i,384.88730502694654,2662.814113585295,359.15574999999995
d4c363bf-Audio_SP13,H1,i,i,405.244432472764,2449.3214554646747,361.73275
d4c363bf-Audio_SP13,H1,i,i,460.8955357833891,2375.8291527240585,372.58375
d4c363bf-Audio_SP13,H1,i,i,433.41681375749687,2326.5623372431646,372.74575
d4c363bf-Audio_SP13,H1,i,i,362.529299737052,2715.934311713497,373.97575
d4c363bf-Audio_SP13,H1,i,i,380.5051312629416,2129.8663763618747,377.02575
d4c363bf-Audio_SP13,H1,i,i,456.067017922926,2308.332934704634,379.76275
d4c363bf-Audio_SP13,H1,i,i,443.4078909785474,2526.266646662828,381.02575
d4c363bf-Audio_SP13,H1,i,i,390.0650988062646,2645.732554015868,381.39875
d4c363bf-Audio_SP13,H1,i,i,508.0559527969381,2372.7917058183566,384.02375
d4c363bf-Audio_SP13,H1,i,i,283.1002135114581,2752.5823040879645,387.32275
d4c363bf-Audio_SP13,H1,i,i,350.8632148807243,3082.5546782097367,387.58075
d4c363bf-Audio_SP13,H1,i,i,580.1351513729991,1948.5421825056328,390.10275
d4c363bf-Audio_SP13,H1,i,i,327.690590872817,2363.041641150159,416.71575
d4c363bf-Audio_SP13,H1,i,i,444.01709977014457,2480.622185826311,417.37575
d4c363bf-Audio_SP13,H1,i,i,346.7271566709251,2831.4541361811075,419.08275
d4c363bf-Audio_SP13,H1,i,i,396.2745287024028,2593.5306906100195,420.83775
d4c363bf-Audio_SP13,H1,i,i,464.6690355872112,2359.158761241471,422.86075
d4c363bf-Audio_SP13,H1,i,i,334.5015170451877,2952.4883016124504,424.42775
d4c363bf-Audio_SP13,H1,i,i,329.39837315931175,2815.087841736268,428.16275
d4c363bf-Audio_SP13,H1,i,i,397.2875565800624,2517.353267174553,430.87575
d4c363bf-Audio_SP13,H1,i,i,420.0852181335048,2575.0792733204903,451.35775
d4c363bf-Audio_SP13,H1,i,i,365.8701176342357,2556.6435519581,452.16775
d4c363bf-Audio_SP13,H1,i,i,398.29787003524535,2468.2325022915707,453.87275000000005
d4c363bf-Audio_SP13,H1,i,i,522.9569822574546,2464.0192621668184,480.25375
d4c363bf-Audio_SP13,H1,i,i,412.81656492201546,2450.5063032512107,480.65575
d4c363bf-Audio_SP13,H1,i,i,481.3094108719693,2810.545616676204,483.49075
d4c363bf-Audio_SP13,H1,i,i,432.912451946846,2593.2296875505112,485.82875
d4c363bf-Audio_SP13,H1,i,i,361.82478551111296,2689.1962480866987,486.64275
d4c363bf-Audio_SP13,H1,i,i,397.1509610007654,2433.73356513041,487.38275
