audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
d4c363bf-Audio_SP13,H1,i,129694.71992976441,35431.87181638154,27.319440479588923,94262.84811338288,72.68055952041108
d4c363bf-Audio_SP13,H1,e,113913.28277016919,48871.547332940056,42.90241326074592,65041.73543722913,57.09758673925408
d4c363bf-Audio_SP13,H1,a,157518.18039999506,21307.25415917197,13.526853919379478,136210.9262408231,86.47314608062051
d4c363bf-Audio_SP13,H1,o,111451.19345377486,62986.90901527597,56.51523959804003,48464.28443849889,43.484760401959974
d4c363bf-Audio_SP13,H1,u,117828.56014172858,55119.33037266251,46.77926158680283,62709.22976906607,53.22073841319717
d4c363bf-Audio_SP13,H2,i,169386.35870126897,44525.77273897064,26.286516269882526,124860.58596229833,73.71348373011747
d4c363bf-Audio_SP13,H2,e,121153.77355907376,54466.3694212522,44.95639534883721,66687.40413782155,55.04360465116278
d4c363bf-Audio_SP13,H2,a,178913.13072095776,14607.13011151914,8.164370078740157,164306.00060943863,91.83562992125984
d4c363bf-Audio_SP13,H2,o,110341.50365133084,81796.40671248511,74.13022661985316,28545.09693884573,25.86977338014683
d4c363bf-Audio_SP13,H2,u,149557.99401703684,77129.87328324754,51.5718827269516,72428.1207337893,48.42811727304839
