half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,272,408.4377181223351,1967.03079974248,416.67726046043884,1957.3851111783972,88.94709729437193,247.749498187981,110.0050744491,312.26643088922265,208.88796476872088,176.75799270291031
H1,e,377,550.1051738926066,1664.9950075041768,556.2368288017656,1675.581913142484,57.58025301337001,188.86321466877533,77.7676450508543,232.24400064406314,157.7156472995261,130.54006078988527
H1,a,462,643.6126264583415,1364.9111870905126,649.7752350994276,1382.9555849051033,65.95879178880774,169.33425748274334,77.02299167471494,215.5113484841254,151.1083178147322,129.51595123198933
H1,o,296,552.8282565945995,1105.550425140389,564.484572740113,1109.3729989358483,58.102056984030476,176.08917511410172,78.43602881477455,206.47003283341917,148.35700103871184,118.50906537233229
H1,u,87,464.1228532729217,999.8010771702782,476.19622353670593,1022.5609028645313,71.25688829067093,324.40428270450724,66.49377047796872,314.3183630002384,226.45115089749825,177.61297534030587
H2,i,185,446.31347913524553,2013.376535686734,449.8978362779768,2022.1957590549348,102.00889773200261,324.76684724013563,145.88219866469774,413.76204350998114,278.66687269970384,223.24163907340747
H2,e,332,572.0316312724096,1671.4957125635221,569.9229099069644,1695.131196558639,53.571059747793086,213.82836179869176,73.45705417068939,246.0680167220694,175.79617976351224,133.0680889614932
H2,a,438,653.4369353240427,1394.0900918994557,659.6262673792547,1396.5542020565595,59.135482104863925,178.62817032404212,72.4129647015634,228.64952846096958,153.95090528706353,127.53397121827398
H2,o,299,580.8495500678929,1085.407250696364,581.3062141293209,1089.6504793686672,51.381498464838856,230.44228388895172,71.95883787301216,294.72244346111574,188.90276842075536,153.65386718317546
H2,u,64,498.91568731472364,966.4024179566924,500.4388699315493,985.3761380868598,72.1833823034516,277.0108196831301,92.35852218734954,368.24001337517313,231.63942845241465,197.73126718163948
