half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,333.6094840040392,208.88796476872088,185.07891185697912,1.8025256397759568,0.5547771293418573,0.12716418781848848,0.298474653993657,272
H1,e,a,314.31503775574186,157.7156472995261,154.44731968523544,2.035095451292504,0.4913774434338658,0.16129666795007905,0.28270991128396866,377
H1,a,o,274.7904777296793,151.1083178147322,149.73897867622588,1.8351299051120609,0.5449205515175427,0.14464422995094883,0.24794369134874283,462
H1,o,u,138.02743631092014,148.35700103871184,191.4287380463052,0.721038218815047,1.3868890357065928,0.09715389207887229,0.18978443850281146,296
H1,u,o,138.02743631092014,226.45115089749825,191.4287380463052,0.721038218815047,1.3868890357065928,-0.06872018870325287,-0.032898027541199054,87
H2,i,e,364.2630244702145,278.66687269970384,232.9801737913315,1.5634936593208413,0.6395932558078843,0.0871019389525825,0.27655371904880754,185
H2,e,a,289.1032720391707,175.79617976351224,165.23495099123477,1.7496496371067811,0.5715429985477544,0.12847097683367179,0.2372619629656989,332
H2,a,e,289.1032720391707,153.95090528706353,165.23495099123477,1.7496496371067811,0.5715429985477544,0.15187536379752745,0.2526196120121069,438
H2,o,u,144.48289892251046,188.90276842075536,211.35406399072016,0.6836059652434893,1.4628310033014653,0.037176346754697456,0.08423486913332778,299
H2,u,o,144.48289892251046,231.63942845241465,211.35406399072016,0.6836059652434893,1.4628310033014653,-0.0997174448839688,-0.09156303967384735,64
