half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,367.8176932530687,220.2914447218827,1.6696866903634748,True
H1,i,a,i-a,849.1760635533941,211.64966291884852,4.012177727299232,False
H1,i,o,i-o,1288.3853364266283,239.87305692087577,5.371113175297605,False
H1,i,u,i-u,1514.421152725398,266.67122063323626,5.678982340611261,True
H1,e,a,e-a,481.7939625231168,193.8301629298213,2.4856500930536622,True
H1,e,o,e-o,931.211652703532,224.30701211577087,4.151504867903588,False
H1,e,u,e-u,1163.827916238218,252.76093875786867,4.604461124244764,False
H1,a,o,a-o,506.0790250926147,215.82607553377903,2.344846533677568,True
H1,a,u,a-u,749.0384144403041,245.26587891055482,3.0539854046043984,False
H1,o,u,o-u,242.96029082103274,269.9978795855079,0.8998599959155886,True
H2,i,e,i-e,378.05059168065446,252.31743370064615,1.4983133988639896,True
H2,i,a,i-a,977.1080856568258,232.47520084260577,4.203063733745793,False
H2,i,o,i-o,1367.028917220244,212.6466333753919,6.428641241674323,False
H2,i,u,i-u,1539.9981444209668,229.44918211531757,6.711717732979269,True
H2,e,a,e-a,599.2545794441686,247.17407531253752,2.4244232680407336,True
H2,e,o,e-o,1003.6841328995124,228.62391647788388,4.390109960331314,False
H2,e,u,e-u,1186.0096288767622,244.33016938803578,4.854126822927001,False
H2,a,o,a-o,461.12606075058926,206.51761872347927,2.232865474630631,True
H2,a,u,a-u,663.6024594518985,223.78083772011442,2.965412348138024,False
H2,o,u,o-u,203.64761316821267,203.10523136983608,1.0026704472096486,True
