half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,269,477.476320128781,2411.65611647676,500.9250383867506,2269.009047109458,124.09907745135612,387.7275637847856,121.90503382101207,535.7993640376035,324.8009510338178,230.87346557962366
H1,e,373,584.8041862469852,1897.79323553778,597.5318901160144,1947.675302301948,121.57365855654957,244.1144008366952,145.55388750548246,285.52450526721987,217.72836228323717,162.25479391322165
H1,a,409,803.2751344652648,1722.1779657967652,805.2436957815131,1698.1406031349277,144.88393950093973,164.2876790974279,165.8803831199557,186.80126701353174,186.549160876257,167.02017282520876
H1,o,270,595.5279634718331,1245.5429635923183,598.1272773233975,1230.9175537313486,114.90347504905928,283.8425238824429,150.6267358559394,408.1685066155254,256.14967668016317,232.30183859529222
H1,u,51,490.0336967984292,976.654606468317,510.064167486057,1058.3934018818095,89.89993450129963,274.829241396664,111.35186195686867,392.2847019782022,237.9236564944725,191.564244992615
H2,i,304,481.5269109240969,2408.26732721141,512.4199920171785,2308.48119516251,135.69458982161194,334.7612667804612,127.58166787932066,395.4174808377097,283.3239251924917,196.71853240111244
H2,e,435,583.656687373359,1915.632422441636,597.8377390253027,2006.2154612857544,111.43679469060532,275.7638471999632,129.47766056133014,454.33673997090045,255.62897356180886,203.73224937905027
H2,a,452,810.5237294407489,1695.1974659094699,833.3918373422173,1673.6803692643766,154.71371581068234,167.64487974399955,197.35570949309454,182.69400494693923,198.16338201162233,178.21637788208818
H2,o,316,583.0255661505016,1248.6815239655953,580.2104115056171,1224.223248657353,98.6425304297481,269.0345414806499,127.77501526142692,406.66346119964237,242.61773949619965,217.08725467461778
H2,u,59,482.3688768058703,1020.335759217886,494.8057668856096,1049.5757496826905,79.16844061959755,267.9666748783235,106.13787212295108,393.43977545131247,242.2063811870259,207.9717364295566
