half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,524.9517418319473,276.49710444687577,1.8985795271964878,True
H1,i,u,i-u,1435.0564523513822,284.6957359288792,5.040667179890178,True
H1,e,a,e-a,280.3039032578812,202.73903073431148,1.3825848049220384,True
H1,a,o,a-o,519.9421240697923,224.0683448046463,2.3204621988130594,True
H1,o,u,o-u,288.8424984274366,247.20469573114087,1.168434513645246,True
H2,i,e,i-e,503.10996872960123,269.8320020964383,1.8645303923208822,True
H2,i,u,i-u,1387.9318233758847,263.5681863144673,5.26593077405754,True
H2,e,a,e-a,316.3229755135482,228.70821814546602,1.3830853044045681,True
H2,a,o,a-o,501.1306224034425,221.50857036301096,2.26235319736019,True
H2,o,u,o-u,249.5467038212242,242.4121475978057,1.0294315127938873,True
