half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,524.9517418319473,324.8009510338178,276.49710444687577,1.8985795271964878,0.5267095666393479,0.09061418903084761,0.30541092388699004,269
H1,e,a,280.3039032578812,217.72836228323717,202.73903073431148,1.3825848049220384,0.723282938189378,0.0646279126310452,0.13324140119923167,373
H1,a,e,280.3039032578812,186.549160876257,202.73903073431148,1.3825848049220384,0.723282938189378,0.2753879907303283,0.37527842812385315,409
H1,o,u,288.8424984274366,256.14967668016317,247.20469573114087,1.168434513645246,0.8558459959216976,-0.06417925944862178,-0.0272811901070305,270
H1,u,o,288.8424984274366,237.9236564944725,247.20469573114087,1.168434513645246,0.8558459959216976,0.10843038760741378,0.2507433142337447,51
H2,i,e,503.10996872960123,283.3239251924917,269.8320020964383,1.8645303923208822,0.5363280770957269,0.13207239048299566,0.31983361585254777,304
H2,e,a,316.3229755135482,255.62897356180886,228.70821814546602,1.3830853044045681,0.7230212025356672,0.003560147974403376,0.017112270205391723,435
H2,a,e,316.3229755135482,198.16338201162233,228.70821814546602,1.3830853044045681,0.7230212025356672,0.3071680179303583,0.39205940418477736,452
H2,o,u,249.5467038212242,242.61773949619965,242.4121475978057,1.0294315127938873,0.9714099360393487,-0.03877365574089463,0.03182730072112545,316
H2,u,o,249.5467038212242,242.2063811870259,242.4121475978057,1.0294315127938873,0.9714099360393487,0.11777224808559567,0.23731008855372798,59
