center_f1,center_f2,cov_00_f2,cov_01,cov_11_f1,det_cov,region_level,chi2_q,width_f2_axis,height_f1_axis,angle_degrees,ellipse_area_analytic,raw_n_tokens,filtered_n_tokens,removed_outliers,removed_outliers_percent,audio,half,vowel
472.80021509295074,2425.6843496483725,108042.81299653312,1294.0520068468709,9850.753263308965,1062628522.1062565,0.8,3.218875824868201,1179.54446137141,355.82842074972405,-179.2450860479606,329643.73799839447,269,250,19,7.063197026022305,f061152e-Audio_SP12,H1,i
583.898198508284,1892.8063340346584,44563.712702841716,-2562.2949786040404,11314.760954340132,497662400.9131651,0.8,3.218875824868201,759.1493340484884,378.35930087191656,175.61903536312926,225590.86581599375,373,357,16,4.289544235924933,f061152e-Audio_SP12,H1,e
804.2985816353204,1722.1779657967652,24351.010915691273,-3012.5066407942686,20954.858724263053,501196797.2704692,0.8,3.218875824868201,579.8216044905611,497.1345703134193,149.7044447233622,226390.52124854422,409,405,4,0.9779951100244498,f061152e-Audio_SP12,H1,a
593.8277145541387,1245.0998958847326,75413.9351360383,12953.08573896817,11804.552486105262,722445325.3360412,0.8,3.218875824868201,1001.824197125765,345.4420403009075,-168.92021173951937,271804.46610298037,270,267,3,1.1111111111111112,f061152e-Audio_SP12,H1,o
489.5655292741939,970.2180919323291,76825.950881874,8147.213996418949,6237.5712391789875,412830245.7399105,0.8,3.218875824868201,1000.5613473757843,261.46059602357894,-173.50084133576027,205465.94497851777,51,50,1,1.9607843137254901,f061152e-Audio_SP12,H1,u
473.4406934131474,2413.6947005589755,82385.32905481276,-1969.7591830588115,9748.743941106226,799273526.2199023,0.8,3.218875824868201,1030.2620191578962,353.3167597687911,178.44777362876465,285891.8730783173,304,283,21,6.907894736842106,f061152e-Audio_SP12,H2,i
581.123148936695,1916.1519096660045,75926.31290711711,-4176.499296587529,9857.369933995284,730990607.6753383,0.8,3.218875824868201,990.4419887823135,351.47227247480964,176.39720448938627,273407.2296067415,435,428,7,1.6091954022988506,f061152e-Audio_SP12,H2,e
811.6928375556226,1694.5402324469858,25171.05795071921,1468.10993219539,23771.19286245999,596190726.3256934,0.8,3.218875824868201,579.6715215113404,542.3440227175386,-147.74491301510193,246914.56225281546,452,448,4,0.8849557522123894,f061152e-Audio_SP12,H2,a
582.6748470055272,1247.0443220285051,72135.30748281027,8538.030286987061,8846.631861190037,565256548.3126607,0.8,3.218875824868201,971.2611927674684,315.17443209324097,-172.45022560083441,240423.48991631714,316,314,2,0.6329113924050633,f061152e-Audio_SP12,H2,o
481.94798941670865,1016.4865965740113,72697.29776296508,1166.5601248729972,4976.944021337451,360449518.94383264,0.8,3.218875824868201,967.6119872667957,252.6301614523451,-179.0134052499097,191988.98869990764,59,58,1,1.694915254237288,f061152e-Audio_SP12,H2,u
