audio,short_label,n_tokens_H1,n_tokens_H2,min_tokens_per_vowel_H1,min_tokens_per_vowel_H2,vowel_space_area_H1,vowel_space_area_H2,vowel_space_area_diff_H2_minus_H1,silhouette_H1,silhouette_H2,silhouette_diff_H2_minus_H1,mean_pairwise_separation_H1,mean_pairwise_separation_H2,mean_pairwise_separation_diff_H2_minus_H1,mean_within_vowel_dispersion_H1,mean_within_vowel_dispersion_H2,mean_within_vowel_dispersion_diff_H2_minus_H1,mean_centroid_shift,median_centroid_shift,max_centroid_shift,distance_matrix_correlation,classification_accuracy_mean,mean_region_overlap_H1,mean_region_overlap_H2,mean_region_overlap_diff_H2_minus_H1,most_overlapped_vowel_H1,most_overlapped_vowel_H1_percent,most_overlapped_vowel_H2,most_overlapped_vowel_H2_percent,top_pair_H1,top_pair_H1_jaccard,top_pair_H2,top_pair_H2_jaccard
061ea7d0-Audio_SP16,061ea7d0-Audio_SP16,1732,1307,90,47,162220.19776332902,160951.61129019235,-1268.5864731366746,0.1648477231012618,0.1838553404161752,0.019007617314913405,3.640012763251266,3.973679881221733,0.3336671179704669,189.1367026246457,167.780254128635,-21.3564484960107,43.24155191758498,55.13170611246804,67.96112906819837,0.996682996317929,0.6815479713958061,40.07191778623711,31.552447531561494,-8.519470254675614,o,59.18203151190078,u,47.78950093857208,o-u,40.75818442074157,o-u,26.96395310616851
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,1834,1764,60,46,150027.07612244255,133979.22985381668,-16047.846268625872,0.197074144418458,0.2065238224579874,0.009449678039529397,2.8221200346822912,2.458172733619116,-0.3639473010631753,202.27492221592084,217.58458329600015,15.309661080079309,41.39553113127649,21.35235581517197,122.33109819957022,0.985368986976195,0.6851080126707172,50.430278376992746,62.208544817310575,11.778266440317829,o,87.97608503100088,e,100.0,o-u,34.838873382390254,o-u,25.620762104861043
0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,1881,1770,57,81,129870.47540285724,146249.8500276548,16379.37462479755,0.1844773766903094,0.1834968134517841,-0.0009805632385253005,2.9278993450936577,3.1509694141778057,0.22307006908414806,218.9281884753771,217.461800640026,-1.4663878353510995,43.50038358753362,18.06460986016852,142.5686886746437,0.9724293132773724,0.6531249155245586,35.39524059483661,38.04941078596816,2.6541701911315556,o,66.7014225068891,o,78.8493086477619,o-u,25.03884488573919,o-u,33.26543149998383
0f786745-Audio_SP20,0f786745-Audio_SP20,2058,1762,142,81,200209.44423753617,215419.76651499065,15210.322277454485,0.1373935837281959,0.1523545855837521,0.014961001855556183,3.976947706518777,4.054563929795656,0.07761622327687956,196.28855742097213,193.5776725617286,-2.710884859243521,23.433584056770336,11.808944842474508,69.08596554954394,0.9981511418965808,0.7099505928526754,36.802364561998516,27.540659050316396,-9.26170551168212,o,61.2728824812672,o,36.50519031141869,o-u,28.463802236609776,i-e,18.714736540116668
12c532f8-Audio_SP15,12c532f8-Audio_SP15,1800,1607,74,80,146538.19579497952,147275.29928519024,737.1034902107203,0.1847533275183681,0.1625028458313821,-0.022250481686985984,3.5712289584250443,3.621025582607132,0.04979662418208752,184.802313214457,184.5744293368886,-0.22788387756838802,22.23779045153784,14.57620546690695,59.403420762389096,0.9949497499033264,0.6916521468574984,43.2148761447629,44.18163702080364,0.9667608760407447,o,75.11651837055868,o,70.56229993356283,o-u,39.01081022452006,o-u,36.542561291305006
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,885,871,34,38,146948.03722714682,150439.24222092048,3491.204993773659,0.1199790229654187,0.1233399326765836,0.0033609097111649,3.1140931189657817,3.2216614951615403,0.10756837619575865,197.40326278520644,179.46702502684485,-17.936237758361585,52.0718332220474,41.89848190302276,74.93560123358937,0.989989077342757,0.6520506982687605,39.067068594476055,33.931150734473405,-5.13591786000265,e,59.19625438938744,e,48.251836838104886,i-e,24.02184545158135,i-e,16.755572489998094
1c403477-Audio_SP13,1c403477-Audio_SP13,1954,1523,74,58,143037.65177269117,134981.94252425988,-8055.709248431289,0.1656538955019958,0.1743641466142608,0.008710251112265005,3.2822324984220392,3.437496833981599,0.15526433555955999,191.36007051286705,182.8789894937132,-8.481081019153862,31.619486999300296,23.911200761643737,67.29737503998139,0.9934961637210232,0.67777093774005,36.36516818120325,46.88699519183878,10.521827010635526,u,52.85203313253012,e,73.47320484671059,o-u,30.261385071409325,o-u,32.427144895047896
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,2498,2654,149,118,208225.81143781,213421.9754287069,5196.163990896894,0.2025922985060758,0.1630258415567715,-0.0395664569493043,3.8371088318360647,3.77901540784323,-0.05809342399283457,199.371940939725,212.1935483972979,12.821607457572895,23.98218475446064,10.98154697884038,68.7912581531102,0.9967935020308188,0.6874243931693961,38.68287373263577,39.79905082641049,1.1161770937747235,o,58.43225678095364,o,62.82826792564178,o-u,33.62578825741255,o-u,34.25612760449288
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,1220,1291,38,53,194444.0990473285,242687.67226843088,48243.573221102386,0.2538711973749443,0.2329472079839566,-0.02092398939098769,3.82772330572088,4.21336476968314,0.38564146396225985,195.35210370849825,192.98275296884333,-2.3693507396549194,54.43338520445728,61.18223658677029,71.80802778052093,0.9964033982785604,0.7273723508272911,33.378902531267315,31.404265672249824,-1.9746368590174903,o,73.8856542903503,o,59.012005191434135,o-u,31.431703751827197,o-u,33.05766347071386
2e25304d-Audio_SP12,2e25304d-Audio_SP12,752,503,33,33,227258.1912120215,255318.5332546783,28060.34204265679,0.1527636568033046,0.1725767013052054,0.0198130445019008,3.271159488433476,3.753497488117896,0.48233799968442037,224.8352764338312,206.71619382119331,-18.119082612637897,36.11554967364909,29.201502992950296,61.18791670442356,0.990110088864294,0.6909910219533861,42.1645370494569,35.31214961314459,-6.852387436312306,o,66.21647620146985,o,46.82427995121494,o-u,24.340638930163443,a-o,20.745449292112102
