audio,half,n_tokens,n_vowels_present,min_tokens_per_vowel,vowel_space_area,mean_pairwise_centroid_distance,min_pairwise_centroid_distance,mean_pairwise_separation_score,min_pairwise_separation_score,mean_within_vowel_dispersion,silhouette_by_vowel
061ea7d0-Audio_SP16,H1,1732,5,90,162220.19776332902,699.7228881449306,160.74697989823133,3.640012763251266,0.7868872877751242,189.1367026246457,0.1648477231012618
061ea7d0-Audio_SP16,H2,1307,5,47,160951.61129019235,673.3825278938824,192.3399855269367,3.973679881221733,1.1332256377674137,167.780254128635,0.1838553404161752
0af9ac47-Audio_SP14,H1,1834,5,60,150027.07612244255,585.1709982372539,178.64831519883197,2.8221200346822912,0.7773636488983094,202.27492221592084,0.197074144418458
0af9ac47-Audio_SP14,H2,1764,5,46,133979.22985381668,539.2708715572236,126.87748056067636,2.458172733619116,0.4699368309252642,217.58458329600015,0.2065238224579874
0e6115f2-Audio_SP19,H1,1881,5,57,129870.47540285724,643.553551666316,125.99541273504018,2.9278993450936577,0.4198409328131577,218.9281884753771,0.1844773766903094
0e6115f2-Audio_SP19,H2,1770,5,81,146249.8500276548,701.9334892629586,283.4200448775684,3.1509694141778057,0.9167752925003056,217.461800640026,0.1834968134517841
0f786745-Audio_SP20,H1,2058,5,142,200209.44423753617,819.3536549810715,149.6150871350376,3.976947706518777,0.9284506571324376,196.28855742097213,0.1373935837281959
0f786745-Audio_SP20,H2,1762,5,81,215419.76651499065,800.7480216137676,165.66667727407597,4.054563929795656,0.937154954915606,193.5776725617286,0.1523545855837521
12c532f8-Audio_SP15,H1,1800,5,74,146538.19579497952,668.5827570763329,194.9024448660974,3.5712289584250443,0.9014955795201088,184.802313214457,0.1847533275183681
12c532f8-Audio_SP15,H2,1607,5,80,147275.29928519024,673.7882085497175,218.97267097238247,3.621025582607132,1.064323281406888,184.5744293368886,0.1625028458313821
181d5ce9-Audio_SP21,H1,885,5,34,146948.03722714682,623.3559101389458,226.67850214807535,3.1140931189657817,1.1581076544853084,197.40326278520644,0.1199790229654187
181d5ce9-Audio_SP21,H2,871,5,38,150439.24222092048,586.9370928686222,218.55828842195,3.2216614951615403,1.081322085610079,179.46702502684485,0.1233399326765836
1c403477-Audio_SP13,H1,1954,5,74,143037.65177269117,638.5849395659191,136.28285901278284,3.2822324984220392,0.6308772143801437,191.36007051286705,0.1656538955019958
1c403477-Audio_SP13,H2,1523,5,58,134981.94252425988,640.3690552871651,197.0595947952149,3.437496833981599,1.0058886349701348,182.8789894937132,0.1743641466142608
1d46eb6e-Audio_SP18,H1,2498,5,149,208225.81143781,774.9196819847015,190.56360798150115,3.8371088318360647,0.893345403224348,199.371940939725,0.2025922985060758
1d46eb6e-Audio_SP18,H2,2654,5,118,213421.9754287069,809.8713920826895,253.67617169123187,3.77901540784323,1.1636010192569968,212.1935483972979,0.1630258415567715
2988c6fc-Audio_SP13,H1,1220,5,38,194444.0990473285,752.2007049982163,135.2971583199375,3.82772330572088,0.6034982813493763,195.35210370849825,0.2538711973749443
2988c6fc-Audio_SP13,H2,1291,5,53,242687.67226843088,816.5980899700019,153.82744613451123,4.21336476968314,0.767962467204846,192.98275296884333,0.2329472079839566
2e25304d-Audio_SP12,H1,752,5,33,227258.1912120215,747.5112872403367,351.7842125743192,3.271159488433476,1.4135066548096331,224.8352764338312,0.1527636568033046
2e25304d-Audio_SP12,H2,503,5,33,255318.5332546783,772.0582757294139,351.8070105632518,3.753497488117896,1.58393770610454,206.71619382119331,0.1725767013052054
30a90cb2-Audio_SP21,H1,1851,5,53,96101.31270691771,606.6928398275611,210.0872431393037,2.476566890105759,0.6487738548361845,244.70363256764267,0.1220194735960518
30a90cb2-Audio_SP21,H2,1516,5,53,89494.74962107281,563.6921564116384,89.53165559649126,2.0606682821406985,0.2716305875302578,273.4284854748559,0.0802074273752998
3361ee02-Audio_SP10,H1,1286,5,69,106647.52652494251,493.23843202895057,196.69326684447677,2.84709304225711,0.9610940654505244,169.80708073251307,0.1079271890399002
3361ee02-Audio_SP10,H2,1021,5,51,94266.14240923995,440.9083940741913,148.95615401794058,2.8081200308750587,0.8114945738397108,157.8095858275447,0.0999736534011746
34ad326e-Audio_SP7,H1,789,5,31,205732.51518576447,620.8376635695515,293.20411162819,2.176865357187727,0.9028485854500938,274.27621194924745,0.0939501555635393
34ad326e-Audio_SP7,H2,719,5,28,198700.3423807812,599.0357521559579,179.98456332277706,1.9869208348977487,0.7584031332288389,282.04754127112864,0.1125568667690078
375a28cd-Audio_SP16,H1,1829,5,111,134553.03486190116,752.2916393986582,148.21586943776546,3.537986881112963,0.6750377874449535,219.06014719006544,-0.0214758000554053
375a28cd-Audio_SP16,H2,1725,5,90,128553.91267631232,786.2884350714282,134.52716179101708,4.107505397853528,0.7827385320245653,191.2578434513942,0.0010972641983177
42d56bbf-Audio_SP23,H1,5293,5,373,178251.2231075416,778.148274354693,175.8112946375889,3.606844635085396,0.6939109307135215,215.20696223765827,0.142688876074879
42d56bbf-Audio_SP23,H2,4946,5,327,187003.5702298932,779.3009618098274,182.8826313384318,3.660288656718497,0.7440934075863309,212.2727568140745,0.1334696480001611
49ae7020-Audio_SP17,H1,1395,5,54,124765.27851845336,731.0234458571329,237.6110070576616,3.761185001567406,1.2220605433814025,192.33319005467536,0.1700098586365066
49ae7020-Audio_SP17,H2,1076,5,33,127566.23406336784,722.7194422136606,162.18995902108065,3.5786287586170795,0.7652862025814227,199.11094284684629,0.197598493313916
501e6487-Audio_SP19,H1,2976,5,166,90016.29265442071,469.26753213699294,104.87843846541494,2.5568443812359503,0.4703223243170343,182.2091498242659,0.1411136052702605
501e6487-Audio_SP19,H2,2457,5,136,99401.42363417929,516.6922079151575,167.09705706366915,2.8475972906431504,0.7802454773228847,178.45654824781704,0.1577725860321497
514fc6b6-Audio_SP19,H1,2211,5,106,271261.5868847352,929.687586303121,338.0019929125027,3.657794004118224,1.3075193093089246,254.7646826072196,0.0952508179141606
514fc6b6-Audio_SP19,H2,2142,5,95,269512.7530129298,949.002754316064,302.4939136254457,3.680271488778884,1.2601338297094224,257.5221845031871,0.1151397807400755
51a17262-Audio_SP18,H1,1391,5,58,293108.36565278965,970.8115672585512,72.19262314018975,3.257139535122471,0.2645024233889425,300.1218197100566,0.0998917118256989
51a17262-Audio_SP18,H2,1424,5,52,292762.7230255327,1022.1290282106822,235.91048338499837,3.717587369406304,0.8626105899879417,268.76196475273133,0.1255901865126004
5278b5b9-Audio_SP15,H1,1214,5,63,86393.12152757734,608.3530751780233,92.74192263971746,3.4742222152637523,0.4311933167316785,176.43858168587985,0.1704968630013462
5278b5b9-Audio_SP15,H2,823,5,35,90333.38892092872,583.1140583583853,73.41353464454178,3.1746907366468813,0.2946070381253382,191.40779417499343,0.178900339744445
5586979c-Audio_SP18,H1,2550,5,74,131497.2490116576,614.5985860775805,179.46950701237574,3.447190260409845,0.8588913863726796,175.3430707311131,0.1790941254824849
5586979c-Audio_SP18,H2,1833,5,39,98654.42056640296,541.6245852900481,53.75527546872572,3.001815233484256,0.2457532562140751,180.41506076377112,0.1767403564608675
5819ce7a-Audio_SP11,H1,2214,5,68,240045.7909221099,776.1430676658863,159.15793605799624,3.293191352989298,0.6270888562259384,233.29628303685652,0.1420611314677576
5819ce7a-Audio_SP11,H2,1836,5,76,249729.6774638444,795.627894966153,177.03048825872833,3.47943573697222,0.6716016378087156,226.09475631391624,0.1576379344055747
5a932187-audio_SP16,H1,2158,5,131,137896.8992106706,498.37893383326747,208.717802115553,2.155204449021485,0.8083691392271265,222.97316016616028,0.0991270038723005
5a932187-audio_SP16,H2,1956,5,81,147749.38544275198,518.1819301509405,219.76832106964983,2.084335685938141,0.7298503214445006,240.7462127038346,0.088741081261685
63239054-Audio_SP15,H1,1555,5,47,127487.53455799085,601.4004151929687,172.72270552720448,2.938105483270069,0.7774401682174149,201.81408972740252,0.1351363782586706
63239054-Audio_SP15,H2,1213,5,49,114877.81493970836,559.654059748377,134.8120667515457,2.6605809883080216,0.5326366460873936,209.13780344933457,0.1426012666268948
713a2f9b-Audio_SP16,H1,1764,5,71,116934.31783716028,575.157383701982,103.37526059203462,2.905184106579193,0.441156790678381,195.6871038812755,0.2003310805239318
713a2f9b-Audio_SP16,H2,1584,5,102,114591.98073266278,564.3888680486491,105.74616119291328,2.7597045904270825,0.5006944512904491,200.3207339846963,0.1374714157593588
7a414497-Audio_SP15,H1,1503,5,69,192738.08008532552,668.7436227589218,268.68915977034595,3.1930148682163244,1.1942044808180678,204.6506721997151,0.2020016475779386
7a414497-Audio_SP15,H2,770,5,41,174652.09925818112,615.132103054461,183.56186752142847,3.0373686845280163,0.8995256572436783,198.32563910915692,0.1917015940507265
7aee4437-Audio_SP12,H1,731,5,51,171764.3712878984,657.0153862112153,159.4163227519034,3.123089488821904,0.8898796311744709,209.09785603834325,0.1136272256394991
7aee4437-Audio_SP12,H2,967,5,62,180988.76652548125,627.3867563870546,76.37333431150302,2.803806222280421,0.4236013206470457,219.62165148349487,0.1097028003652932
7c3c98d2-Audio_SP13,H1,2090,5,77,336327.3231272032,741.4873338570461,297.41135172569506,2.8544328991863432,1.1439978970642792,257.13440549176545,0.1592122713271987
7c3c98d2-Audio_SP13,H2,2164,5,75,336309.38213278604,742.1205349522511,300.1777071019805,2.8135874325172727,1.1376299951496835,258.91307017381905,0.1603990315488373
7dec1dd7-Audio_SP13,H1,1238,5,66,165109.45496350562,634.8985026151106,256.2560340313975,3.3665477104528017,1.2349334026036096,184.664775551945,0.1736675714417792
7dec1dd7-Audio_SP13,H2,1156,5,66,147512.6350937176,621.9763686125796,237.9275558131132,3.339995952254776,1.0679809950859294,182.30823680058057,0.168630148934796
7e277fda-Audio_SP28,H1,1941,5,98,181652.17073565,759.5937695613414,114.53204738308348,3.751125260816951,0.695437179328303,196.9930119436452,0.0788991234738337
7e277fda-Audio_SP28,H2,1591,5,80,168370.3349281263,746.9627885844476,120.15270517370956,3.866609914454111,0.7005117483434142,186.8295198134998,0.104308713073016
85c7895f-Audio_SP16,H1,3164,5,105,202077.6176150877,679.347047110587,110.646830729656,3.48969239915464,0.4689171437851983,195.10570125736223,0.2009400764201411
85c7895f-Audio_SP16,H2,2816,5,112,215961.91039433263,710.7829700959721,103.82982031827076,3.667793501912622,0.4469465970865332,193.43081476475052,0.198820882385351
919b9bc1-Audio_SP14,H1,1143,5,66,135690.21661239665,615.8802880390119,85.65802939709356,2.8819271751258544,0.3529129163000806,209.3121381486621,0.2088342998808964
919b9bc1-Audio_SP14,H2,1074,5,46,155774.77829990804,649.0032386994205,80.05939951614705,3.0991509780723527,0.3737450996559428,206.60143906720427,0.2232954966608151
9a0c18cb-Audio_SP14,H1,1208,5,59,168662.70681836776,684.5290675935863,141.63286061801,3.10949166584031,0.6498490293580974,215.8904818727769,0.1448508387140765
9a0c18cb-Audio_SP14,H2,913,5,48,205928.9402408083,683.1584189601592,198.11998020311307,3.313434850731124,0.8600899380023719,203.75067886429,0.1447815351386133
a1a056ce-Audio_SP11,H1,858,5,14,140150.04544364975,806.3615914160889,104.29329869780032,3.0741790044902397,0.3883471855804818,272.5154147448558,0.0669375748071399
a1a056ce-Audio_SP11,H2,847,5,26,203336.44044339203,905.5287161154754,259.94915442664274,3.898956532801802,1.2116041233422343,242.803082734742,0.0405323337559291
