audio,source_csv,split_method,split_value,n_total,n_H1,n_H2,n_without_half
061ea7d0-Audio_SP16,061ea7d0-Audio_SP16.csv,absolute_time_midpoint,1315.21075,3042,1745,1297,0
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14.csv,absolute_time_midpoint,1467.8837500000002,3609,1853,1756,0
0e6115f2-Audio_SP19,0e6115f2-Audio_SP19.csv,absolute_time_midpoint,1850.84825,3653,1886,1767,0
0f786745-Audio_SP20,0f786745-Audio_SP20.csv,absolute_time_midpoint,1623.55975,3821,2052,1769,0
12c532f8-Audio_SP15,12c532f8-Audio_SP15.csv,absolute_time_midpoint,1388.88975,3409,1821,1588,0
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21.csv,absolute_time_midpoint,1376.7932500000002,1757,902,855,0
1c403477-Audio_SP13,1c403477-Audio_SP13.csv,absolute_time_midpoint,1439.9247500000001,3483,1972,1511,0
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18.csv,absolute_time_midpoint,1867.2527499999999,5153,2499,2654,0
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13.csv,absolute_time_midpoint,1129.72975,2517,1222,1295,0
2e25304d-Audio_SP12,2e25304d-Audio_SP12.csv,absolute_time_midpoint,888.1007500000001,1265,766,499,0
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21.csv,absolute_time_midpoint,1551.61725,3371,1860,1511,0
3361ee02-Audio_SP10,3361ee02-Audio_SP10.csv,absolute_time_midpoint,1200.54875,2307,1286,1021,0
34ad326e-Audio_SP7,34ad326e-Audio_SP7.csv,absolute_time_midpoint,769.24475,1514,852,662,0
375a28cd-Audio_SP16,375a28cd-Audio_SP16.csv,absolute_time_midpoint,1597.7357499999998,3560,1829,1731,0
42d56bbf-Audio_SP23,42d56bbf-Audio_SP23.csv,absolute_time_midpoint,3047.0592500000002,10244,5228,5016,0
49ae7020-Audio_SP17,49ae7020-Audio_SP17.csv,absolute_time_midpoint,1399.26075,2472,1404,1068,0
501e6487-Audio_SP19,501e6487-Audio_SP19.csv,absolute_time_midpoint,1750.7257499999998,5439,2981,2458,0
514fc6b6-Audio_SP19,514fc6b6-Audio_SP19.csv,absolute_time_midpoint,1654.14575,4355,2213,2142,0
51a17262-Audio_SP18,51a17262-Audio_SP18.csv,absolute_time_midpoint,1592.17725,2817,1391,1426,0
5278b5b9-Audio_SP15,5278b5b9-Audio_SP15.csv,absolute_time_midpoint,1148.1107499999998,2037,1214,823,0
5586979c-Audio_SP18,5586979c-Audio_SP18.csv,absolute_time_midpoint,1615.08075,4385,2556,1829,0
5819ce7a-Audio_SP11,5819ce7a-Audio_SP11.csv,absolute_time_midpoint,1299.65375,4050,2216,1834,0
5a932187-audio_SP16,5a932187-audio_SP16.csv,absolute_time_midpoint,1447.1492500000002,4126,2158,1968,0
63239054-Audio_SP15,63239054-Audio_SP15.csv,absolute_time_midpoint,1508.19125,2771,1571,1200,0
713a2f9b-Audio_SP16,713a2f9b-Audio_SP16.csv,absolute_time_midpoint,1601.5512500000002,3358,1773,1585,0
7a414497-Audio_SP15,7a414497-Audio_SP15.csv,absolute_time_midpoint,1138.15325,2273,1443,830,0
7aee4437-Audio_SP12,7aee4437-Audio_SP12.csv,absolute_time_midpoint,1411.3917500000002,1711,738,973,0
7c3c98d2-Audio_SP13,7c3c98d2-Audio_SP13.csv,absolute_time_midpoint,1638.85075,4339,2160,2179,0
7dec1dd7-Audio_SP13,7dec1dd7-Audio_SP13.csv,absolute_time_midpoint,1155.54825,2399,1244,1155,0
7e277fda-Audio_SP28,7e277fda-Audio_SP28.csv,absolute_time_midpoint,1906.43325,3539,1937,1602,0
85c7895f-Audio_SP16,85c7895f-Audio_SP16.csv,absolute_time_midpoint,1892.2507500000002,5987,3163,2824,0
919b9bc1-Audio_SP14,919b9bc1-Audio_SP14.csv,absolute_time_midpoint,1121.35775,2220,1144,1076,0
9a0c18cb-Audio_SP14,9a0c18cb-Audio_SP14.csv,absolute_time_midpoint,1324.5387500000002,2121,1208,913,0
a1a056ce-Audio_SP11,a1a056ce-Audio_SP11.csv,absolute_time_midpoint,843.9182500000001,1705,858,847,0
a452055c-Audio_SP11,a452055c-Audio_SP11.csv,absolute_time_midpoint,1455.78925,3994,2129,1865,0
adad0062-Audio_SP17,adad0062-Audio_SP17.csv,absolute_time_midpoint,1607.9577500000003,3893,2147,1746,0
c3533b36-Audio_SP16,c3533b36-Audio_SP16.csv,absolute_time_midpoint,1428.05375,2024,1128,896,0
cafd9c21-Audio_SP27,cafd9c21-Audio_SP27.csv,absolute_time_midpoint,1949.91825,5198,2617,2581,0
d4c363bf-Audio_SP13,d4c363bf-Audio_SP13.csv,absolute_time_midpoint,1385.53825,3537,1790,1747,0
dbeec025-Audio_SP13,dbeec025-Audio_SP13.csv,absolute_time_midpoint,1378.8432500000001,2814,1519,1295,0
e90f8e4d-Audio_SP22,e90f8e4d-Audio_SP22.csv,absolute_time_midpoint,1428.6032500000001,2622,1419,1203,0
f061152e-Audio_SP12,f061152e-Audio_SP12.csv,absolute_time_midpoint,1193.90325,3019,1420,1599,0
fcd45f4d-Audio_SP21,fcd45f4d-Audio_SP21.csv,absolute_time_midpoint,1332.98325,2573,1551,1022,0
