audio,half,n_i,n_e,n_a,n_o,n_u
061ea7d0-Audio_SP16,H1,316,428,471,360,90
061ea7d0-Audio_SP16,H2,162,328,347,354,47
0af9ac47-Audio_SP14,H1,238,556,480,445,60
0af9ac47-Audio_SP14,H2,191,525,508,417,46
0e6115f2-Audio_SP19,H1,366,459,434,480,58
0e6115f2-Audio_SP19,H2,312,450,417,438,81
0f786745-Audio_SP20,H1,271,500,647,422,142
0f786745-Audio_SP20,H2,284,381,528,421,81
12c532f8-Audio_SP15,H1,304,437,531,439,74
12c532f8-Audio_SP15,H2,191,412,508,365,81
181d5ce9-Audio_SP21,H1,137,232,248,231,34
181d5ce9-Audio_SP21,H2,128,232,206,243,38
1c403477-Audio_SP13,H1,327,535,419,527,76
1c403477-Audio_SP13,H2,248,389,335,409,56
1d46eb6e-Audio_SP18,H1,370,603,704,573,149
1d46eb6e-Audio_SP18,H2,379,702,756,618,118
2988c6fc-Audio_SP13,H1,216,307,355,250,38
2988c6fc-Audio_SP13,H2,242,297,374,274,53
2e25304d-Audio_SP12,H1,105,204,250,151,34
2e25304d-Audio_SP12,H2,74,115,155,113,33
30a90cb2-Audio_SP21,H1,356,457,452,431,53
30a90cb2-Audio_SP21,H2,282,366,354,346,54
3361ee02-Audio_SP10,H1,268,324,321,254,69
3361ee02-Audio_SP10,H2,177,265,254,250,51
34ad326e-Audio_SP7,H1,121,219,259,186,31
34ad326e-Audio_SP7,H2,96,166,216,136,28
375a28cd-Audio_SP16,H1,240,470,431,508,113
375a28cd-Audio_SP16,H2,264,417,423,489,90
42d56bbf-Audio_SP23,H1,822,1362,1241,1207,367
42d56bbf-Audio_SP23,H2,741,1344,1115,1236,335
49ae7020-Audio_SP17,H1,240,366,360,329,54
49ae7020-Audio_SP17,H2,207,286,266,236,33
501e6487-Audio_SP19,H1,412,818,869,612,167
501e6487-Audio_SP19,H2,306,634,707,598,136
514fc6b6-Audio_SP19,H1,348,622,654,419,106
514fc6b6-Audio_SP19,H2,350,647,574,412,95
51a17262-Audio_SP18,H1,206,409,378,302,58
51a17262-Audio_SP18,H2,223,426,349,335,52
5278b5b9-Audio_SP15,H1,254,247,279,285,63
5278b5b9-Audio_SP15,H2,149,164,235,205,35
5586979c-Audio_SP18,H1,356,698,739,612,74
5586979c-Audio_SP18,H2,243,523,511,449,39
5819ce7a-Audio_SP11,H1,348,593,634,454,68
5819ce7a-Audio_SP11,H2,297,497,516,365,76
5a932187-audio_SP16,H1,321,558,597,452,131
5a932187-audio_SP16,H2,293,483,568,446,81
63239054-Audio_SP15,H1,206,364,403,464,47
63239054-Audio_SP15,H2,129,282,326,358,49
713a2f9b-Audio_SP16,H1,289,458,421,432,71
713a2f9b-Audio_SP16,H2,226,327,405,441,102
7a414497-Audio_SP15,H1,222,314,484,276,67
7a414497-Audio_SP15,H2,138,177,251,165,43
7aee4437-Audio_SP12,H1,121,198,219,121,51
7aee4437-Audio_SP12,H2,172,230,287,181,62
7c3c98d2-Audio_SP13,H1,354,526,695,410,82
7c3c98d2-Audio_SP13,H2,374,597,624,417,76
7dec1dd7-Audio_SP13,H1,196,304,393,252,66
7dec1dd7-Audio_SP13,H2,153,265,364,275,66
7e277fda-Audio_SP28,H1,332,480,518,424,98
7e277fda-Audio_SP28,H2,266,417,387,380,81
85c7895f-Audio_SP16,H1,560,750,893,720,106
85c7895f-Audio_SP16,H2,457,631,766,731,112
919b9bc1-Audio_SP14,H1,198,300,239,304,66
919b9bc1-Audio_SP14,H2,169,289,265,257,46
9a0c18cb-Audio_SP14,H1,203,250,322,336,59
9a0c18cb-Audio_SP14,H2,126,160,280,249,48
a1a056ce-Audio_SP11,H1,140,249,225,185,14
a1a056ce-Audio_SP11,H2,126,238,244,170,26
a452055c-Audio_SP11,H1,290,476,639,523,134
a452055c-Audio_SP11,H2,267,435,545,441,89
adad0062-Audio_SP17,H1,338,565,672,379,103
adad0062-Audio_SP17,H2,273,464,471,334,106
c3533b36-Audio_SP16,H1,143,269,310,300,67
c3533b36-Audio_SP16,H2,105,230,269,224,42
cafd9c21-Audio_SP27,H1,362,675,747,602,101
cafd9c21-Audio_SP27,H2,316,631,816,552,105
d4c363bf-Audio_SP13,H1,334,509,481,332,69
d4c363bf-Audio_SP13,H2,338,403,494,346,84
dbeec025-Audio_SP13,H1,228,385,472,297,87
dbeec025-Audio_SP13,H2,144,324,428,298,64
e90f8e4d-Audio_SP22,H1,233,344,396,358,58
e90f8e4d-Audio_SP22,H2,206,282,298,312,77
f061152e-Audio_SP12,H1,218,377,445,272,51
f061152e-Audio_SP12,H2,244,435,485,314,59
fcd45f4d-Audio_SP21,H1,235,336,470,399,67
fcd45f4d-Audio_SP21,H2,129,260,245,304,56
