h1_audio,predicted_h2_audio,true_h2_audio,is_correct,assigned_cost,true_match_cost,true_match_rank,predicted_match_rank_for_this_h1,best_candidate_cost_for_this_h1,second_best_candidate_cost_for_this_h1,margin_best_to_second,centroids_distance_assigned,centroids_distance_true,geometry_distance_assigned,geometry_distance_true,ellipse_distance_assigned,ellipse_distance_true,overlap_distance_assigned,overlap_distance_true
061ea7d0-Audio_SP16,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16,True,0.32993405474119286,0.32993405474119286,1,1,0.32993405474119286,0.49271269713330923,0.16277864239211637,0.20967814428288498,0.20967814428288498,0.26412374862196086,0.26412374862196086,0.3471243741963225,0.3471243741963225,0.49880995186360316,0.49880995186360316
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,True,0.8664781469233063,0.8664781469233063,14,14,0.5850371690616394,0.6852721177958323,0.10023494873419292,0.2827238708329002,0.2827238708329002,0.25578855654609955,0.25578855654609955,0.8819178210926861,0.8819178210926861,2.045482339221539,2.045482339221539
0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,True,0.3728716868001385,0.3728716868001385,1,1,0.3728716868001385,0.5634503564520086,0.1905786696518701,0.28644929876290015,0.28644929876290015,0.5898000468283039,0.5898000468283039,0.26326859237987654,0.26326859237987654,0.3519688092294734,0.3519688092294734
0f786745-Audio_SP20,0f786745-Audio_SP20,0f786745-Audio_SP20,True,0.4304674898990183,0.4304674898990183,1,1,0.4304674898990183,0.7536545384245715,0.32318704852555324,0.1597674585113706,0.1597674585113706,0.23249909679185876,0.23249909679185876,0.6217624580899144,0.6217624580899144,0.7078409462029293,0.7078409462029293
12c532f8-Audio_SP15,12c532f8-Audio_SP15,12c532f8-Audio_SP15,True,0.22432743353072954,0.22432743353072954,1,1,0.22432743353072954,0.45606794875099554,0.231740515220266,0.1473757748937704,0.1473757748937704,0.22139733127207858,0.22139733127207858,0.26657793837826876,0.26657793837826876,0.26195868957880036,0.26195868957880036
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,True,0.4301996564148978,0.4301996564148978,1,1,0.4301996564148978,0.44371070471177154,0.013511048296873718,0.40586068125396535,0.40586068125396535,0.28345044406273345,0.28345044406273345,0.5321064053789347,0.5321064053789347,0.4993810949639579,0.4993810949639579
1c403477-Audio_SP13,1c403477-Audio_SP13,1c403477-Audio_SP13,True,0.4265003748152658,0.4265003748152658,2,2,0.3795845439465392,0.4265003748152658,0.04691583086872664,0.256113741644046,0.256113741644046,0.3972452455948257,0.3972452455948257,0.40244063313025813,0.40244063313025813,0.6502018788919334,0.6502018788919334
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,True,0.197708502986587,0.197708502986587,1,1,0.197708502986587,0.45240068913055104,0.25469218614396405,0.17731173022076716,0.17731173022076716,0.2856160684532883,0.2856160684532883,0.20316071122550086,0.20316071122550086,0.12474550204679165,0.12474550204679165
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,True,0.3761109185975005,0.3761109185975005,1,1,0.3761109185975005,0.5234478046617097,0.1473368860642092,0.30128445658302905,0.30128445658302905,0.4262084475916584,0.4262084475916584,0.4851078883129156,0.4851078883129156,0.29184288190239904,0.29184288190239904
2e25304d-Audio_SP12,2e25304d-Audio_SP12,2e25304d-Audio_SP12,True,0.45749923412187987,0.45749923412187987,1,1,0.45749923412187987,0.769958308765055,0.3124590746431751,0.24530156575120238,0.24530156575120238,0.335933101754523,0.335933101754523,0.5560082810078584,0.5560082810078584,0.6927539879739356,0.6927539879739356
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,True,0.5999196499638251,0.5999196499638251,1,1,0.5999196499638251,0.6799121978999645,0.07999254793613941,0.3584375661097159,0.3584375661097159,0.5892945344054557,0.5892945344054557,0.350971085913711,0.350971085913711,1.1009754134264178,1.1009754134264178
3361ee02-Audio_SP10,3361ee02-Audio_SP10,3361ee02-Audio_SP10,True,0.5666789421124503,0.5666789421124503,1,1,0.5666789421124503,0.6279930854284597,0.06131414331600937,0.26878565814753363,0.26878565814753363,0.49541701696687324,0.49541701696687324,0.9661406192562323,0.9661406192562323,0.5363724740791619,0.5363724740791619
34ad326e-Audio_SP7,34ad326e-Audio_SP7,34ad326e-Audio_SP7,True,0.8800977204399318,0.8800977204399318,1,1,0.8800977204399318,1.2158047562546965,0.3357070358147647,0.36584436573311524,0.36584436573311524,0.6992797319938548,0.6992797319938548,0.4488689003896654,0.4488689003896654,2.006397883643092,2.006397883643092
375a28cd-Audio_SP16,375a28cd-Audio_SP16,375a28cd-Audio_SP16,True,0.5751376202402927,0.5751376202402927,1,1,0.5751376202402927,0.8909877413324676,0.3158501210921749,0.3647228101044205,0.3647228101044205,0.5239220543907097,0.5239220543907097,0.7149861535645842,0.7149861535645842,0.6969194629014565,0.6969194629014565
42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,True,0.13390698918114985,0.13390698918114985,1,1,0.13390698918114985,0.6163329157901489,0.4824259266089991,0.08584370481411428,0.08584370481411428,0.06482173512101895,0.06482173512101895,0.1753710866845804,0.1753710866845804,0.2095914301048858,0.2095914301048858
