h1_audio,predicted_h2_audio,true_h2_audio,is_correct,assigned_cost,true_match_cost,true_match_rank,predicted_match_rank_for_this_h1,best_candidate_cost_for_this_h1,second_best_candidate_cost_for_this_h1,margin_best_to_second,centroids_distance_assigned,centroids_distance_true,geometry_distance_assigned,geometry_distance_true,ellipse_distance_assigned,ellipse_distance_true,overlap_distance_assigned,overlap_distance_true
061ea7d0-Audio_SP16,a1a056ce-Audio_SP11,061ea7d0-Audio_SP16,False,0.6435536811761187,0.8139328631206784,14,9,0.4245751604112829,0.4916935744405857,0.0671184140293028,0.6435536811761187,0.8139328631206784,0.5197338429434599,0.8255147054747636,0.9604798595065556,0.3471243741963225,0.5392621087723499,0.4988099518636031
5586979c-Audio_SP18,061ea7d0-Audio_SP16,5586979c-Audio_SP18,False,0.5674893406480654,0.6325910346800265,13,6,0.3449027400952171,0.3538322398126878,0.0089294997174707,0.5674893406480654,0.6325910346800265,0.5925652476623167,0.8773819119567539,0.5877759668935152,0.3359124804669228,0.6025486097348787,0.7540499735359023
a1a056ce-Audio_SP11,e90f8e4d-Audio_SP22,a1a056ce-Audio_SP11,False,0.6101792583124673,0.8456419180717326,11,2,0.6073013566452085,0.6101792583124673,0.0028779016672588,0.6101792583124673,0.8456419180717326,0.7448379784603748,1.0666125402404114,1.0395577390771875,1.0466209874962704,1.7631865265926008,1.6301108001319735
713a2f9b-Audio_SP16,49ae7020-Audio_SP17,713a2f9b-Audio_SP16,False,0.4125474723697067,0.6263771852047153,8,2,0.3824641353005835,0.4125474723697067,0.0300833370691231,0.4125474723697067,0.6263771852047153,0.4143558275078994,0.4915357743734456,0.6095179253521598,0.3429186363836879,0.4012460989433665,0.5703474765384273
0e6115f2-Audio_SP19,5586979c-Audio_SP18,0e6115f2-Audio_SP19,False,0.4228364030319493,0.4350452983150202,3,2,0.2963360679417194,0.4228364030319493,0.1265003350902298,0.4228364030319493,0.4350452983150202,0.5046218150667066,0.5969066375183448,0.3532723409952751,0.2632685923798765,1.0385946692609256,0.3519688092294734
e90f8e4d-Audio_SP22,501e6487-Audio_SP19,e90f8e4d-Audio_SP22,False,0.5741015270772757,0.6769243917040699,3,1,0.5741015270772757,0.6331197535508722,0.0590182264735965,0.5741015270772757,0.6769243917040699,0.6350013812936512,0.7161850357792499,0.7134384795500006,0.7154505311341771,0.9181533392275528,0.2871874721641189
49ae7020-Audio_SP17,3361ee02-Audio_SP10,49ae7020-Audio_SP17,False,0.4901289856074852,0.5317919001724661,2,1,0.4901289856074852,0.5317919001724661,0.0416629145649808,0.4901289856074852,0.5317919001724661,0.6744831002390138,0.5382620819831057,1.3066551632741046,0.5502112156999246,0.5209161828122897,0.4729109366270644
501e6487-Audio_SP19,713a2f9b-Audio_SP16,501e6487-Audio_SP19,False,0.3475639181743835,0.3452545274438255,2,3,0.3162470124481359,0.3452545274438255,0.0290075149956896,0.3475639181743835,0.3452545274438255,0.3452396635615147,0.4833121108879677,0.7222176095704188,0.3239869640722397,0.5090565600005985,0.5362823480594491
3361ee02-Audio_SP10,0e6115f2-Audio_SP19,3361ee02-Audio_SP10,False,0.831780091139189,0.6962511651723916,1,4,0.6962511651723916,0.7447951300739958,0.0485439649016041,0.831780091139189,0.6962511651723916,0.5446549213282111,0.5044802011485038,1.1605507301121227,0.9661406192562324,0.7601518138877905,0.5363724740791619
5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,True,0.7093008376643027,0.7093008376643027,9,9,0.5519515314175238,0.5552396392022033,0.0032881077846794,0.7093008376643027,0.7093008376643027,0.4148764604798435,0.4148764604798435,0.4912271204051088,0.4912271204051088,0.5210910346923088,0.5210910346923088
9a0c18cb-Audio_SP14,9a0c18cb-Audio_SP14,9a0c18cb-Audio_SP14,True,0.7994788514731787,0.7994788514731787,7,7,0.6712681559276935,0.7159235113869092,0.0446553554592157,0.7994788514731787,0.7994788514731787,0.6448026451188318,0.6448026451188318,0.6683098474853265,0.6683098474853265,0.5430226389493931,0.5430226389493931
63239054-Audio_SP15,63239054-Audio_SP15,63239054-Audio_SP15,True,0.5866288126345228,0.5866288126345228,5,5,0.4613617374388054,0.5456625177536145,0.084300780314809,0.5866288126345228,0.5866288126345228,0.3268631282891522,0.3268631282891522,0.4910077897936747,0.4910077897936747,0.5433953412825047,0.5433953412825047
fcd45f4d-Audio_SP21,fcd45f4d-Audio_SP21,fcd45f4d-Audio_SP21,True,0.5805392244830281,0.5805392244830281,5,5,0.409635784901447,0.4702246560170741,0.0605888711156271,0.5805392244830281,0.5805392244830281,0.6827755956827681,0.6827755956827681,0.4325810135419524,0.4325810135419524,0.7217824570151188,0.7217824570151188
514fc6b6-Audio_SP19,514fc6b6-Audio_SP19,514fc6b6-Audio_SP19,True,0.518789846138243,0.518789846138243,4,4,0.4294910770820261,0.4963332739356419,0.0668421968536158,0.518789846138243,0.518789846138243,0.5281362548202353,0.5281362548202353,0.4928024094570398,0.4928024094570398,0.8617486106862515,0.8617486106862515
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,True,0.6595858231104458,0.6595858231104458,3,3,0.6062000089381328,0.6423652191925143,0.0361652102543815,0.6595858231104458,0.6595858231104458,1.0410112939673668,1.0410112939673668,0.350971085913711,0.350971085913711,1.1009754134264178,1.1009754134264178
c3533b36-Audio_SP16,c3533b36-Audio_SP16,c3533b36-Audio_SP16,True,0.4794802146413995,0.4794802146413995,3,3,0.429042330676753,0.4700103159541546,0.0409679852774015,0.4794802146413995,0.4794802146413995,0.5437831324021128,0.5437831324021128,0.6064882075206963,0.6064882075206963,0.7535126077439098,0.7535126077439098
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,True,0.5595929232733412,0.5595929232733412,2,2,0.53651931738899,0.5595929232733412,0.0230736058843512,0.5595929232733412,0.5595929232733412,0.5383605587414578,0.5383605587414578,0.5321064053789347,0.5321064053789347,0.4993810949639579,0.4993810949639579
51a17262-Audio_SP18,51a17262-Audio_SP18,51a17262-Audio_SP18,True,0.6683960346290592,0.6683960346290592,2,2,0.6650060255076125,0.6683960346290592,0.0033900091214467,0.6683960346290592,0.6683960346290592,0.6491690071964207,0.6491690071964207,0.80366132745201,0.80366132745201,0.9451738805281982,0.9451738805281982
7a414497-Audio_SP15,7a414497-Audio_SP15,7a414497-Audio_SP15,True,0.4229856235754086,0.4229856235754086,2,2,0.3464955114963633,0.4229856235754086,0.0764901120790453,0.4229856235754086,0.4229856235754086,0.5051094167330249,0.5051094167330249,0.3963626271214643,0.3963626271214643,0.754241994444534,0.754241994444534
