h1_audio,predicted_h2_audio,true_h2_audio,is_correct,assigned_cost,true_match_cost,true_match_rank,predicted_match_rank_for_this_h1,best_candidate_cost_for_this_h1,second_best_candidate_cost_for_this_h1,margin_best_to_second,centroids_distance_assigned,centroids_distance_true,geometry_distance_assigned,geometry_distance_true,ellipse_distance_assigned,ellipse_distance_true,overlap_distance_assigned,overlap_distance_true
061ea7d0-Audio_SP16,061ea7d0-Audio_SP16,061ea7d0-Audio_SP16,True,0.22328954536765394,0.22328954536765394,1,1,0.22328954536765394,0.4806360454219717,0.25734650005431775,0.20967814428288498,0.20967814428288498,0.26412374862196086,0.26412374862196086,0.3471243741963225,0.3471243741963225,0.49880995186360316,0.49880995186360316
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,True,0.27599004226120005,0.27599004226120005,1,1,0.27599004226120005,0.5172026442087891,0.2412126019475891,0.2827238708329002,0.2827238708329002,0.25578855654609955,0.25578855654609955,0.8819178210926861,0.8819178210926861,2.045482339221539,2.045482339221539
0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,True,0.3622869857792511,0.3622869857792511,1,1,0.3622869857792511,0.4017945715582396,0.0395075857789885,0.28644929876290015,0.28644929876290015,0.5898000468283039,0.5898000468283039,0.26326859237987654,0.26326859237987654,0.3519688092294734,0.3519688092294734
0f786745-Audio_SP20,0f786745-Audio_SP20,0f786745-Audio_SP20,True,0.17795036808149264,0.17795036808149264,1,1,0.17795036808149264,0.5769809079269049,0.39903053984541226,0.1597674585113706,0.1597674585113706,0.23249909679185876,0.23249909679185876,0.6217624580899144,0.6217624580899144,0.7078409462029293,0.7078409462029293
12c532f8-Audio_SP15,12c532f8-Audio_SP15,12c532f8-Audio_SP15,True,0.16588116398834746,0.16588116398834746,1,1,0.16588116398834746,0.3177753625382654,0.15189419854991792,0.1473757748937704,0.1473757748937704,0.22139733127207858,0.22139733127207858,0.26657793837826876,0.26657793837826876,0.26195868957880036,0.26195868957880036
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,True,0.3752581219561574,0.3752581219561574,4,4,0.24241123867347525,0.3075608340028526,0.06514959532937736,0.40586068125396535,0.40586068125396535,0.28345044406273345,0.28345044406273345,0.5321064053789347,0.5321064053789347,0.4993810949639579,0.4993810949639579
1c403477-Audio_SP13,1c403477-Audio_SP13,1c403477-Audio_SP13,True,0.2913966176317409,0.2913966176317409,1,1,0.2913966176317409,0.3275984548138884,0.03620183718214748,0.256113741644046,0.256113741644046,0.3972452455948257,0.3972452455948257,0.40244063313025813,0.40244063313025813,0.6502018788919334,0.6502018788919334
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,True,0.20438781477889745,0.20438781477889745,1,1,0.20438781477889745,0.3662473460310619,0.16185953125216446,0.17731173022076716,0.17731173022076716,0.2856160684532883,0.2856160684532883,0.20316071122550086,0.20316071122550086,0.12474550204679165,0.12474550204679165
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,True,0.33251545433518637,0.33251545433518637,1,1,0.33251545433518637,0.4216144420054804,0.08909898767029406,0.30128445658302905,0.30128445658302905,0.4262084475916584,0.4262084475916584,0.4851078883129156,0.4851078883129156,0.29184288190239904,0.29184288190239904
2e25304d-Audio_SP12,2e25304d-Audio_SP12,2e25304d-Audio_SP12,True,0.26795944975203256,0.26795944975203256,1,1,0.26795944975203256,0.5174071764228148,0.2494477266707822,0.24530156575120238,0.24530156575120238,0.335933101754523,0.335933101754523,0.5560082810078584,0.5560082810078584,0.6927539879739356,0.6927539879739356
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,True,0.41615180818365083,0.41615180818365083,1,1,0.41615180818365083,0.4641897746354548,0.04803796645180397,0.3584375661097159,0.3584375661097159,0.5892945344054557,0.5892945344054557,0.350971085913711,0.350971085913711,1.1009754134264178,1.1009754134264178
3361ee02-Audio_SP10,3361ee02-Audio_SP10,3361ee02-Audio_SP10,True,0.32544349785236854,0.32544349785236854,1,1,0.32544349785236854,0.45106997908136715,0.1256264812289986,0.26878565814753363,0.26878565814753363,0.49541701696687324,0.49541701696687324,0.9661406192562323,0.9661406192562323,0.5363724740791619,0.5363724740791619
34ad326e-Audio_SP7,34ad326e-Audio_SP7,34ad326e-Audio_SP7,True,0.44920320729830016,0.44920320729830016,1,1,0.44920320729830016,0.4917132093700063,0.04251000207170613,0.36584436573311524,0.36584436573311524,0.6992797319938548,0.6992797319938548,0.4488689003896654,0.4488689003896654,2.006397883643092,2.006397883643092
