block,feature,n_speakers,pearson_hz,pearson_hz_p,pearson_hz_ci_low,pearson_hz_ci_high,pearson_lobanov,pearson_lobanov_p,pearson_lobanov_ci_low,pearson_lobanov_ci_high,pearson_difference,pearson_difference_ci_low,pearson_difference_ci_high,pearson_probability_lobanov_higher,spearman_hz,spearman_hz_p,spearman_hz_ci_low,spearman_hz_ci_high,spearman_lobanov,spearman_lobanov_p,spearman_lobanov_ci_low,spearman_lobanov_ci_high,spearman_difference,spearman_difference_ci_low,spearman_difference_ci_high,spearman_probability_lobanov_higher,pearson_hz_q,pearson_lobanov_q,spearman_hz_q,spearman_lobanov_q
Centroids,centroid_a_f1,43,0.967842152143814,3.4087822117090454e-26,0.9302310986394514,0.9876471323860924,0.7007458430590118,1.6762719629467825e-07,0.488425727825049,0.8420122989226835,-0.2670963090848022,-0.4703138824174995,-0.13399171795756357,0.0,0.9501661129568105,2.28952530990285e-22,0.8622186421392596,0.9859155995777847,0.6387798248263364,4.0356948784014085e-06,0.395381830035189,0.8077596095613054,-0.3113862881304741,-0.5416436404666239,-0.14813581678974577,0.0,2.272521474472697e-25,2.2350292839290435e-07,7.631751033009501e-22,5.044618598001761e-06
Centroids,centroid_a_f2,43,0.973480833245087,6.906673158151062e-28,0.9298560948198119,0.9901609873170859,0.895034668983622,5.770032896338288e-16,0.6067178485968342,0.9549910616104745,-0.078446164261465,-0.3351750360189162,-0.032035985976934855,0.0,0.9545454545454546,3.62157520058792e-23,0.8998998671742955,0.9753404865955999,0.645273331319843,2.9899421357597555e-06,0.37562087525754023,0.8241259595132551,-0.3092721232256116,-0.5713929030793676,-0.12012171425739583,0.0002,6.906673158151062e-27,4.178894883696355e-15,1.448630080235168e-22,3.986589514346341e-06
Centroids,centroid_e_f1,43,0.9638678089023481,3.578894184542685e-25,0.9371111442883825,0.9823465813694015,0.8916344589243543,1.07294598462796e-15,0.7949266253332591,0.9437650436375796,-0.0722333499779938,-0.1697417136904124,-0.017842348590699397,0.0026,0.9617940199335548,1.1017697842865942e-24,0.9057610765904874,0.985176417545649,0.8064028994261552,6.717306646909848e-11,0.6137960790717449,0.9159352017568602,-0.15539112050739967,-0.3400644277304654,-0.039360617322581996,0.0026,1.431557673817074e-24,5.017950815681991e-15,1.1017697842865941e-23,1.679326661727462e-10
Centroids,centroid_e_f2,43,0.9524032222166497,9.12148111955135e-23,0.9255950311359984,0.9770690865524703,0.8907593746847503,1.2544877039204977e-15,0.7689342095376533,0.9520463913850645,-0.06164384753189944,-0.1917123850826478,0.002542460387754217,0.0308,0.9685895499848988,2.1198178406377078e-26,0.9231749761965738,0.9857802250562105,0.8494412564180006,5.987598714604602e-13,0.6939409984871407,0.9303947495327513,-0.11914829356689816,-0.26913041619999734,-0.023318715366154444,0.0046,1.82429622391027e-22,5.017950815681991e-15,4.239635681275415e-25,2.1130846381343364e-12
Centroids,centroid_i_f1,43,0.9527368104688477,7.921806681517941e-23,0.9155974247613182,0.9781601713457294,0.8722118473558648,2.6030929416206233e-14,0.7893699963696592,0.9299488788361211,-0.08052496311298296,-0.16700811326743514,-0.015058242831832226,0.007,0.9562065841135609,1.7151004896285213e-23,0.8898929587463668,0.9824587932859519,0.8511023859861069,4.849261271364435e-13,0.7069965381589156,0.9272043479731917,-0.10510419812745397,-0.2448168518852395,-0.006658228184355589,0.0176,1.7604014847817648e-22,8.676976472068744e-14,8.575502448142606e-23,2.1130846381343364e-12
Centroids,centroid_i_f2,43,0.976784102260471,4.6599788636109e-29,0.9486369215084623,0.9906823202873634,0.7769540576233545,9.047823632426378e-10,0.6189102976459474,0.8789166623447221,-0.1998300446371165,-0.3597103878978921,-0.08560826223603601,0.0,0.9586227725762609,5.4823393350723685e-24,0.8867266620506729,0.9869803404485825,0.7561159770462096,4.546056599642683e-09,0.5340550227272494,0.8812618415966968,-0.20250679553005135,-0.4285552226806166,-0.052057422416257236,0.0026,9.3199577272218e-28,1.5079706054043962e-09,3.654892890048246e-23,8.265557453895787e-09
Centroids,centroid_o_f1,43,0.9618197589492978,1.0869178178305591e-24,0.9310103407991724,0.980866357345255,0.8330645358206078,4.219511384823547e-12,0.7311190153931714,0.9086870774465432,-0.12875522312869003,-0.23228049923781827,-0.049088030079568065,0.0,0.9269102990033222,4.709059029247176e-19,0.8217028312175454,0.9738386410253451,0.8434007852612504,1.262545361282272e-12,0.7196034705207657,0.9137849338094461,-0.08350951374207183,-0.20889536356430588,0.033125692731231886,0.069,3.62305939276853e-24,7.671838881497359e-12,8.561925507722138e-19,3.6072724608064915e-12
Centroids,centroid_o_f2,43,0.9545166077304823,3.667979599729908e-23,0.9118261226982377,0.9774743563770639,0.852260930398816,4.179725993283031e-13,0.7118245990758323,0.9253737854300501,-0.1022556773316663,-0.23750754518596423,-0.026830116152203,0.004,0.9255511929930534,6.780904160667678e-19,0.8437517654730723,0.9621987433540364,0.717607973421927,6.114603653452805e-08,0.4733130378994483,0.8753795016937597,-0.2079432195711265,-0.44202411702144245,-0.04228658684249951,0.0046,9.16994899932477e-23,8.359451986566063e-13,1.130150693444613e-18,1.0191006089088008e-07
Centroids,centroid_u_f1,43,0.9038640926549182,1.0381351908493641e-16,0.8413074705238126,0.9485472386865073,0.6350520024262774,4.779046601498285e-06,0.39001201955266823,0.8003125902316747,-0.26881209022864083,-0.5123889763182312,-0.10036826710240555,0.0,0.8879492600422834,2.05420919340284e-15,0.7817118751433231,0.9377653442281754,0.5742977952280277,5.6507833563676294e-05,0.2901806921670887,0.7817862206150732,-0.31365146481425565,-0.589387765115059,-0.09058540281493556,0.002,1.2976689885617052e-16,5.030575369998195e-06,2.5677614917535497e-15,5.948193006702768e-05
Centroids,centroid_u_f2,43,0.7219189233973485,4.6702130279527284e-08,0.5320972462672997,0.8466784818713153,0.6509966164273855,2.281914231306376e-06,0.41139647450909045,0.8148123959311968,-0.07092230696996304,-0.2820969012526873,0.11072644156005002,0.2142,0.6969193597100574,2.087297051053272e-07,0.46394964010449175,0.8469011096135276,0.5903050437934159,3.092957396987638e-05,0.32240209536529973,0.7762525212440682,-0.1066143159166415,-0.37047231648990514,0.12862738461197173,0.1894,4.916013713634451e-08,2.5354602570070844e-06,2.1971547905823915e-07,3.436619329986265e-05
