vowel,bandwidth,mean_speaker_log_likelihood,median_speaker_log_likelihood,n_speakers_scored,selected
i,0.2,-2.178401838404934,-2.262884127095047,43,False
i,0.3,-2.1742991198538406,-2.2266014582869897,43,True
i,0.45,-2.412581304165488,-2.4355401162609787,43,False
i,0.6,-2.724049436383118,-2.7142089201645203,43,False
i,0.8,-3.1399540128280066,-3.1302174656035473,43,False
i,1.0,-3.533311986402157,-3.5029478245988197,43,False
e,0.2,-1.7335111287156595,-1.6854999132142598,43,True
e,0.3,-1.8121975108223363,-1.7227217765035798,43,False
e,0.45,-2.108556577889262,-2.0243550541898983,43,False
e,0.6,-2.4611806525695017,-2.371763727394264,43,False
e,0.8,-2.9317173944330466,-2.834740732324389,43,False
e,1.0,-3.370424431677344,-3.276846281099976,43,False
a,0.2,-2.205144695730459,-2.2196308614955282,43,True
a,0.3,-2.2436757252937425,-2.2298842431111248,43,False
a,0.45,-2.483298041686324,-2.460797184569142,43,False
a,0.6,-2.7764543820175893,-2.7593707984739866,43,False
a,0.8,-3.1808067855797835,-3.141405245875363,43,False
a,1.0,-3.568916229643034,-3.5103783045052417,43,False
o,0.2,-2.1805093797884085,-2.0709634527065197,43,True
o,0.3,-2.231357687983923,-2.1383901152894413,43,False
o,0.45,-2.4652967637033227,-2.387529554015758,43,False
o,0.6,-2.75279101459727,-2.663316684742967,43,False
o,0.8,-3.1530860022214173,-3.072528328177317,43,False
o,1.0,-3.541474032284329,-3.4717396500778617,43,False
u,0.2,-3.1897707056166573,-3.095474757830362,43,False
u,0.3,-2.739550171962692,-2.7063180974686873,43,True
u,0.45,-2.778084467647388,-2.722865909369452,43,False
u,0.6,-2.9913629363446956,-2.960383146933804,43,False
u,0.8,-3.328928791831536,-3.2844962709551164,43,False
u,1.0,-3.6764517130259415,-3.6252744754509805,43,False
