vowel,speaker_1,speaker_2,overlap_coefficient,bhattacharyya_coefficient,hellinger_distance
i,2e25304d-Audio_SP12,5819ce7a-Audio_SP11,0.8133785724639893,0.9548077583312988,0.2125846694112752
i,061ea7d0-Audio_SP16,5586979c-Audio_SP18,0.8098722100257874,0.9593443274497986,0.20163251858319237
i,5586979c-Audio_SP18,adad0062-Audio_SP17,0.8091170191764832,0.9528003334999084,0.21725484229377157
i,a452055c-Audio_SP11,c3533b36-Audio_SP16,0.8010540008544922,0.9449664950370789,0.2345922099365645
i,63239054-Audio_SP15,adad0062-Audio_SP17,0.7946797013282776,0.9499049186706543,0.2238193050863703
i,5a932187-audio_SP16,7a414497-Audio_SP15,0.7745775580406189,0.9453622698783875,0.2337471499753795
i,c3533b36-Audio_SP16,fcd45f4d-Audio_SP21,0.7703546285629272,0.921164333820343,0.2807768975176857
i,061ea7d0-Audio_SP16,5a932187-audio_SP16,0.7684153318405151,0.9403858780860901,0.24416003340823395
i,0f786745-Audio_SP20,7a414497-Audio_SP15,0.7676944136619568,0.9324142932891846,0.25997251145229844
i,181d5ce9-Audio_SP21,7dec1dd7-Audio_SP13,0.7670915722846985,0.9323530197143555,0.2600903310114479
i,5586979c-Audio_SP18,7a414497-Audio_SP15,0.7650906443595886,0.9434977769851685,0.23770196258094198
i,061ea7d0-Audio_SP16,adad0062-Audio_SP17,0.7649452090263367,0.9424100518226624,0.23997905778908635
i,5586979c-Audio_SP18,5a932187-audio_SP16,0.7630202174186707,0.9446138739585876,0.23534257167247144
i,7dec1dd7-Audio_SP13,a452055c-Audio_SP11,0.7614739537239075,0.9370488524436951,0.25090067269002075
i,061ea7d0-Audio_SP16,7a414497-Audio_SP15,0.7613106966018677,0.9428904056549072,0.23897613760602285
i,181d5ce9-Audio_SP21,713a2f9b-Audio_SP16,0.7586389183998108,0.9316460490226746,0.26144588537080754
i,1d46eb6e-Audio_SP18,e90f8e4d-Audio_SP22,0.7577502131462097,0.9421661496162415,0.24048669481648782
