vowel,speaker,n_retained_tokens,n_fit_tokens,bandwidth,mean_self_log_density,median_self_log_density,peak_log_density_grid,peak_x_standardized,peak_y_standardized,peak_z_standardized,peak_x_original,peak_y_original,peak_z_original,hdr_50_volume,hdr_50_actual_mass,hdr_50_mass_per_volume,hdr_80_volume,hdr_80_actual_mass,hdr_80_mass_per_volume,hdr_95_volume,hdr_95_actual_mass,hdr_95_mass_per_volume,dominant_grid_volume,own_mass_in_dominant_region,equal_prior_posterior_at_own_peak
i,0e6115f2-Audio_SP19,674,674,0.3,-1.1195398030916248,-0.7085637686351491,-0.21079226213887386,-1.2025466043877826,1.4715718839840581,0.4908843384921484,347.63567922480456,2323.288555530029,2853.9653990434663,1.2334661973443357,0.5002591013908386,0.40536173676790227,3.866088081228515,0.8003957867622375,0.20692751515009106,11.883618363966697,0.9500399827957153,0.07994198155004485,1.251876140588281,0.18310784,0.08300171
i,501e6487-Audio_SP19,717,717,0.3,-1.213277882579402,-0.8743942225339154,-0.31642954362164377,-1.4035154252788709,0.7234650574050601,-0.2438179587511562,319.1162757649312,1955.8638962320088,2508.721676080886,1.362335800051953,0.501794695854187,0.36701670761418176,4.123827286643749,0.8004751801490784,0.19399454545321038,10.788226740951952,0.9500203132629395,0.08805895749241288,4.3171316907051756,0.42899248,0.10427384
i,3361ee02-Audio_SP10,442,442,0.3,-1.1446993778315482,-0.5121442635885263,-0.07013748419359063,-1.4035154252788709,0.34941164411556147,0.2459835727443802,319.1162757649312,1772.1515665829986,2738.884158055939,1.1782363676124998,0.5011546611785889,0.4243630681788977,4.648510669096191,0.8000175356864929,0.17209813141195693,15.096153460035154,0.9500409960746765,0.0629299379153097,7.041803290809081,0.58847904,0.30106145
i,cafd9c21-Audio_SP27,676,676,0.3,-1.4801306405827086,-1.1783988645837624,-0.5264987189838082,-1.0015777834966944,0.9104917640498098,-0.2438179587511562,376.15508268467795,2047.7200610565137,2508.721676080886,1.6660998635770505,0.5006704330444336,0.3001020592646348,4.906249874511425,0.8002218008041382,0.1630573290113288,12.702860838322264,0.9500265121459961,0.07478630302978834,3.1941251528245114,0.29060128,0.06412781
i,2988c6fc-Audio_SP13,448,448,0.3,-1.49408221498023,-1.10622109098166,-0.4467992041010065,-1.2025466043877826,1.4715718839840581,0.7357851042399162,347.63567922480456,2323.288555530029,2969.0466400309924,1.6384849487111326,0.5009725093841553,0.3051599591398815,5.182399023170604,0.800167441368103,0.15436866139083172,14.66351979380244,0.95002681016922,0.0647866278600803,1.3439258568080077,0.15778297,0.07738513
i,5278b5b9-Audio_SP15,403,403,0.3,-1.4253768816891146,-1.0937149978294078,-0.36727732883717407,-1.4035154252788709,1.2845451773393084,0.2459835727443802,319.1162757649312,2231.4323907055236,2738.884158055939,1.6476899203331052,0.5009415745735168,0.30345515489887653,5.246833824524414,0.800166130065918,0.1524729059000671,13.881097205934763,0.9500036239624023,0.06843839401930232,1.0217518500389646,0.070911534,0.07180724
i,85c7895f-Audio_SP16,1010,1000,0.3,-1.4845379139550006,-1.037807853717836,-0.3238684407439476,-1.4035154252788709,1.097518470694559,0.4908843384921484,319.1162757649312,2139.5762258810187,2853.9653990434663,1.574050147357324,0.5005210041999817,0.31765188729180643,5.3296785691221675,0.8002241849899292,0.150102860730636,14.80159436813203,0.9500111937522888,0.06418227498825119,1.4359755730277342,0.16429012,0.08794257
i,7dec1dd7-Audio_SP13,337,337,0.3,-1.5488680237073646,-1.253622411502981,-0.5688644069558692,-1.2025466043877826,1.097518470694559,0.0010828069966120069,347.63567922480456,2139.5762258810187,2623.8029170684126,1.7765595230407225,0.5008413195610046,0.2814428638699425,5.3296785691221675,0.8000695705413818,0.150102860730636,14.230886127569725,0.9500564336776733,0.06675620839657691,0.9112921905752929,0.012031668,0.051028397
i,2e25304d-Audio_SP12,174,174,0.3,-1.5138806856857987,-1.2173635065233144,-0.5753318264628634,-0.8006089626056059,1.6585985906288074,0.7357851042399162,404.6744861445514,2415.144720354534,2969.0466400309924,1.7673545514187499,0.5000958442687988,0.2829087121192651,5.458548171829785,0.8001481294631958,0.14655911696971036,13.881097205934763,0.9500073790550232,0.06843839401930232,1.5556402041133788,0.200844,0.084780954
i,5586979c-Audio_SP18,598,598,0.3,-1.614188715020096,-1.228348825718676,-0.48953624485687197,-0.8006089626056059,1.097518470694559,0.0010828069966120069,404.6744861445514,2139.5762258810187,2623.8029170684126,1.7489446081748043,0.5010020732879639,0.28588669856262583,5.661057547513183,0.8003051280975342,0.14131635180981827,15.694476615463376,0.9500259160995483,0.06053084937308382,0.6259380702941405,0.08875206,0.06541346
