,061ea7d0-Audio_SP16,0af9ac47-Audio_SP14,0e6115f2-Audio_SP19,0f786745-Audio_SP20,12c532f8-Audio_SP15,181d5ce9-Audio_SP21,1c403477-Audio_SP13,1d46eb6e-Audio_SP18,2988c6fc-Audio_SP13,2e25304d-Audio_SP12,30a90cb2-Audio_SP21,3361ee02-Audio_SP10,34ad326e-Audio_SP7,375a28cd-Audio_SP16,42d56bbf-Audio_SP23,49ae7020-Audio_SP17,501e6487-Audio_SP19,514fc6b6-Audio_SP19,51a17262-Audio_SP18,5278b5b9-Audio_SP15,5586979c-Audio_SP18,5819ce7a-Audio_SP11,5a932187-audio_SP16,63239054-Audio_SP15,713a2f9b-Audio_SP16,7a414497-Audio_SP15,7aee4437-Audio_SP12,7c3c98d2-Audio_SP13,7dec1dd7-Audio_SP13,7e277fda-Audio_SP28,85c7895f-Audio_SP16,919b9bc1-Audio_SP14,9a0c18cb-Audio_SP14,a1a056ce-Audio_SP11,a452055c-Audio_SP11,adad0062-Audio_SP17,c3533b36-Audio_SP16,cafd9c21-Audio_SP27,d4c363bf-Audio_SP13,dbeec025-Audio_SP13,e90f8e4d-Audio_SP22,f061152e-Audio_SP12,fcd45f4d-Audio_SP21
061ea7d0-Audio_SP16,1.0,0.6560093760490417,0.6265683770179749,0.7299681901931763,0.5054671764373779,0.5494152903556824,0.5986958146095276,0.5231742858886719,0.5063627362251282,0.47578299045562744,0.49770525097846985,0.25422555208206177,0.15510596334934235,0.3713468909263611,0.1898072063922882,0.4674186706542969,0.34742146730422974,0.1818976104259491,0.22504106163978577,0.5079720616340637,0.8098722100257874,0.5695832371711731,0.7684153318405151,0.6685096621513367,0.5233416557312012,0.7613106966018677,0.5552363991737366,0.31918609142303467,0.637624204158783,0.7115660309791565,0.5045189261436462,0.5399466753005981,0.30788564682006836,0.3180616497993469,0.6132578253746033,0.7649452090263367,0.6359307765960693,0.6257646679878235,0.3902866542339325,0.5792319774627686,0.5909436941146851,0.3808614909648895,0.5840852856636047
0af9ac47-Audio_SP14,0.6560093760490417,1.0,0.5488638877868652,0.619453489780426,0.42289334535598755,0.5747770667076111,0.6402349472045898,0.5456668138504028,0.540264904499054,0.4704486131668091,0.5797075033187866,0.29064810276031494,0.23756034672260284,0.36501893401145935,0.2421242594718933,0.5067285299301147,0.287751168012619,0.20041173696517944,0.25832003355026245,0.4814070761203766,0.6510928273200989,0.5310760140419006,0.6289054751396179,0.645152747631073,0.513941764831543,0.6571752429008484,0.6342780590057373,0.3776491582393646,0.5805339217185974,0.7019895315170288,0.5424461960792542,0.5531081557273865,0.3547416031360626,0.32963284850120544,0.531552255153656,0.7255562543869019,0.5599427819252014,0.49834907054901123,0.33477330207824707,0.637474536895752,0.5676947236061096,0.42496851086616516,0.5180094242095947
0e6115f2-Audio_SP19,0.6265683770179749,0.5488638877868652,1.0,0.6256780028343201,0.4061262607574463,0.5402701497077942,0.5769204497337341,0.5601011514663696,0.7024158835411072,0.5191740989685059,0.5178391337394714,0.2502717077732086,0.1443413347005844,0.2902139127254486,0.19687743484973907,0.39492887258529663,0.3137628138065338,0.14306914806365967,0.22004136443138123,0.6544328927993774,0.6602298617362976,0.5742060542106628,0.7165642380714417,0.5407669544219971,0.5757372975349426,0.7542371153831482,0.5032395124435425,0.3691047430038452,0.6401119232177734,0.6077333092689514,0.6664500832557678,0.6711581349372864,0.29809439182281494,0.2879203259944916,0.5522158741950989,0.596513569355011,0.563025176525116,0.4382569491863251,0.35921794176101685,0.446969598531723,0.6544950008392334,0.30378320813179016,0.46947282552719116
0f786745-Audio_SP20,0.7299681901931763,0.619453489780426,0.6256780028343201,1.0,0.5910196900367737,0.6255496144294739,0.6711312532424927,0.5425249934196472,0.5237779021263123,0.4056207835674286,0.5474540591239929,0.26963236927986145,0.2501528859138489,0.487012654542923,0.3059636950492859,0.438910573720932,0.41272687911987305,0.19998565316200256,0.2609802186489105,0.6647305488586426,0.7411066889762878,0.4922162592411041,0.7215668559074402,0.6870370507240295,0.6576648354530334,0.7676944136619568,0.5171464681625366,0.37960922718048096,0.7125478982925415,0.6680122017860413,0.5967657566070557,0.6305676102638245,0.4419862627983093,0.33438533544540405,0.719937264919281,0.7165873646736145,0.711168110370636,0.6188773512840271,0.3996345102787018,0.5995388031005859,0.6656196117401123,0.37709686160087585,0.675777792930603
12c532f8-Audio_SP15,0.5054671764373779,0.42289334535598755,0.4061262607574463,0.5910196900367737,1.0,0.48743900656700134,0.5122658610343933,0.3086916506290436,0.30839744210243225,0.21705204248428345,0.2956772744655609,0.23464952409267426,0.1828707754611969,0.4955187439918518,0.2620825171470642,0.23050422966480255,0.6148483157157898,0.09667184203863144,0.13258133828639984,0.5166599750518799,0.529065728187561,0.295711874961853,0.47249627113342285,0.46299511194229126,0.5525797009468079,0.5209203958511353,0.32654744386672974,0.219077005982399,0.583667516708374,0.3951568305492401,0.42246726155281067,0.45901283621788025,0.3772484064102173,0.17777130007743835,0.6522970795631409,0.49407631158828735,0.6481632590293884,0.601004421710968,0.2132832109928131,0.446446031332016,0.4396517276763916,0.21422506868839264,0.629707932472229
181d5ce9-Audio_SP21,0.5494152903556824,0.5747770667076111,0.5402701497077942,0.6255496144294739,0.48743900656700134,1.0,0.6324931383132935,0.40521204471588135,0.4531545341014862,0.3111676275730133,0.5017775297164917,0.49549970030784607,0.2605774700641632,0.47291433811187744,0.3003838360309601,0.30377820134162903,0.4674430191516876,0.12441790848970413,0.18566325306892395,0.5962660908699036,0.6545725464820862,0.36567431688308716,0.6045787930488586,0.7188138961791992,0.7586389183998108,0.6223381161689758,0.4525303542613983,0.3044741451740265,0.7670915722846985,0.4980977475643158,0.7067917585372925,0.6324129104614258,0.5240532755851746,0.2131146490573883,0.7157866358757019,0.6514616012573242,0.6774268746376038,0.5791869163513184,0.23580671846866608,0.6342300772666931,0.4931137263774872,0.2811666429042816,0.6187779307365417
1c403477-Audio_SP13,0.5986958146095276,0.6402349472045898,0.5769204497337341,0.6711312532424927,0.5122658610343933,0.6324931383132935,1.0,0.6175382137298584,0.5796009302139282,0.43188050389289856,0.6429850459098816,0.2993069291114807,0.2667122185230255,0.5100118517875671,0.34119653701782227,0.4577735364437103,0.38381388783454895,0.2209545075893402,0.2888559103012085,0.6426084041595459,0.64056795835495,0.498511403799057,0.6279595494270325,0.6807624697685242,0.6408066153526306,0.6730602383613586,0.5802508592605591,0.43189767003059387,0.6473343968391418,0.6049304604530334,0.637788712978363,0.601328432559967,0.4809805452823639,0.37313202023506165,0.6305971741676331,0.7289431691169739,0.6576914191246033,0.5596611499786377,0.3693719208240509,0.6578795909881592,0.6941491365432739,0.3723793923854828,0.6146122813224792
1d46eb6e-Audio_SP18,0.5231742858886719,0.5456668138504028,0.5601011514663696,0.5425249934196472,0.3086916506290436,0.40521204471588135,0.6175382137298584,1.0,0.6830041408538818,0.6831048130989075,0.6457546949386597,0.1579490453004837,0.25209954380989075,0.30564799904823303,0.2546614408493042,0.6777194738388062,0.18764621019363403,0.39206376671791077,0.4229170083999634,0.49770355224609375,0.4910886883735657,0.7041497826576233,0.5799555778503418,0.49872034788131714,0.4396706521511078,0.5880469679832458,0.7110306620597839,0.6132558584213257,0.4230060875415802,0.6922625303268433,0.4827030897140503,0.5248774290084839,0.3490076959133148,0.6019376516342163,0.40614259243011475,0.5369388461112976,0.4338122606277466,0.3080368936061859,0.6052588820457458,0.4676847457885742,0.7577502131462097,0.5350696444511414,0.405917227268219
2988c6fc-Audio_SP13,0.5063627362251282,0.540264904499054,0.7024158835411072,0.5237779021263123,0.30839744210243225,0.4531545341014862,0.5796009302139282,0.6830041408538818,1.0,0.6072825789451599,0.556568443775177,0.2088087499141693,0.1824900209903717,0.2593238055706024,0.23196862637996674,0.4817669987678528,0.22447581589221954,0.23110099136829376,0.3091227114200592,0.5973314046859741,0.5028868317604065,0.6095978021621704,0.615793764591217,0.4669642448425293,0.5174658894538879,0.6268465518951416,0.5802590847015381,0.5478327870368958,0.5003945827484131,0.5873861312866211,0.6121335029602051,0.6530439257621765,0.311896950006485,0.3964916467666626,0.4321269690990448,0.526640772819519,0.4756602942943573,0.3090345859527588,0.4253101348876953,0.4468629062175751,0.71711665391922,0.37781649827957153,0.38682323694229126
2e25304d-Audio_SP12,0.47578299045562744,0.4704486131668091,0.5191740989685059,0.4056207835674286,0.21705204248428345,0.3111676275730133,0.43188050389289856,0.6831048130989075,0.6072825789451599,1.0,0.4781782627105713,0.1373167335987091,0.12642483413219452,0.16761426627635956,0.1280679553747177,0.6507575511932373,0.13369393348693848,0.3671528398990631,0.4068823754787445,0.3381500244140625,0.43229973316192627,0.8133785724639893,0.525205135345459,0.38263723254203796,0.3371647298336029,0.49130892753601074,0.6768743395805359,0.5130104422569275,0.33363616466522217,0.6163395643234253,0.3667962849140167,0.4618242383003235,0.19055074453353882,0.5438944697380066,0.300851434469223,0.4361436069011688,0.3558076024055481,0.2358947992324829,0.583690345287323,0.35801249742507935,0.5798031687736511,0.5304320454597473,0.2839881479740143
