,061ea7d0-Audio_SP16,0af9ac47-Audio_SP14,0e6115f2-Audio_SP19,0f786745-Audio_SP20,12c532f8-Audio_SP15,181d5ce9-Audio_SP21,1c403477-Audio_SP13,1d46eb6e-Audio_SP18,2988c6fc-Audio_SP13,2e25304d-Audio_SP12,30a90cb2-Audio_SP21,3361ee02-Audio_SP10,34ad326e-Audio_SP7,375a28cd-Audio_SP16,42d56bbf-Audio_SP23,49ae7020-Audio_SP17,501e6487-Audio_SP19,514fc6b6-Audio_SP19,51a17262-Audio_SP18,5278b5b9-Audio_SP15,5586979c-Audio_SP18,5819ce7a-Audio_SP11,5a932187-audio_SP16,63239054-Audio_SP15,713a2f9b-Audio_SP16,7a414497-Audio_SP15,7aee4437-Audio_SP12,7c3c98d2-Audio_SP13,7dec1dd7-Audio_SP13,7e277fda-Audio_SP28,85c7895f-Audio_SP16,919b9bc1-Audio_SP14,9a0c18cb-Audio_SP14,a1a056ce-Audio_SP11,a452055c-Audio_SP11,adad0062-Audio_SP17,c3533b36-Audio_SP16,cafd9c21-Audio_SP27,d4c363bf-Audio_SP13,dbeec025-Audio_SP13,e90f8e4d-Audio_SP22,f061152e-Audio_SP12,fcd45f4d-Audio_SP21
061ea7d0-Audio_SP16,1.0,0.45952317118644714,0.420911967754364,0.6261905431747437,0.5999761819839478,0.5504045486450195,0.5514392852783203,0.5994686484336853,0.41709327697753906,0.249616801738739,0.4534437358379364,0.4795188307762146,0.3906541168689728,0.46618494391441345,0.22902047634124756,0.5143437385559082,0.20579233765602112,0.21135856211185455,0.3189120590686798,0.21054194867610931,0.6608629822731018,0.6524936556816101,0.3792463541030884,0.6422635912895203,0.406277060508728,0.709611713886261,0.4620124101638794,0.21070405840873718,0.47460004687309265,0.5025071501731873,0.41601020097732544,0.5519521832466125,0.4893169105052948,0.25771084427833557,0.34821617603302,0.402472585439682,0.42830556631088257,0.7766408324241638,0.581574559211731,0.5642945766448975,0.5111691951751709,0.2762230932712555,0.4003974497318268
0af9ac47-Audio_SP14,0.45952317118644714,1.0,0.1664590984582901,0.2958781123161316,0.3302668035030365,0.2208547592163086,0.3075527846813202,0.28658801317214966,0.1512206792831421,0.1679292619228363,0.20534272491931915,0.26513707637786865,0.2831871509552002,0.22244130074977875,0.124399334192276,0.2983677089214325,0.12812890112400055,0.08319345861673355,0.17612437903881073,0.0875433087348938,0.411080926656723,0.47299715876579285,0.30801066756248474,0.280195027589798,0.17832806706428528,0.38511979579925537,0.278484582901001,0.10152257233858109,0.2018742561340332,0.3143932521343231,0.15267804265022278,0.22190070152282715,0.3143470585346222,0.12031339854001999,0.13759568333625793,0.32931748032569885,0.3339454233646393,0.42588719725608826,0.25745582580566406,0.40312013030052185,0.21796180307865143,0.26816537976264954,0.18497300148010254
0e6115f2-Audio_SP19,0.420911967754364,0.1664590984582901,1.0,0.4593464136123657,0.5072032809257507,0.6358792185783386,0.5624284744262695,0.542995035648346,0.4636308550834656,0.1623908132314682,0.5799469947814941,0.4702703058719635,0.2933923602104187,0.47547271847724915,0.38957199454307556,0.26221948862075806,0.2733476161956787,0.17705267667770386,0.3044328987598419,0.40969377756118774,0.44096505641937256,0.339069664478302,0.3058653175830841,0.5153847932815552,0.5613096356391907,0.3908390402793884,0.363979697227478,0.2733994126319885,0.5919250249862671,0.2939924895763397,0.650245726108551,0.579886257648468,0.3878096640110016,0.2610500752925873,0.5677626729011536,0.23620262742042542,0.2663083076477051,0.41375401616096497,0.6156215071678162,0.25870898365974426,0.563219428062439,0.17832167446613312,0.42630690336227417
0f786745-Audio_SP20,0.6261905431747437,0.2958781123161316,0.4593464136123657,1.0,0.5540010333061218,0.5042288899421692,0.567228376865387,0.5262805223464966,0.4709136486053467,0.19094926118850708,0.3967706859111786,0.477618932723999,0.3706168234348297,0.5708909034729004,0.31766340136528015,0.3935287892818451,0.23907452821731567,0.19923846423625946,0.34313157200813293,0.22954881191253662,0.5269976258277893,0.5568615794181824,0.2916829288005829,0.5673223733901978,0.44355764985084534,0.5229064226150513,0.38384661078453064,0.17495204508304596,0.42623767256736755,0.5729792714118958,0.5232629776000977,0.5411915183067322,0.613639235496521,0.25677114725112915,0.45651161670684814,0.41225895285606384,0.5087156891822815,0.6519190073013306,0.520675539970398,0.47217902541160583,0.5590479969978333,0.23873798549175262,0.544808030128479
12c532f8-Audio_SP15,0.5999761819839478,0.3302668035030365,0.5072032809257507,0.5540010333061218,1.0,0.5379283428192139,0.7359248995780945,0.5612660050392151,0.4234418272972107,0.19005490839481354,0.5065320134162903,0.6082552671432495,0.4901376962661743,0.6307823657989502,0.39418965578079224,0.33294981718063354,0.34127673506736755,0.2641363739967346,0.35300925374031067,0.4024808704853058,0.6915750503540039,0.5487135052680969,0.3312763273715973,0.6241646409034729,0.5906513333320618,0.5277963876724243,0.48289310932159424,0.23562487959861755,0.44810739159584045,0.5143923163414001,0.4747217297554016,0.5655367970466614,0.5535974502563477,0.3811070919036865,0.5266933441162109,0.45666155219078064,0.46022260189056396,0.6350911855697632,0.6037635803222656,0.43347519636154175,0.5925282835960388,0.279766321182251,0.6009493470191956
181d5ce9-Audio_SP21,0.5504045486450195,0.2208547592163086,0.6358792185783386,0.5042288899421692,0.5379283428192139,1.0,0.5665385127067566,0.6880983114242554,0.5616441965103149,0.23350097239017487,0.5998650789260864,0.45936286449432373,0.31846341490745544,0.4409748315811157,0.34181806445121765,0.40124422311782837,0.22932115197181702,0.217233344912529,0.32284775376319885,0.4160059094429016,0.4842650294303894,0.44102802872657776,0.36296042799949646,0.6588917970657349,0.6203689575195312,0.5599547624588013,0.40331006050109863,0.3106498420238495,0.6390469074249268,0.3325783908367157,0.6379804611206055,0.706216037273407,0.3511011004447937,0.254631370306015,0.5814866423606873,0.21215763688087463,0.2311343252658844,0.49963247776031494,0.6519984602928162,0.37515926361083984,0.6169973015785217,0.22705870866775513,0.3724498152732849
1c403477-Audio_SP13,0.5514392852783203,0.3075527846813202,0.5624284744262695,0.567228376865387,0.7359248995780945,0.5665385127067566,1.0,0.5535684823989868,0.4548373222351074,0.17826500535011292,0.5551199316978455,0.6638787984848022,0.41294002532958984,0.6644741296768188,0.45668140053749084,0.31086206436157227,0.39220917224884033,0.19233177602291107,0.35163742303848267,0.42773139476776123,0.6702325940132141,0.5163410305976868,0.3119819462299347,0.576807975769043,0.6585765480995178,0.49819308519363403,0.4710082709789276,0.2538776397705078,0.48729372024536133,0.49004682898521423,0.5398856401443481,0.5858481526374817,0.6091756820678711,0.29251888394355774,0.5616626143455505,0.5005088448524475,0.5165811777114868,0.6316960453987122,0.5735475420951843,0.389730840921402,0.5800430178642273,0.23462677001953125,0.5728104114532471
1d46eb6e-Audio_SP18,0.5994686484336853,0.28658801317214966,0.542995035648346,0.5262805223464966,0.5612660050392151,0.6880983114242554,0.5535684823989868,1.0,0.6867364048957825,0.3264397084712982,0.5540321469306946,0.41383883357048035,0.40355318784713745,0.41765812039375305,0.24993930757045746,0.5643584728240967,0.171202152967453,0.31862589716911316,0.3978688418865204,0.2844325006008148,0.48409712314605713,0.5032309889793396,0.3821120262145996,0.7639312744140625,0.4936709702014923,0.659248411655426,0.48287510871887207,0.3453880846500397,0.7252469658851624,0.36779412627220154,0.5640200972557068,0.718780517578125,0.35673919320106506,0.33837294578552246,0.4965985119342804,0.22411473095417023,0.2524428367614746,0.5344504117965698,0.5872992873191833,0.5467057228088379,0.7363516092300415,0.29424378275871277,0.4259844422340393
2988c6fc-Audio_SP13,0.41709327697753906,0.1512206792831421,0.4636308550834656,0.4709136486053467,0.4234418272972107,0.5616441965103149,0.4548373222351074,0.6867364048957825,1.0,0.296551376581192,0.4271332621574402,0.2950262725353241,0.31910082697868347,0.33478811383247375,0.2200656682252884,0.4679555892944336,0.11617333441972733,0.30177387595176697,0.35707002878189087,0.26388052105903625,0.2901182770729065,0.35842329263687134,0.23592078685760498,0.6278878450393677,0.45512500405311584,0.5129038095474243,0.35866838693618774,0.33474001288414,0.671501100063324,0.29809290170669556,0.5764210820198059,0.6318795084953308,0.28108882904052734,0.30238187313079834,0.4969088137149811,0.12573999166488647,0.1724293977022171,0.37163031101226807,0.4307571351528168,0.46645864844322205,0.6630504727363586,0.21809357404708862,0.37636804580688477
2e25304d-Audio_SP12,0.249616801738739,0.1679292619228363,0.1623908132314682,0.19094926118850708,0.19005490839481354,0.23350097239017487,0.17826500535011292,0.3264397084712982,0.296551376581192,1.0,0.1968579739332199,0.16181938350200653,0.23473061621189117,0.11020712554454803,0.07362613081932068,0.47946590185165405,0.05978937819600105,0.40753355622291565,0.31702300906181335,0.0707022100687027,0.17926517128944397,0.28935301303863525,0.40951117873191833,0.2816222906112671,0.153620645403862,0.3248022198677063,0.2066386640071869,0.5023240447044373,0.345683753490448,0.14101071655750275,0.21923135221004486,0.22625389695167542,0.13931480050086975,0.20330072939395905,0.15830335021018982,0.06820885092020035,0.09379641711711884,0.2203657627105713,0.19684447348117828,0.4281786382198334,0.24656184017658234,0.38966432213783264,0.10959360003471375
