speaker_id,audio_id,n_target_vowel_rows,has_all_five_vowels,missing_vowels,n_F1,mean_F1_Hz,sd_F1_Hz,valid_F1_parameters,n_F2,mean_F2_Hz,sd_F2_Hz,valid_F2_parameters,n_F3,mean_F3_Hz,sd_F3_Hz,valid_F3_parameters
061ea7d0-Audio_SP16,061ea7d0-Audio_SP16,2903,True,,2903,552.8455567875153,122.47055078377957,True,2903,1614.6246350987738,442.427224860495,True,2903,2502.914390978748,261.3918559900487,True
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,3466,True,,3466,599.9968741657808,123.94202848457311,True,3466,1614.8101556119814,372.78442539069533,True,3466,2486.1809937273,219.2917236845082,True
0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,3495,True,,3495,476.03817344078135,109.69607382110328,True,3495,1658.5727886535094,468.87464165145605,True,3495,2678.41655832856,206.1272734122731,True
0f786745-Audio_SP20,0f786745-Audio_SP20,3677,True,,3677,518.4480298059475,111.01390604297458,True,3677,1334.7946796775282,624.8878484539007,True,3677,2295.280990309784,682.6091939539713,True
12c532f8-Audio_SP15,12c532f8-Audio_SP15,3342,True,,3342,501.02396959013396,126.66378391809172,True,3342,1573.8991110836284,430.29231470752177,True,3342,2466.535192713206,404.809876810496,True
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,1729,True,,1729,489.91657280569467,121.45376247753414,True,1729,1538.8279899228085,394.0627511157383,True,1729,2648.819037610105,225.59678344236127,True
1c403477-Audio_SP13,1c403477-Audio_SP13,3321,True,,3321,490.31133058804807,117.17758309189253,True,3321,1585.7748905190565,454.0679037713475,True,3321,2516.9251109640704,343.0673565908514,True
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,4972,True,,4972,548.351816807161,140.10530987036518,True,4972,1674.4953090976285,513.079854343976,True,4972,2752.7404016423784,313.02866643828196,True
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,2406,True,,2406,532.4441115637136,150.2339136980259,True,2406,1671.6167567990346,505.6949861500043,True,2406,2829.0657056486853,214.7094707570135,True
2e25304d-Audio_SP12,2e25304d-Audio_SP12,1234,True,,1234,644.099931478744,174.33476323217457,True,1234,1738.444233481016,450.48319121614844,True,1234,2836.979185846509,211.6198916063773,True
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,3151,True,,3151,483.10720036227,100.39111588927395,True,3151,1616.9948033110213,517.005617032438,True,3151,2687.138769261562,546.8811841783198,True
3361ee02-Audio_SP10,3361ee02-Audio_SP10,2233,True,,2233,471.02531626481203,124.57934904375539,True,2233,1467.1780070703696,316.64394362118117,True,2233,2437.7132718781654,331.51855316049995,True
34ad326e-Audio_SP7,34ad326e-Audio_SP7,1458,True,,1458,538.9400793419187,170.8603551026212,True,1458,1484.3087011123037,480.2754867670682,True,1458,2991.472348490345,810.985427294254,True
375a28cd-Audio_SP16,375a28cd-Audio_SP16,3445,True,,3445,461.48550683928954,84.61179697210028,True,3445,1526.384380754747,580.3253781186152,True,3445,2899.9436978557014,795.8236584811671,True
42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,9770,True,,9770,417.9410059472497,116.84001369593058,True,9770,1556.9818841426272,532.1629104063699,True,9770,2759.6979443187465,692.8618472836662,True
