speaker_id,display_name,n_tokens_total,n_a,n_e,n_i,n_o,n_u,output_files
061ea7d0-Audio_SP16,061ea7d0-Audio_SP16,2903,818,756,478,714,137,061ea7d0-Audio_SP16.png
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,3466,988,1081,429,862,106,0af9ac47-Audio_SP14.png
0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,3495,851,909,678,918,139,0e6115f2-Audio_SP19.png
0f786745-Audio_SP20,0f786745-Audio_SP20,3677,1175,881,555,843,223,0f786745-Audio_SP20.png
12c532f8-Audio_SP15,12c532f8-Audio_SP15,3342,1039,849,495,804,155,12c532f8-Audio_SP15.png
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,1729,454,464,265,474,72,181d5ce9-Audio_SP21.png
1c403477-Audio_SP13,1c403477-Audio_SP13,3321,754,924,575,936,132,1c403477-Audio_SP13.png
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,4972,1460,1305,749,1191,267,1d46eb6e-Audio_SP18.png
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,2406,729,604,458,524,91,2988c6fc-Audio_SP13.png
2e25304d-Audio_SP12,2e25304d-Audio_SP12,1234,405,319,179,264,67,2e25304d-Audio_SP12.png
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,3151,806,823,638,777,107,30a90cb2-Audio_SP21.png
3361ee02-Audio_SP10,3361ee02-Audio_SP10,2233,575,589,445,504,120,3361ee02-Audio_SP10.png
34ad326e-Audio_SP7,34ad326e-Audio_SP7,1458,475,385,217,322,59,34ad326e-Audio_SP7.png
375a28cd-Audio_SP16,375a28cd-Audio_SP16,3445,854,887,504,997,203,375a28cd-Audio_SP16.png
42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,9770,2356,2706,1563,2443,702,42d56bbf-Audio_SP23.png
49ae7020-Audio_SP17,49ae7020-Audio_SP17,2377,626,652,447,565,87,49ae7020-Audio_SP17.png
501e6487-Audio_SP19,501e6487-Audio_SP19,5259,1576,1452,718,1210,303,501e6487-Audio_SP19.png
514fc6b6-Audio_SP19,514fc6b6-Audio_SP19,4227,1228,1269,698,831,201,514fc6b6-Audio_SP19.png
51a17262-Audio_SP18,51a17262-Audio_SP18,2738,727,835,429,637,110,51a17262-Audio_SP18.png
5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,1916,514,411,403,490,98,5278b5b9-Audio_SP15.png
5586979c-Audio_SP18,5586979c-Audio_SP18,4244,1250,1221,599,1061,113,5586979c-Audio_SP18.png
5819ce7a-Audio_SP11,5819ce7a-Audio_SP11,3848,1150,1090,645,819,144,5819ce7a-Audio_SP11.png
5a932187-audio_SP16,5a932187-audio_SP16,3930,1165,1041,614,898,212,5a932187-audio_SP16.png
63239054-Audio_SP15,63239054-Audio_SP15,2628,729,646,335,822,96,63239054-Audio_SP15.png
713a2f9b-Audio_SP16,713a2f9b-Audio_SP16,3172,826,785,515,873,173,713a2f9b-Audio_SP16.png
7a414497-Audio_SP15,7a414497-Audio_SP15,2137,735,491,360,441,110,7a414497-Audio_SP15.png
7aee4437-Audio_SP12,7aee4437-Audio_SP12,1642,506,428,293,302,113,7aee4437-Audio_SP12.png
7c3c98d2-Audio_SP13,7c3c98d2-Audio_SP13,4155,1319,1123,728,827,158,7c3c98d2-Audio_SP13.png
7dec1dd7-Audio_SP13,7dec1dd7-Audio_SP13,2334,757,569,349,527,132,7dec1dd7-Audio_SP13.png
7e277fda-Audio_SP28,7e277fda-Audio_SP28,3383,905,897,598,804,179,7e277fda-Audio_SP28.png
85c7895f-Audio_SP16,85c7895f-Audio_SP16,5726,1659,1381,1017,1451,218,85c7895f-Audio_SP16.png
919b9bc1-Audio_SP14,919b9bc1-Audio_SP14,2133,504,589,367,561,112,919b9bc1-Audio_SP14.png
9a0c18cb-Audio_SP14,9a0c18cb-Audio_SP14,2033,602,410,329,585,107,9a0c18cb-Audio_SP14.png
a1a056ce-Audio_SP11,a1a056ce-Audio_SP11,1617,469,487,266,355,40,a1a056ce-Audio_SP11.png
a452055c-Audio_SP11,a452055c-Audio_SP11,3839,1184,911,557,964,223,a452055c-Audio_SP11.png
adad0062-Audio_SP17,adad0062-Audio_SP17,3705,1143,1029,611,713,209,adad0062-Audio_SP17.png
c3533b36-Audio_SP16,c3533b36-Audio_SP16,1959,579,499,248,524,109,c3533b36-Audio_SP16.png
cafd9c21-Audio_SP27,cafd9c21-Audio_SP27,4907,1563,1306,678,1154,206,cafd9c21-Audio_SP27.png
d4c363bf-Audio_SP13,d4c363bf-Audio_SP13,3390,975,912,672,678,153,d4c363bf-Audio_SP13.png
dbeec025-Audio_SP13,dbeec025-Audio_SP13,2727,900,709,372,595,151,dbeec025-Audio_SP13.png
e90f8e4d-Audio_SP22,e90f8e4d-Audio_SP22,2564,694,626,439,670,135,e90f8e4d-Audio_SP22.png
f061152e-Audio_SP12,f061152e-Audio_SP12,2900,930,812,462,586,110,f061152e-Audio_SP12.png
fcd45f4d-Audio_SP21,fcd45f4d-Audio_SP21,2501,715,596,364,703,123,fcd45f4d-Audio_SP21.png
