speaker_id,display_name,n_tokens_total,n_tokens_visible,n_tokens_outside_zoom,visible_percent,x_min,x_max,y_min,y_max,n_a_total,n_a_visible,n_e_total,n_e_visible,n_i_total,n_i_visible,n_o_total,n_o_visible,n_u_total,n_u_visible,output_files
061ea7d0-Audio_SP16,061ea7d0-Audio_SP16,2903,2887,16,99.44884602135721,-2.2743704272542185,2.300811681481234,-2.3060022727778033,2.942012268860002,818,815,756,755,478,466,714,714,137,137,061ea7d0-Audio_SP16.png
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,3466,3449,17,99.50952106174265,-2.620047582007865,2.5379202434045505,-3.161140791284065,3.9691608712814714,988,987,1081,1079,429,416,862,862,106,105,0af9ac47-Audio_SP14.png
0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,3495,3470,25,99.28469241773963,-2.3736204746738734,2.1826886145629203,-2.3439750734199394,3.670651197345889,851,847,909,907,678,669,918,912,139,135,0e6115f2-Audio_SP19.png
0f786745-Audio_SP20,0f786745-Audio_SP20,3677,3653,24,99.34729398966549,-1.4704243428916879,2.4602177768621813,-2.4430847556836803,2.851650192591803,1175,1170,881,880,555,541,843,842,223,220,0f786745-Audio_SP20.png
12c532f8-Audio_SP15,12c532f8-Audio_SP15,3342,3325,17,99.49132256134051,-2.6745319443074616,2.2466243859143793,-2.3704978742167846,3.1737913863695777,1039,1032,849,849,495,489,804,804,155,151,12c532f8-Audio_SP15.png
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,1729,1717,12,99.30595720069404,-2.442511250736702,2.5140628427507083,-2.4242766312929525,3.648541510653634,454,453,464,464,265,254,474,474,72,72,181d5ce9-Audio_SP21.png
1c403477-Audio_SP13,1c403477-Audio_SP13,3321,3295,26,99.21710328214394,-2.387264562036412,2.6981677105982893,-2.5920180264349173,4.22011314599014,754,745,924,922,575,562,936,935,132,131,1c403477-Audio_SP13.png
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,4972,4942,30,99.396621078037,-2.2918274923650848,2.452783685113172,-2.150363428322856,3.3298172312917855,1460,1452,1305,1304,749,734,1191,1187,267,265,1d46eb6e-Audio_SP18.png
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,2406,2391,15,99.37655860349128,-2.171181773303922,2.1363552863507107,-2.1848359007560116,2.928211048324814,729,726,604,603,458,448,524,523,91,91,2988c6fc-Audio_SP13.png
2e25304d-Audio_SP12,2e25304d-Audio_SP12,1234,1226,8,99.3517017828201,-2.5392493842592256,2.556335309948309,-2.3251958002684674,3.730616753713555,405,403,319,318,179,175,264,264,67,66,2e25304d-Audio_SP12.png
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,3151,3128,23,99.27007299270073,-2.523687879221966,2.842476363021544,-2.1494873551976132,4.2285508758413295,806,806,823,822,638,618,777,777,107,105,30a90cb2-Audio_SP21.png
3361ee02-Audio_SP10,3361ee02-Audio_SP10,2233,2213,20,99.10434393193015,-2.420616837936511,3.250035926298285,-2.3564922531212553,3.7632138069765326,575,574,589,587,445,436,504,501,120,115,3361ee02-Audio_SP10.png
34ad326e-Audio_SP7,34ad326e-Audio_SP7,1458,1448,10,99.31412894375858,-1.9516916150199513,3.3570690233034663,-2.091982072049003,3.807835363418362,475,475,385,384,217,208,322,322,59,59,34ad326e-Audio_SP7.png
375a28cd-Audio_SP16,375a28cd-Audio_SP16,3445,3421,24,99.3033381712627,-1.8890301456301501,1.9916361390858461,-2.6982811987870328,3.1706618564745037,854,851,887,883,504,491,997,997,203,199,375a28cd-Audio_SP16.png
42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,9770,9713,57,99.41658137154555,-2.1595425043770553,1.9092789319960388,-2.0682920313457593,3.218348830923643,2356,2343,2706,2700,1563,1536,2443,2442,702,692,42d56bbf-Audio_SP23.png
49ae7020-Audio_SP17,49ae7020-Audio_SP17,2377,2356,21,99.11653344551956,-2.2181782245098436,2.445539223122522,-3.100301860786031,3.2419111542960115,626,624,652,650,447,436,565,559,87,87,49ae7020-Audio_SP17.png
501e6487-Audio_SP19,501e6487-Audio_SP19,5259,5221,38,99.27742916904354,-2.8379037404765635,2.7857153814828126,-2.0711772107063666,4.141007510963972,1576,1558,1452,1452,718,709,1210,1208,303,294,501e6487-Audio_SP19.png
514fc6b6-Audio_SP19,514fc6b6-Audio_SP19,4227,4203,24,99.43222143364088,-2.222999436904937,2.3019479652133183,-2.0406354333270715,3.2947043883774514,1228,1221,1269,1266,698,687,831,831,201,198,514fc6b6-Audio_SP19.png
51a17262-Audio_SP18,51a17262-Audio_SP18,2738,2726,12,99.56172388604821,-2.0997789020553355,2.2043914281214665,-2.156129770331209,3.1972720976097913,727,719,835,835,429,425,637,637,110,110,51a17262-Audio_SP18.png
5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,1916,1903,13,99.32150313152401,-2.6503405962323114,2.0848314990402455,-2.424659878273581,3.7155961066527263,514,510,411,409,403,398,490,488,98,98,5278b5b9-Audio_SP15.png
5586979c-Audio_SP18,5586979c-Audio_SP18,4244,4206,38,99.10461828463714,-2.5095825678305834,2.4992937633052534,-2.764842349974886,3.3723288478952185,1250,1236,1221,1221,599,581,1061,1057,113,111,5586979c-Audio_SP18.png
5819ce7a-Audio_SP11,5819ce7a-Audio_SP11,3848,3834,14,99.63617463617463,-2.3545003707108565,2.3546094820308223,-2.2491152180172587,2.75554781841426,1150,1148,1090,1089,645,638,819,818,144,141,5819ce7a-Audio_SP11.png
5a932187-audio_SP16,5a932187-audio_SP16,3930,3905,25,99.36386768447836,-2.828637548264381,2.7640088654733983,-2.3185579104252767,3.2701798044195765,1165,1151,1041,1041,614,607,898,897,212,209,5a932187-audio_SP16.png
63239054-Audio_SP15,63239054-Audio_SP15,2628,2609,19,99.27701674277017,-2.200475232092148,2.884297261775229,-2.5951679985845053,3.085095796341117,729,724,646,645,335,327,822,821,96,92,63239054-Audio_SP15.png
713a2f9b-Audio_SP16,713a2f9b-Audio_SP16,3172,3149,23,99.27490542244641,-2.3526452201933146,2.9717064431945817,-2.480169805684017,4.203581715964702,826,819,785,785,515,504,873,871,173,170,713a2f9b-Audio_SP16.png
7a414497-Audio_SP15,7a414497-Audio_SP15,2137,2127,10,99.53205428170332,-2.456586011890665,2.5396152380418537,-2.2609084371682977,3.450074008444452,735,730,491,490,360,357,441,441,110,109,7a414497-Audio_SP15.png
7aee4437-Audio_SP12,7aee4437-Audio_SP12,1642,1635,7,99.57369062119366,-2.3856550695143723,2.518584922159515,-2.2578111043658144,3.610488750513996,506,504,428,428,293,290,302,301,113,112,7aee4437-Audio_SP12.png
7c3c98d2-Audio_SP13,7c3c98d2-Audio_SP13,4155,4137,18,99.5667870036101,-2.3066865009940902,2.6396485626797106,-1.9617354409291057,3.3020057676652854,1319,1315,1123,1120,728,720,827,826,158,156,7c3c98d2-Audio_SP13.png
7dec1dd7-Audio_SP13,7dec1dd7-Audio_SP13,2334,2318,16,99.31448157669237,-2.478691516878825,2.2852318285233166,-2.4165174522249955,3.080758676200242,757,754,569,568,349,340,527,527,132,129,7dec1dd7-Audio_SP13.png
7e277fda-Audio_SP28,7e277fda-Audio_SP28,3383,3348,35,98.96541531185339,-1.6870805892218008,2.404945586717913,-3.0154404704316535,3.100718366988034,905,902,897,894,598,579,804,802,179,171,7e277fda-Audio_SP28.png
85c7895f-Audio_SP16,85c7895f-Audio_SP16,5726,5700,26,99.54593084177436,-2.1129627961318493,2.2175819836571287,-1.840717443165619,2.591791721448945,1659,1656,1381,1379,1017,1000,1451,1450,218,215,85c7895f-Audio_SP16.png
919b9bc1-Audio_SP14,919b9bc1-Audio_SP14,2133,2123,10,99.53117674636663,-2.4848572049208193,2.7323745771013264,-2.2137615865373848,4.4598755639316625,504,499,589,589,367,362,561,561,112,112,919b9bc1-Audio_SP14.png
9a0c18cb-Audio_SP14,9a0c18cb-Audio_SP14,2033,2019,14,99.31136251844565,-1.9994415849067846,2.975524199263923,-2.3102959359667814,2.58086810205268,602,600,410,409,329,323,585,582,107,105,9a0c18cb-Audio_SP14.png
a1a056ce-Audio_SP11,a1a056ce-Audio_SP11,1617,1607,10,99.38157081014224,-2.227994318086587,2.2755239807005823,-2.1981505417427085,3.3459989305759104,469,464,487,486,266,263,355,355,40,39,a1a056ce-Audio_SP11.png
a452055c-Audio_SP11,a452055c-Audio_SP11,3839,3814,25,99.34878874706955,-2.0766244918212133,2.744880858100615,-2.288511665701412,2.8337875377672193,1184,1181,911,907,557,543,964,961,223,222,a452055c-Audio_SP11.png
adad0062-Audio_SP17,adad0062-Audio_SP17,3705,3686,19,99.48717948717949,-2.3735632749721027,2.3276804849186195,-2.5638850456616447,3.368479698832396,1143,1141,1029,1029,611,597,713,713,209,206,adad0062-Audio_SP17.png
c3533b36-Audio_SP16,c3533b36-Audio_SP16,1959,1954,5,99.74476773864217,-2.133054248640662,2.668485932458036,-2.376916418027755,3.0342478794649006,579,578,499,499,248,245,524,524,109,108,c3533b36-Audio_SP16.png
cafd9c21-Audio_SP27,cafd9c21-Audio_SP27,4907,4880,27,99.44976564092113,-2.3036467071019118,2.468336200399623,-2.49277092107752,2.8451617392592308,1563,1554,1306,1302,678,669,1154,1151,206,204,cafd9c21-Audio_SP27.png
d4c363bf-Audio_SP13,d4c363bf-Audio_SP13,3390,3360,30,99.11504424778761,-2.174490418828739,2.4578627155072925,-2.2548579660030907,3.5314150139445837,975,973,912,911,672,658,678,675,153,143,d4c363bf-Audio_SP13.png
dbeec025-Audio_SP13,dbeec025-Audio_SP13,2727,2708,19,99.3032636596993,-2.475276156336221,3.4251195264826766,-3.098517357286813,2.7800096308315267,900,893,709,709,372,361,595,595,151,150,dbeec025-Audio_SP13.png
e90f8e4d-Audio_SP22,e90f8e4d-Audio_SP22,2564,2548,16,99.37597503900156,-2.2707978922608305,2.398188425162827,-1.9674839315636763,5.256548804997971,694,694,626,625,439,427,670,670,135,132,e90f8e4d-Audio_SP22.png
f061152e-Audio_SP12,f061152e-Audio_SP12,2900,2888,12,99.58620689655173,-2.6088904643093462,2.3537893506054157,-2.112191124471834,3.5884429669772695,930,926,812,810,462,456,586,586,110,110,f061152e-Audio_SP12.png
fcd45f4d-Audio_SP21,fcd45f4d-Audio_SP21,2501,2483,18,99.28028788484606,-2.1539263150811014,2.7500103794430495,-2.8418186364062032,2.771827845067082,715,711,596,594,364,353,703,703,123,122,fcd45f4d-Audio_SP21.png
