speaker_id,audio_id,n_rows_total,n_target_vowel_rows,missing_vowels,low_count_vowels,has_all_five_vowels,n_a,n_e,n_i,n_o,n_u
061ea7d0-Audio_SP16,061ea7d0-Audio_SP16,3042,2903,,,True,818,756,478,714,137
0af9ac47-Audio_SP14,0af9ac47-Audio_SP14,3609,3466,,,True,988,1081,429,862,106
0e6115f2-Audio_SP19,0e6115f2-Audio_SP19,3653,3495,,,True,851,909,678,918,139
0f786745-Audio_SP20,0f786745-Audio_SP20,3821,3677,,,True,1175,881,555,843,223
12c532f8-Audio_SP15,12c532f8-Audio_SP15,3409,3342,,,True,1039,849,495,804,155
181d5ce9-Audio_SP21,181d5ce9-Audio_SP21,1757,1729,,,True,454,464,265,474,72
1c403477-Audio_SP13,1c403477-Audio_SP13,3483,3321,,,True,754,924,575,936,132
1d46eb6e-Audio_SP18,1d46eb6e-Audio_SP18,5153,4972,,,True,1460,1305,749,1191,267
2988c6fc-Audio_SP13,2988c6fc-Audio_SP13,2517,2406,,,True,729,604,458,524,91
2e25304d-Audio_SP12,2e25304d-Audio_SP12,1265,1234,,,True,405,319,179,264,67
30a90cb2-Audio_SP21,30a90cb2-Audio_SP21,3371,3151,,,True,806,823,638,777,107
3361ee02-Audio_SP10,3361ee02-Audio_SP10,2307,2233,,,True,575,589,445,504,120
34ad326e-Audio_SP7,34ad326e-Audio_SP7,1514,1458,,,True,475,385,217,322,59
375a28cd-Audio_SP16,375a28cd-Audio_SP16,3560,3445,,,True,854,887,504,997,203
42d56bbf-Audio_SP23,42d56bbf-Audio_SP23,10244,9770,,,True,2356,2706,1563,2443,702
49ae7020-Audio_SP17,49ae7020-Audio_SP17,2472,2377,,,True,626,652,447,565,87
501e6487-Audio_SP19,501e6487-Audio_SP19,5439,5259,,,True,1576,1452,718,1210,303
514fc6b6-Audio_SP19,514fc6b6-Audio_SP19,4355,4227,,,True,1228,1269,698,831,201
51a17262-Audio_SP18,51a17262-Audio_SP18,2817,2738,,,True,727,835,429,637,110
5278b5b9-Audio_SP15,5278b5b9-Audio_SP15,2037,1916,,,True,514,411,403,490,98
5586979c-Audio_SP18,5586979c-Audio_SP18,4385,4244,,,True,1250,1221,599,1061,113
5819ce7a-Audio_SP11,5819ce7a-Audio_SP11,4050,3848,,,True,1150,1090,645,819,144
5a932187-audio_SP16,5a932187-audio_SP16,4126,3930,,,True,1165,1041,614,898,212
63239054-Audio_SP15,63239054-Audio_SP15,2771,2628,,,True,729,646,335,822,96
713a2f9b-Audio_SP16,713a2f9b-Audio_SP16,3358,3172,,,True,826,785,515,873,173
7a414497-Audio_SP15,7a414497-Audio_SP15,2273,2137,,,True,735,491,360,441,110
7aee4437-Audio_SP12,7aee4437-Audio_SP12,1711,1642,,,True,506,428,293,302,113
7c3c98d2-Audio_SP13,7c3c98d2-Audio_SP13,4339,4155,,,True,1319,1123,728,827,158
7dec1dd7-Audio_SP13,7dec1dd7-Audio_SP13,2399,2334,,,True,757,569,349,527,132
7e277fda-Audio_SP28,7e277fda-Audio_SP28,3539,3383,,,True,905,897,598,804,179
85c7895f-Audio_SP16,85c7895f-Audio_SP16,5987,5726,,,True,1659,1381,1017,1451,218
919b9bc1-Audio_SP14,919b9bc1-Audio_SP14,2220,2133,,,True,504,589,367,561,112
9a0c18cb-Audio_SP14,9a0c18cb-Audio_SP14,2121,2033,,,True,602,410,329,585,107
a1a056ce-Audio_SP11,a1a056ce-Audio_SP11,1705,1617,,,True,469,487,266,355,40
a452055c-Audio_SP11,a452055c-Audio_SP11,3994,3839,,,True,1184,911,557,964,223
adad0062-Audio_SP17,adad0062-Audio_SP17,3893,3705,,,True,1143,1029,611,713,209
c3533b36-Audio_SP16,c3533b36-Audio_SP16,2024,1959,,,True,579,499,248,524,109
cafd9c21-Audio_SP27,cafd9c21-Audio_SP27,5198,4907,,,True,1563,1306,678,1154,206
d4c363bf-Audio_SP13,d4c363bf-Audio_SP13,3537,3390,,,True,975,912,672,678,153
dbeec025-Audio_SP13,dbeec025-Audio_SP13,2814,2727,,,True,900,709,372,595,151
e90f8e4d-Audio_SP22,e90f8e4d-Audio_SP22,2622,2564,,,True,694,626,439,670,135
f061152e-Audio_SP12,f061152e-Audio_SP12,3019,2900,,,True,930,812,462,586,110
fcd45f4d-Audio_SP21,fcd45f4d-Audio_SP21,2573,2501,,,True,715,596,364,703,123
