audio,vowel,n_points
061ea7d0-Audio_SP16,a,818
061ea7d0-Audio_SP16,e,756
061ea7d0-Audio_SP16,i,617
061ea7d0-Audio_SP16,o,714
061ea7d0-Audio_SP16,u,137
0af9ac47-Audio_SP14,a,988
0af9ac47-Audio_SP14,e,1081
0af9ac47-Audio_SP14,i,572
0af9ac47-Audio_SP14,o,862
0af9ac47-Audio_SP14,u,106
0e6115f2-Audio_SP19,a,851
0e6115f2-Audio_SP19,e,909
0e6115f2-Audio_SP19,i,836
0e6115f2-Audio_SP19,o,918
0e6115f2-Audio_SP19,u,139
0f786745-Audio_SP20,a,1175
0f786745-Audio_SP20,e,881
0f786745-Audio_SP20,i,699
0f786745-Audio_SP20,o,843
0f786745-Audio_SP20,u,223
12c532f8-Audio_SP15,a,1039
12c532f8-Audio_SP15,e,849
12c532f8-Audio_SP15,i,562
12c532f8-Audio_SP15,o,804
12c532f8-Audio_SP15,u,155
181d5ce9-Audio_SP21,a,454
181d5ce9-Audio_SP21,e,464
181d5ce9-Audio_SP21,i,293
181d5ce9-Audio_SP21,o,474
181d5ce9-Audio_SP21,u,72
1c403477-Audio_SP13,a,754
1c403477-Audio_SP13,e,924
1c403477-Audio_SP13,i,737
1c403477-Audio_SP13,o,936
1c403477-Audio_SP13,u,132
1d46eb6e-Audio_SP18,a,1460
1d46eb6e-Audio_SP18,e,1305
1d46eb6e-Audio_SP18,i,930
1d46eb6e-Audio_SP18,o,1191
1d46eb6e-Audio_SP18,u,267
2988c6fc-Audio_SP13,a,729
2988c6fc-Audio_SP13,e,604
2988c6fc-Audio_SP13,i,569
2988c6fc-Audio_SP13,o,524
2988c6fc-Audio_SP13,u,91
2e25304d-Audio_SP12,a,405
2e25304d-Audio_SP12,e,319
2e25304d-Audio_SP12,i,210
2e25304d-Audio_SP12,o,264
2e25304d-Audio_SP12,u,67
30a90cb2-Audio_SP21,a,806
30a90cb2-Audio_SP21,e,823
30a90cb2-Audio_SP21,i,858
30a90cb2-Audio_SP21,o,777
30a90cb2-Audio_SP21,u,107
3361ee02-Audio_SP10,a,575
3361ee02-Audio_SP10,e,589
3361ee02-Audio_SP10,i,519
3361ee02-Audio_SP10,o,504
3361ee02-Audio_SP10,u,120
34ad326e-Audio_SP7,a,475
34ad326e-Audio_SP7,e,385
34ad326e-Audio_SP7,i,273
34ad326e-Audio_SP7,o,322
34ad326e-Audio_SP7,u,59
375a28cd-Audio_SP16,a,854
375a28cd-Audio_SP16,e,887
375a28cd-Audio_SP16,i,619
375a28cd-Audio_SP16,o,997
375a28cd-Audio_SP16,u,203
42d56bbf-Audio_SP23,a,2356
42d56bbf-Audio_SP23,e,2706
42d56bbf-Audio_SP23,i,2037
42d56bbf-Audio_SP23,o,2443
42d56bbf-Audio_SP23,u,702
49ae7020-Audio_SP17,a,626
49ae7020-Audio_SP17,e,652
49ae7020-Audio_SP17,i,542
49ae7020-Audio_SP17,o,565
49ae7020-Audio_SP17,u,87
501e6487-Audio_SP19,a,1576
501e6487-Audio_SP19,e,1452
501e6487-Audio_SP19,i,898
501e6487-Audio_SP19,o,1210
501e6487-Audio_SP19,u,303
514fc6b6-Audio_SP19,a,1228
514fc6b6-Audio_SP19,e,1269
514fc6b6-Audio_SP19,i,826
514fc6b6-Audio_SP19,o,831
514fc6b6-Audio_SP19,u,201
51a17262-Audio_SP18,a,727
51a17262-Audio_SP18,e,835
51a17262-Audio_SP18,i,508
51a17262-Audio_SP18,o,637
51a17262-Audio_SP18,u,110
5278b5b9-Audio_SP15,a,514
5278b5b9-Audio_SP15,e,411
5278b5b9-Audio_SP15,i,524
5278b5b9-Audio_SP15,o,490
5278b5b9-Audio_SP15,u,98
5586979c-Audio_SP18,a,1250
5586979c-Audio_SP18,e,1221
5586979c-Audio_SP18,i,740
5586979c-Audio_SP18,o,1061
5586979c-Audio_SP18,u,113
5819ce7a-Audio_SP11,a,1150
5819ce7a-Audio_SP11,e,1090
5819ce7a-Audio_SP11,i,847
5819ce7a-Audio_SP11,o,819
5819ce7a-Audio_SP11,u,144
5a932187-audio_SP16,a,1165
5a932187-audio_SP16,e,1041
5a932187-audio_SP16,i,810
5a932187-audio_SP16,o,898
5a932187-audio_SP16,u,212
63239054-Audio_SP15,a,729
63239054-Audio_SP15,e,646
63239054-Audio_SP15,i,478
63239054-Audio_SP15,o,822
63239054-Audio_SP15,u,96
713a2f9b-Audio_SP16,a,826
713a2f9b-Audio_SP16,e,785
713a2f9b-Audio_SP16,i,701
713a2f9b-Audio_SP16,o,873
713a2f9b-Audio_SP16,u,173
7a414497-Audio_SP15,a,735
7a414497-Audio_SP15,e,491
7a414497-Audio_SP15,i,496
7a414497-Audio_SP15,o,441
7a414497-Audio_SP15,u,110
7aee4437-Audio_SP12,a,506
7aee4437-Audio_SP12,e,428
7aee4437-Audio_SP12,i,362
7aee4437-Audio_SP12,o,302
7aee4437-Audio_SP12,u,113
7c3c98d2-Audio_SP13,a,1319
7c3c98d2-Audio_SP13,e,1123
7c3c98d2-Audio_SP13,i,912
7c3c98d2-Audio_SP13,o,827
7c3c98d2-Audio_SP13,u,158
7dec1dd7-Audio_SP13,a,757
7dec1dd7-Audio_SP13,e,569
7dec1dd7-Audio_SP13,i,414
7dec1dd7-Audio_SP13,o,527
7dec1dd7-Audio_SP13,u,132
7e277fda-Audio_SP28,a,905
7e277fda-Audio_SP28,e,897
7e277fda-Audio_SP28,i,754
7e277fda-Audio_SP28,o,804
7e277fda-Audio_SP28,u,179
85c7895f-Audio_SP16,a,1659
85c7895f-Audio_SP16,e,1381
85c7895f-Audio_SP16,i,1278
85c7895f-Audio_SP16,o,1451
85c7895f-Audio_SP16,u,218
919b9bc1-Audio_SP14,a,504
919b9bc1-Audio_SP14,e,589
919b9bc1-Audio_SP14,i,454
919b9bc1-Audio_SP14,o,561
919b9bc1-Audio_SP14,u,112
9a0c18cb-Audio_SP14,a,602
9a0c18cb-Audio_SP14,e,410
9a0c18cb-Audio_SP14,i,417
9a0c18cb-Audio_SP14,o,585
9a0c18cb-Audio_SP14,u,107
a1a056ce-Audio_SP11,a,469
a1a056ce-Audio_SP11,e,487
a1a056ce-Audio_SP11,i,354
a1a056ce-Audio_SP11,o,355
a1a056ce-Audio_SP11,u,40
a452055c-Audio_SP11,a,1184
a452055c-Audio_SP11,e,911
a452055c-Audio_SP11,i,712
a452055c-Audio_SP11,o,964
a452055c-Audio_SP11,u,223
adad0062-Audio_SP17,a,1143
adad0062-Audio_SP17,e,1029
adad0062-Audio_SP17,i,799
adad0062-Audio_SP17,o,713
adad0062-Audio_SP17,u,209
c3533b36-Audio_SP16,a,579
c3533b36-Audio_SP16,e,499
c3533b36-Audio_SP16,i,313
c3533b36-Audio_SP16,o,524
c3533b36-Audio_SP16,u,109
cafd9c21-Audio_SP27,a,1563
cafd9c21-Audio_SP27,e,1306
cafd9c21-Audio_SP27,i,969
cafd9c21-Audio_SP27,o,1154
cafd9c21-Audio_SP27,u,206
d4c363bf-Audio_SP13,a,975
d4c363bf-Audio_SP13,e,912
d4c363bf-Audio_SP13,i,819
d4c363bf-Audio_SP13,o,678
d4c363bf-Audio_SP13,u,153
dbeec025-Audio_SP13,a,900
dbeec025-Audio_SP13,e,709
dbeec025-Audio_SP13,i,459
dbeec025-Audio_SP13,o,595
dbeec025-Audio_SP13,u,151
e90f8e4d-Audio_SP22,a,694
e90f8e4d-Audio_SP22,e,626
e90f8e4d-Audio_SP22,i,497
e90f8e4d-Audio_SP22,o,670
e90f8e4d-Audio_SP22,u,135
f061152e-Audio_SP12,a,930
f061152e-Audio_SP12,e,812
f061152e-Audio_SP12,i,581
f061152e-Audio_SP12,o,586
f061152e-Audio_SP12,u,110
fcd45f4d-Audio_SP21,a,715
fcd45f4d-Audio_SP21,e,596
fcd45f4d-Audio_SP21,i,436
fcd45f4d-Audio_SP21,o,703
fcd45f4d-Audio_SP21,u,123
