audio,vowel,n_points,f1_median,f2_median,f1_mean,f2_mean
061ea7d0-Audio_SP16,a,818,695.3452846310845,1555.298443972616,690.4777681695041,1570.2459403917092
0af9ac47-Audio_SP14,a,988,701.0597997834732,1539.8764967645131,700.578830811424,1543.9384577718376
0e6115f2-Audio_SP19,a,851,596.9263783901112,1554.3510167822085,608.7157390964645,1565.90490868761
0f786745-Audio_SP20,a,1175,608.8561310113683,775.9764613627284,610.6560963942061,840.9271872444269
12c532f8-Audio_SP15,a,1039,622.3425917699177,1522.9714571901743,634.3637253807381,1503.8837968795656
181d5ce9-Audio_SP21,a,454,610.0511714300974,1479.1817640776362,615.470727848535,1486.7683650295894
1c403477-Audio_SP13,a,754,624.5390580996439,1511.04873815674,633.0577884176631,1515.71861892633
1d46eb6e-Audio_SP18,a,1460,703.790948089287,1569.0515675990007,712.0498383398955,1582.010871966973
2988c6fc-Audio_SP13,a,729,690.5252133772518,1488.1762709674306,693.4625568708799,1523.3170937588832
2e25304d-Audio_SP12,a,405,776.7194812281965,1633.8902014854257,795.3445119719446,1643.5539644593503
30a90cb2-Audio_SP21,a,806,567.0282762535832,1440.1939169255425,564.4879011007945,1415.8936556786857
3361ee02-Audio_SP10,a,575,583.8434900092685,1389.2331405660502,591.8900565008528,1381.3423699075436
34ad326e-Audio_SP7,a,475,691.2749788041349,1355.3207697026517,682.7196124163944,1367.2918353710345
375a28cd-Audio_SP16,a,854,537.4263107586132,1231.699427168906,536.2498986111231,1336.5198361405885
42d56bbf-Audio_SP23,a,2356,575.3709335561932,1441.6197917941886,562.7996085807914,1443.473747627
49ae7020-Audio_SP17,a,626,659.8446743090141,1539.480883859387,666.0290182687493,1542.8645242818507
501e6487-Audio_SP19,a,1576,544.0426584768383,1457.1923311733067,546.6283199321839,1444.9331204924479
514fc6b6-Audio_SP19,a,1228,787.0688197287611,1683.4332713401059,786.4303493560238,1636.2488150584984
51a17262-Audio_SP18,a,727,718.7786961345718,1777.5164300981637,698.3279230935628,1646.9788704297014
5278b5b9-Audio_SP15,a,514,496.29711589397755,1508.2060263176397,499.1930642801437,1532.7325215067203
5586979c-Audio_SP18,a,1250,633.5785353020991,1552.8577772068884,639.5258969411647,1556.2407651835629
5819ce7a-Audio_SP11,a,1150,771.6711803254477,1687.1173834653844,768.1460881578532,1679.119802768842
5a932187-audio_SP16,a,1165,734.4541565925302,1660.239864222974,744.4936616751847,1653.3039313118381
63239054-Audio_SP15,a,729,622.6394355733177,1386.1024937143347,629.2203888450974,1409.9004998160287
713a2f9b-Audio_SP16,a,826,560.8757074124037,1443.6567551124635,565.0594729978934,1461.1120874401597
7a414497-Audio_SP15,a,735,685.6385394874496,1486.3521655311802,704.710105217257,1500.0097048531488
7aee4437-Audio_SP12,a,506,769.5168801046079,1545.0443307531536,800.2834136533162,1559.1939184974924
7c3c98d2-Audio_SP13,a,1319,844.92294211866,1650.1699266796115,850.1385642345675,1677.191657363701
7dec1dd7-Audio_SP13,a,757,658.4498834763972,1515.4812393365437,654.3444907273077,1513.664541646442
7e277fda-Audio_SP28,a,905,641.92737991814,992.208782114192,648.1350903216598,1101.6432921935982
85c7895f-Audio_SP16,a,1659,677.4185442188599,1478.9971261325522,667.3436228535938,1487.141586532887
919b9bc1-Audio_SP14,a,504,623.374477553683,1560.3784097753405,664.1623208579828,1537.746123155814
9a0c18cb-Audio_SP14,a,602,632.9849018971888,1379.0642900853213,622.3769188384535,1401.2825643125007
a1a056ce-Audio_SP11,a,469,635.5771682307528,1731.3955387472738,641.0684411900795,1555.399116664855
a452055c-Audio_SP11,a,1184,617.7155009899809,1378.643673812656,618.429966593279,1394.7091671757835
adad0062-Audio_SP17,a,1143,609.5767928202173,1428.624782600808,616.42539308625,1434.3743620814453
c3533b36-Audio_SP16,a,579,670.2105464888284,1411.4937552547565,671.8460989714464,1413.8722088775444
cafd9c21-Audio_SP27,a,1563,642.3955865014308,1405.5773531437248,644.5380956777858,1415.2623899230791
d4c363bf-Audio_SP13,a,975,651.215682359504,1663.2547449494248,660.400891902144,1670.3856364159844
dbeec025-Audio_SP13,a,900,647.9755167203483,1378.875299896733,654.5694041422769,1389.5735785854786
e90f8e4d-Audio_SP22,a,694,646.9277101755727,1469.226023658125,653.8743681159136,1477.0807468695652
f061152e-Audio_SP12,a,930,817.670470392077,1708.0188908035211,853.5089721437098,1686.8775084818167
fcd45f4d-Audio_SP21,a,715,568.489910131493,1341.6729895552846,570.6553316303587,1360.155170180479
061ea7d0-Audio_SP16,e,756,512.2325432020702,1899.5119713101822,514.4726350109269,1906.4841114444766
0af9ac47-Audio_SP14,e,1081,560.2639359192885,1900.8711909960768,563.6075354400077,1887.3984407224227
0e6115f2-Audio_SP19,e,909,442.384582697831,1927.607964265924,446.6758576103032,1926.6922732988392
0f786745-Audio_SP20,e,881,501.73360519570485,1918.3021194578173,506.3710787290556,1942.2583730224267
12c532f8-Audio_SP15,e,849,436.1538251582683,1912.862381987955,441.9852809006189,1895.9001034840155
181d5ce9-Audio_SP21,e,464,458.876091166838,1811.3348776266412,456.5670077665789,1813.7750857120836
1c403477-Audio_SP13,e,924,458.0793444144157,1869.7016316834452,464.1074000067176,1866.1901228047805
1d46eb6e-Audio_SP18,e,1305,490.300825558849,2070.4044087322627,494.50340663221687,2045.7548146993704
2988c6fc-Audio_SP13,e,604,481.3558021554612,2022.4070270386583,488.7792475408258,2002.6303783414232
2e25304d-Audio_SP12,e,319,575.1272060507195,1986.8609173036496,585.4461606863258,1987.5569236621861
30a90cb2-Audio_SP21,e,823,460.8073887212599,1841.449016769686,463.5715863175774,1887.1320050961413
3361ee02-Audio_SP10,e,589,441.9034911383739,1639.4236439612512,447.1173375656535,1637.2420574326502
34ad326e-Audio_SP7,e,385,440.8082939698892,1683.6885382323585,473.30115016685835,1704.694389653116
375a28cd-Audio_SP16,e,887,439.3384316889497,2198.891652626688,441.88172983747256,2123.3575511554277
42d56bbf-Audio_SP23,e,2706,391.443752732736,1971.9312223859063,394.70767234133206,1961.5552967485826
49ae7020-Audio_SP17,e,652,549.8002336625806,1945.9531979114104,557.2630503078749,1944.7165789594992
501e6487-Audio_SP19,e,1452,406.0862720062988,1733.3190307229575,403.8734358537971,1730.813885015359
514fc6b6-Audio_SP19,e,1269,569.5252795531554,2208.673887283487,577.7040422564468,2217.0746835218197
51a17262-Audio_SP18,e,835,512.2561462495378,2072.0085852707325,522.9719267518254,2142.8969017094964
5278b5b9-Audio_SP15,e,411,387.8139001765837,1946.9746455712268,389.13836105778375,1940.0062371810648
5586979c-Audio_SP18,e,1221,478.26414822172114,1860.340573153164,479.15739108972883,1871.348953072819
5819ce7a-Audio_SP11,e,1090,518.7199089563904,2103.301331840108,535.283494744901,2099.386883011148
5a932187-audio_SP16,e,1041,539.7023906022721,1822.2011038079715,545.1055889061902,1845.1590673948035
63239054-Audio_SP15,e,646,468.40901741239645,1800.8054064492533,473.2471192338826,1821.9652386454013
713a2f9b-Audio_SP16,e,785,419.822377144979,1787.668882688415,418.98400481230107,1781.7461349877592
7a414497-Audio_SP15,e,491,523.7365748651381,1828.3129029912743,527.2320872126163,1837.2399708687192
7aee4437-Audio_SP12,e,428,520.6957793353644,1931.0980524556635,529.491589397513,1964.7070348127882
7c3c98d2-Audio_SP13,e,1123,502.7022725570995,2006.675369240936,543.1827752877701,2047.5047398274141
7dec1dd7-Audio_SP13,e,569,447.7030326919797,1841.990740783444,454.8767219412096,1843.0496974082935
7e277fda-Audio_SP28,e,897,534.8177036439233,1974.2373095128603,544.9009164752301,1946.5063640404235
85c7895f-Audio_SP16,e,1381,412.9333796610936,1976.906292666752,421.01705480684757,1945.7032424695747
919b9bc1-Audio_SP14,e,589,451.2098133479648,1893.2523338322085,452.61632295605654,1896.3296048463087
9a0c18cb-Audio_SP14,e,410,443.82402778536857,1849.8259675000013,446.79956989358243,1884.6613469300034
a1a056ce-Audio_SP11,e,487,504.25605692217874,2175.3810787259995,513.8034417495559,2187.3908102216155
a452055c-Audio_SP11,e,911,446.6448153767228,1755.6687164935213,450.5537614345084,1757.778519364278
adad0062-Audio_SP17,e,1029,486.4616234101477,1854.5483191140609,490.5589606754613,1863.1376225317692
c3533b36-Audio_SP16,e,499,477.07973814648005,1808.3731986377,484.23087173353235,1828.1253056087307
cafd9c21-Audio_SP27,e,1306,502.513951679901,1735.529333990842,506.4489172950021,1738.5986665499377
d4c363bf-Audio_SP13,e,912,480.5955753876815,2113.2117007589677,480.6424932549418,2075.9591612651916
dbeec025-Audio_SP13,e,709,557.8579520393638,1668.941175297129,562.6455437903777,1684.7361615122488
e90f8e4d-Audio_SP22,e,626,476.3367008471332,1965.6718614740778,483.0152921162862,1995.2733096317068
f061152e-Audio_SP12,e,812,584.8135835661226,1907.247958975861,601.2877991263712,1979.3908746098564
fcd45f4d-Audio_SP21,e,596,456.6498201487687,1807.5104452040891,458.1683062021858,1793.0854620102655
061ea7d0-Audio_SP16,i,617,414.9667912135186,2165.304763769491,432.3852265736389,2145.7311567272786
0af9ac47-Audio_SP14,i,572,430.770601933547,2076.1852948610826,474.7803720361267,2010.5370174727436
0e6115f2-Audio_SP19,i,836,361.9798692756276,2242.710787993946,377.1182303126202,2213.865379332909
0f786745-Audio_SP20,i,699,368.6180245235911,2176.7885625017234,397.606601030285,2177.5954908176886
12c532f8-Audio_SP15,i,562,342.33805972940934,2128.8003494464783,363.24389328236003,2095.2361659591056
181d5ce9-Audio_SP21,i,293,348.7632974620207,2026.306804261761,379.4557536588046,2002.0218113721592
1c403477-Audio_SP13,i,737,372.8142985129683,2127.747631671456,383.6264160246001,2128.4746764149095
1d46eb6e-Audio_SP18,i,930,389.8127923134527,2328.1856304511066,409.1987793076749,2318.134439486528
2988c6fc-Audio_SP13,i,569,350.5740576324679,2311.6932727965145,379.2797613602972,2277.1097929572484
2e25304d-Audio_SP12,i,210,420.8222314108283,2393.8021657035506,449.83670630161595,2358.865609257411
30a90cb2-Audio_SP21,i,858,391.0269216835491,2166.766835377606,418.0329379441604,2204.386946978858
3361ee02-Audio_SP10,i,519,327.4631769980781,1808.6533619470224,354.68526619700486,1815.3346803911247
34ad326e-Audio_SP7,i,273,324.244216862576,2081.603492279575,390.45817944971935,2023.9456857810148
375a28cd-Audio_SP16,i,619,360.7315539799458,2076.099723923443,382.1479598497529,2074.001907529718
42d56bbf-Audio_SP23,i,2037,300.0523742218971,2191.908520672724,307.91095059547445,2144.7171886359906
49ae7020-Audio_SP17,i,542,463.75142794290156,2350.297638223938,476.2555662909518,2340.6022619622418
501e6487-Audio_SP19,i,898,315.1124023829682,1940.5327565557218,318.5667735715332,1939.9576482988086
514fc6b6-Audio_SP19,i,826,469.5691193409915,2664.288483301759,487.6220474847052,2554.658290988269
51a17262-Audio_SP18,i,508,408.5976290047712,2805.0985379376166,418.9420132994233,2663.2695139206735
5278b5b9-Audio_SP15,i,524,333.0615261311883,2224.3657610516575,335.20666217608806,2188.4780920828516
5586979c-Audio_SP18,i,740,393.4612178596391,2113.5879467357718,400.3417679688651,2112.178723858015
5819ce7a-Audio_SP11,i,847,398.26607118562384,2366.687870232576,409.33365099263943,2355.2711319743744
5a932187-audio_SP16,i,810,386.6279313707991,2121.1818220481823,394.66492096051684,2122.715863627614
63239054-Audio_SP15,i,478,377.5544605670518,2016.9372894138091,381.42233427028776,2013.4887566603581
713a2f9b-Audio_SP16,i,701,327.0105516191462,2048.6550889617192,339.6114682191761,2072.711520152672
7a414497-Audio_SP15,i,496,368.4185680847525,2148.479074393479,398.4501903776773,2109.497378049303
7aee4437-Audio_SP12,i,362,427.7558827361903,2251.286759008278,438.7133187520481,2185.4637455081165
7c3c98d2-Audio_SP13,i,912,340.93978333551024,2520.5944182568473,384.5298493003543,2447.083099325093
7dec1dd7-Audio_SP13,i,414,362.710226230876,2085.7642427103183,392.2905942299933,2053.2529462514253
7e277fda-Audio_SP28,i,754,409.4093360874458,2212.00755826398,429.80848005184004,2204.3431033021584
85c7895f-Audio_SP16,i,1278,336.2113683691624,2117.0372489725896,354.7835655540306,2077.7373326122192
919b9bc1-Audio_SP14,i,454,329.03184554219786,2188.6374517540935,355.7679672106113,2182.379773052078
9a0c18cb-Audio_SP14,i,417,305.2818775997876,2020.921369510473,333.2479460993075,2053.5414004112054
a1a056ce-Audio_SP11,i,354,432.16265944905007,2513.0205942955904,443.69771024805925,2504.4580870423965
a452055c-Audio_SP11,i,712,350.1009875471542,2024.1236916583457,369.5418045998798,2020.9274929169496
adad0062-Audio_SP17,i,799,404.06514869413246,2070.575701064853,423.7597132620598,2041.5613415081275
c3533b36-Audio_SP16,i,313,354.2790248296264,2042.3147727038,369.23608743211656,2059.5910611422078
cafd9c21-Audio_SP27,i,969,391.29739987478393,1960.4317996553264,398.83585791203143,1957.0292403927588
d4c363bf-Audio_SP13,i,819,403.499217920337,2502.554278927994,414.28744902667955,2479.315536908473
dbeec025-Audio_SP13,i,459,421.22242201447006,1980.126667758952,431.50840844097274,1984.0472799874267
e90f8e4d-Audio_SP22,i,497,363.10855012588496,2311.7145530598577,426.55087524545416,2289.2335836370326
f061152e-Audio_SP12,i,581,481.4955661090145,2411.643823070924,518.0894014446561,2293.1808779436583
fcd45f4d-Audio_SP21,i,436,376.56710038081,1990.3813990246827,379.4820572185179,2039.4799635448942
061ea7d0-Audio_SP16,o,714,529.2476879146652,1077.7578147473548,535.6580090342944,1103.6673829820334
0af9ac47-Audio_SP14,o,862,601.7086366057465,1186.8986769957319,603.2233024930111,1195.0637710046005
0e6115f2-Audio_SP19,o,918,466.2474762760978,1169.4068830621834,465.1573064840306,1138.3227948181293
0f786745-Audio_SP20,o,843,503.8187965157098,935.7038259934844,507.93624790278125,939.9376048665581
12c532f8-Audio_SP15,o,804,492.35126714639387,1104.242746902523,494.79734304445265,1110.4108311054674
181d5ce9-Audio_SP21,o,474,489.0580274897175,1122.2347360473661,482.0807029865803,1140.9273120734567
1c403477-Audio_SP13,o,936,478.58031892828274,1103.082825791932,480.2811609660585,1097.6601855182425
1d46eb6e-Audio_SP18,o,1191,510.3566313335526,1100.1029949146955,519.7461770838728,1114.271763730837
2988c6fc-Audio_SP13,o,524,501.77046003017966,1030.6250940465006,509.71545283774344,1055.3007849219284
2e25304d-Audio_SP12,o,264,646.2882278337952,1268.773412814112,652.7901409933708,1320.1438986278276
30a90cb2-Audio_SP21,o,777,478.912376944758,1188.5677336381789,473.48511921786786,1112.7842269475784
3361ee02-Audio_SP10,o,504,475.1720362798924,1116.1011052006993,480.71373241641976,1152.095528679225
34ad326e-Audio_SP7,o,322,523.181136763697,1115.2216878827894,521.8431005865675,1055.7662627615648
375a28cd-Audio_SP16,o,997,468.64214901538577,985.8158179755766,468.2451264228405,1006.5516882504492
42d56bbf-Audio_SP23,o,2443,397.6124858481869,963.3294256862428,399.07409809796025,990.3592953524052
49ae7020-Audio_SP17,o,565,571.463190162369,1138.8638080084982,575.9405673824724,1146.2704138149609
501e6487-Audio_SP19,o,1210,417.62918961509934,1156.2871557735175,414.54865627956184,1153.1489302754633
514fc6b6-Audio_SP19,o,831,585.6740601809934,1191.0330761731277,593.0762257918582,1192.8605680143269
51a17262-Audio_SP18,o,637,498.52475526709503,1007.7391877290588,492.5811286037965,1031.1818300366479
5278b5b9-Audio_SP15,o,490,416.7302761578784,1185.4477293377597,416.52536467917326,1192.6655157745397
5586979c-Audio_SP18,o,1061,505.3922517455434,1149.1790294959792,510.13051399418293,1170.684210812217
5819ce7a-Audio_SP11,o,819,541.2232803672385,1118.542887240905,560.2361211740481,1180.037249542324
5a932187-audio_SP16,o,898,572.5852856468946,1378.2347048952006,576.315496823059,1321.6859557980124
63239054-Audio_SP15,o,822,514.9711017645832,1094.4855307134071,520.0992497116183,1101.0017757119313
713a2f9b-Audio_SP16,o,873,446.9568007176956,1089.4097384888985,443.11850550935367,1107.722294945034
7a414497-Audio_SP15,o,441,539.291399142744,1139.8428795610912,545.9307604749097,1138.8237447380739
7aee4437-Audio_SP12,o,302,518.646572223963,1188.7982337180174,525.0291507114188,1206.646331956492
7c3c98d2-Audio_SP13,o,827,629.2976685259247,1348.2862424776984,649.7673837161943,1364.1223324636753
7dec1dd7-Audio_SP13,o,527,509.93664766640825,1159.299860823991,520.1939332242943,1156.4344984918835
7e277fda-Audio_SP28,o,804,518.0803010582499,1003.2869642161942,520.4183795590529,1005.5595955706973
85c7895f-Audio_SP16,o,1451,451.2528596696057,972.119783228264,463.42670830294753,1014.091677736986
919b9bc1-Audio_SP14,o,561,498.5552797104741,1113.0031342948498,496.86941414569617,1116.1795548844086
9a0c18cb-Audio_SP14,o,585,487.5286412498596,968.6708890490952,485.28504894335333,980.7981211183893
a1a056ce-Audio_SP11,o,355,510.5079911853401,1104.809299783717,513.5983838002767,1153.3761661083195
a452055c-Audio_SP11,o,964,437.6527304457022,995.370611612758,443.357890629474,995.7480886525642
adad0062-Audio_SP17,o,713,505.16989770063896,1028.9719074410073,506.41448863031087,1063.401741636466
c3533b36-Audio_SP16,o,524,496.16635080316235,1018.4254245628081,507.74456208838825,1034.284108543141
cafd9c21-Audio_SP27,o,1154,519.7949528657623,1054.3292024346126,524.1471683882396,1094.332532539928
d4c363bf-Audio_SP13,o,678,495.0803713459371,1125.3837612144334,491.8827581347433,1207.9446313404678
dbeec025-Audio_SP13,o,595,572.2418618768222,1096.950758472241,572.9378009340176,1099.4620185146935
e90f8e4d-Audio_SP22,o,670,485.97197882160714,1007.2312930569357,490.77667116749774,997.8504171796504
f061152e-Audio_SP12,o,586,586.0877437534923,1246.511283743924,588.4656227185875,1227.3076554320608
fcd45f4d-Audio_SP21,o,703,478.5544978352185,982.2333116962157,482.57686255129676,991.3928807274435
061ea7d0-Audio_SP16,u,137,463.396465367674,919.3433210048148,466.49373469440116,1002.6426601218989
0af9ac47-Audio_SP14,u,106,484.65174249209815,1057.714179375334,516.1536566388143,1138.428211728437
0e6115f2-Audio_SP19,u,139,403.1577607606431,982.3435833373592,422.8978769601841,1110.705866603519
0f786745-Audio_SP20,u,223,392.6738190139528,819.2969870574867,412.5047123837482,855.382968691957
12c532f8-Audio_SP15,u,155,424.9503410050058,906.9393148913596,429.9540897599454,955.7758544917742
181d5ce9-Audio_SP21,u,72,362.0744260890253,928.3703287687084,385.6779487662475,997.3190056914526
1c403477-Audio_SP13,u,132,409.09539396493267,951.4957379444772,414.3744879108817,970.9528459243883
1d46eb6e-Audio_SP18,u,267,429.3830480766045,891.974585002455,446.8859072823606,953.3522456174746
