audio,vowel,n_points,f1_median,f2_median,f1_mean,f2_mean
061ea7d0-Audio_SP16,a,469,690.3908462632404,1584.603987697576,690.2469659926815,1594.000542477355
0af9ac47-Audio_SP14,a,473,699.4953012432958,1544.2451163163812,700.0495822090685,1558.0186206594944
0e6115f2-Audio_SP19,a,433,594.2093492417114,1547.1874128071424,606.9581571424841,1554.645340755265
0f786745-Audio_SP20,a,650,605.1614992369165,777.7502998935499,605.768236458438,828.4754098939354
12c532f8-Audio_SP15,a,524,613.8707573410754,1551.934100592321,629.1306060276821,1526.5695381329092
181d5ce9-Audio_SP21,a,245,615.3443196932155,1460.590467693679,622.4436926646083,1496.9577898301752
1c403477-Audio_SP13,a,415,629.8799433149526,1517.123754484976,637.4110464252957,1521.3805633551294
1d46eb6e-Audio_SP18,a,704,703.9849331813509,1562.780658328248,712.7196056112826,1576.6255977503604
2988c6fc-Audio_SP13,a,355,678.0539093606634,1467.1730141425342,680.7767336650929,1484.542896537123
2e25304d-Audio_SP12,a,244,774.6228706587899,1656.4453398945584,791.1388243897753,1656.780103570891
30a90cb2-Audio_SP21,a,452,559.2843436023076,1429.4916777026833,556.8166318818605,1422.3187575830314
3361ee02-Audio_SP10,a,321,585.0386589279836,1434.882010384387,590.2972518471884,1409.0879836958484
34ad326e-Audio_SP7,a,244,693.8519371019322,1363.106491910009,678.6798732002052,1381.6087749686417
375a28cd-Audio_SP16,a,432,538.690023218262,1260.582964467063,535.9508643185408,1384.1984371727
42d56bbf-Audio_SP23,a,1260,568.5656379849188,1451.105351174862,553.3107236899458,1444.7857872181387
49ae7020-Audio_SP17,a,357,663.2862403645773,1535.4619727903396,664.6969420765577,1537.1085994385894
501e6487-Audio_SP19,a,869,542.9120133617827,1462.1219210067654,548.2404728763668,1448.8028296740752
514fc6b6-Audio_SP19,a,653,803.888282993299,1630.299462548944,802.6992524928878,1601.802885843166
51a17262-Audio_SP18,a,378,730.5324572882237,1735.524426792248,696.7710700234946,1580.1861713757496
5278b5b9-Audio_SP15,a,279,496.19703602198575,1512.8954699380915,500.83921096634975,1548.014528872455
5586979c-Audio_SP18,a,739,638.7758021417364,1568.1318234555308,642.3936181863263,1569.7008925879347
5819ce7a-Audio_SP11,a,634,774.0444368329045,1702.5721570788314,770.6933475447149,1686.8738816458008
5a932187-audio_SP16,a,598,733.7039417077597,1662.5501399931213,745.0304975329904,1658.2138071171164
63239054-Audio_SP15,a,400,628.8269732994991,1386.7690150799926,627.4986339096275,1408.7104713139408
713a2f9b-Audio_SP16,a,419,552.0951303217358,1446.162079022159,555.939564277691,1467.8024219294273
7a414497-Audio_SP15,a,495,681.547699122403,1493.2403658790638,700.9058522388594,1513.07678046511
7aee4437-Audio_SP12,a,218,745.9729412309107,1573.2418222621905,791.9659354970183,1573.0102083131083
7c3c98d2-Audio_SP13,a,688,844.4741485541815,1648.7518805661252,855.7464709874665,1674.0672515884298
7dec1dd7-Audio_SP13,a,393,660.5608833076259,1516.272947628598,658.2139121559302,1514.985692706423
7e277fda-Audio_SP28,a,518,644.7887773968775,985.6728924312185,650.758602611189,1103.7931327386593
85c7895f-Audio_SP16,a,893,677.0295486579109,1487.660769857532,667.0229470400562,1487.4911439904931
919b9bc1-Audio_SP14,a,239,622.1032806224778,1566.050677752649,663.1530709819979,1543.605180368972
9a0c18cb-Audio_SP14,a,322,616.9095851473355,1391.9664360926008,609.9745882784133,1413.122590147399
a1a056ce-Audio_SP11,a,225,607.7729226189641,1658.9217357323714,623.4418893130149,1510.0994983485116
a452055c-Audio_SP11,a,639,616.7339676300069,1379.545369334077,618.9876730582669,1395.334620582197
adad0062-Audio_SP17,a,670,611.7256779597586,1420.93814532542,619.7037582235146,1431.0383442270881
c3533b36-Audio_SP16,a,313,675.5306200431921,1415.0923046824896,672.9149888562582,1422.7444726750402
cafd9c21-Audio_SP27,a,747,631.1041269310274,1391.6258168980485,632.5249453695963,1405.8479949186376
d4c363bf-Audio_SP13,a,476,627.6974911346413,1669.0466587537985,643.2886942682037,1678.6223689092492
dbeec025-Audio_SP13,a,462,643.6126264583415,1364.9111870905126,649.7752350994276,1382.9555849051033
e90f8e4d-Audio_SP22,a,392,636.9397647981386,1482.9034687056017,643.2049080239527,1492.6996912548339
f061152e-Audio_SP12,a,441,811.3786982431734,1722.1779657967652,840.0295072771562,1699.2391128189481
fcd45f4d-Audio_SP21,a,466,564.5684433403844,1356.5139867152939,567.3191288002486,1368.3082759469953
061ea7d0-Audio_SP16,e,426,507.4162802737448,1930.808382590595,510.8251085800746,1932.0210310534442
0af9ac47-Audio_SP14,e,553,553.0900492754795,1894.3218453071704,555.779373929449,1888.7743652999836
0e6115f2-Audio_SP19,e,459,444.1724998229144,1917.6036618878911,449.0631836883467,1923.0652421067216
0f786745-Audio_SP20,e,501,502.46893294674607,1920.851344498668,505.62086293414654,1945.6858453394314
12c532f8-Audio_SP15,e,432,431.6471192593867,1917.4270943761335,438.99295074847,1898.724007827275
181d5ce9-Audio_SP21,e,229,471.2276792504286,1855.938771890504,472.9079619088616,1842.7237393962916
1c403477-Audio_SP13,e,531,459.9498334676702,1878.9847733330453,467.12523510520685,1873.0236400413362
1d46eb6e-Audio_SP18,e,603,487.8293571685406,2067.65077678075,493.0051024483677,2039.8906534507155
2988c6fc-Audio_SP13,e,307,481.3418243041245,1985.1909866974,487.2060498164809,1969.1192681649563
2e25304d-Audio_SP12,e,204,583.2884807439616,1955.263508529473,590.2584443085765,1979.1990134222485
30a90cb2-Audio_SP21,e,455,457.90117314220674,1835.1182343782048,460.04404053660346,1876.424090274749
3361ee02-Audio_SP10,e,324,442.02383015722796,1653.9855438174723,447.5675990324074,1647.289760702406
34ad326e-Audio_SP7,e,202,444.7561622270948,1686.7198369751245,473.566384672518,1708.9370351088505
375a28cd-Audio_SP16,e,472,430.7210347592677,2144.6250093558733,438.39323470279703,2080.192218597686
42d56bbf-Audio_SP23,e,1376,388.6431386449349,1971.9312223859063,391.28251936670165,1965.6119979929117
49ae7020-Audio_SP17,e,363,550.3866851062897,1944.579468134808,558.3487798508575,1939.6173180006454
501e6487-Audio_SP19,e,818,412.0218455108603,1732.0809470721103,409.3989865969329,1729.0283152762293
514fc6b6-Audio_SP19,e,622,584.5018848406846,2264.9262397749053,591.4833600151637,2241.560239336791
51a17262-Audio_SP18,e,409,534.1626853499852,2134.8059512561613,545.4796935504605,2195.003783756265
5278b5b9-Audio_SP15,e,247,387.8139001765837,1955.093147133589,389.2866550560306,1951.0809888601113
5586979c-Audio_SP18,e,697,473.26591982608016,1870.134694626343,474.28266783258493,1880.38129823768
5819ce7a-Audio_SP11,e,593,520.2964412547519,2100.9117539711247,536.6579438165522,2091.2754820790897
5a932187-audio_SP16,e,560,549.1815994320502,1822.394794171004,553.5393652252835,1845.2067162052374
63239054-Audio_SP15,e,359,465.7253608214341,1807.0753822081551,473.37676170274966,1834.7786446816017
713a2f9b-Audio_SP16,e,458,415.51913071388924,1789.838914650853,412.1065478190954,1781.0373029202437
7a414497-Audio_SP15,e,334,518.4089430982385,1831.1958249242605,522.2427553009359,1843.7031944813375
7aee4437-Audio_SP12,e,198,517.0034934824527,1929.1501910415523,527.5403244274196,1951.79134609878
7c3c98d2-Audio_SP13,e,521,503.8855054041724,2014.058296381972,553.9445066332521,2052.586624539595
7dec1dd7-Audio_SP13,e,302,448.944851173384,1846.9349685296625,454.1073913828449,1848.7991679670654
7e277fda-Audio_SP28,e,483,535.0394571876477,1978.8913136885585,544.2422413963246,1953.8723690404533
85c7895f-Audio_SP16,e,752,406.97784450885297,1976.4989960102293,412.68733710305634,1952.7896835034987
919b9bc1-Audio_SP14,e,300,456.36666410497895,1885.3977218543967,459.87273367179006,1890.3152574231797
9a0c18cb-Audio_SP14,e,250,446.32840886686057,1839.7543150238002,449.37607013822793,1874.8386464238206
a1a056ce-Audio_SP11,e,249,504.2103879394041,2200.1956779450643,513.0824039760433,2207.4851716585868
a452055c-Audio_SP11,e,476,443.34218675143603,1758.4770057325272,448.0859028041808,1750.1267193434492
adad0062-Audio_SP17,e,561,491.4258363092263,1843.747368300888,493.99280154952174,1864.687427348139
c3533b36-Audio_SP16,e,270,473.19279714389364,1791.8282553205509,483.796028752344,1816.9409256829385
cafd9c21-Audio_SP27,e,675,504.859416520138,1746.239999651958,507.8454101665283,1743.552444286182
d4c363bf-Audio_SP13,e,507,477.8881912650746,2106.468372351665,479.40249110988924,2075.0138197049623
dbeec025-Audio_SP13,e,377,550.1051738926066,1664.9950075041768,556.2368288017656,1675.581913142484
e90f8e4d-Audio_SP22,e,344,466.89362349532723,1933.6913702199954,471.2978486896162,1946.4501179187946
f061152e-Audio_SP12,e,374,584.8135835661226,1897.7418873537688,599.7055728940067,1946.6685020692978
fcd45f4d-Audio_SP21,e,336,450.6722735407801,1784.0221439857542,452.5825656599867,1786.589457848373
061ea7d0-Audio_SP16,i,391,408.4905835572322,2186.444145483857,432.94048746763184,2167.760277888855
0af9ac47-Audio_SP14,i,311,424.0586094263557,2072.764063555271,463.0259793910626,1994.9611586453038
0e6115f2-Audio_SP19,i,454,363.75402100885276,2236.9157168030583,380.13947020050927,2202.585214876501
0f786745-Audio_SP20,i,341,364.9529969539991,2206.065075214421,399.00006070014234,2203.7521813710255
12c532f8-Audio_SP15,i,335,339.2621380463467,2128.439073856431,361.4579244817957,2092.1804670427896
181d5ce9-Audio_SP21,i,153,370.6636842811711,2061.662590834107,406.30857323889217,2055.7912187804886
1c403477-Audio_SP13,i,412,368.7271664421987,2143.0811548158217,383.6973228206972,2136.7947919142302
1d46eb6e-Audio_SP18,i,470,388.0596141833414,2314.0596424260348,403.6119893308771,2315.0553425660373
2988c6fc-Audio_SP13,i,272,354.05792243492385,2278.099837678712,378.7471992408621,2245.8209406212377
2e25304d-Audio_SP12,i,126,422.8445961522043,2390.9260139160906,457.1170206900655,2347.7292241461173
30a90cb2-Audio_SP21,i,463,389.9585253132623,2161.6479660231325,411.2305652328887,2180.4365758404465
3361ee02-Audio_SP10,i,318,326.05188115777844,1817.0541496494225,359.26230721658186,1826.103314254133
34ad326e-Audio_SP7,i,148,328.085581929152,2052.528037785537,380.98420153564723,1968.9837005733677
375a28cd-Audio_SP16,i,307,359.5657591516237,2015.65910562298,380.7066959624037,2023.265477865403
42d56bbf-Audio_SP23,i,1061,298.23577392164367,2195.1096350052626,304.1944644051678,2152.119747078047
49ae7020-Audio_SP17,i,294,455.9433997145841,2350.8416167641144,472.44414594986114,2350.109589842138
501e6487-Audio_SP19,i,515,315.203844807071,1946.387789743236,317.92118003594095,1940.2200503877339
514fc6b6-Audio_SP19,i,412,479.9200182597631,2615.2503170572536,495.6833574340636,2521.5006595832433
51a17262-Audio_SP18,i,244,415.2774792812505,2755.126453021351,428.1292905656552,2657.6543865509393
5278b5b9-Audio_SP15,i,340,331.6504925823183,2232.7202081506075,332.8658853921473,2193.2344584157504
5586979c-Audio_SP18,i,432,385.32161066128754,2112.808593486856,391.77308572273677,2114.822832768995
5819ce7a-Audio_SP11,i,465,396.9327172864091,2336.254941209424,408.4220636760769,2334.034401957365
5a932187-audio_SP16,i,420,385.4092575531409,2129.8705824807494,394.116739552307,2127.4644719915414
63239054-Audio_SP15,i,292,363.353554301313,2033.8974075206324,371.23989180060454,2023.9276568514624
713a2f9b-Audio_SP16,i,389,326.65704483741587,2059.7839455549733,341.4162648541927,2094.8437857599483
7a414497-Audio_SP15,i,317,365.9938742202031,2148.677194910437,393.4370836630246,2117.228150246731
7aee4437-Audio_SP12,i,148,436.70779607302643,2268.9194720427195,457.15709939061105,2214.6899042135465
7c3c98d2-Audio_SP13,i,444,337.88367618642303,2523.878722036421,373.65056878481863,2443.950772772633
7dec1dd7-Audio_SP13,i,228,355.8062873208309,2086.106413792314,388.2912725627264,2048.7365393545124
7e277fda-Audio_SP28,i,419,404.8695511765242,2213.6059689718536,428.0869365108988,2196.6649641258964
85c7895f-Audio_SP16,i,695,335.8341628048969,2113.14689116978,352.268748418093,2081.52420293561
919b9bc1-Audio_SP14,i,235,335.61565993138623,2191.596975050916,358.8843586606619,2181.733775605523
9a0c18cb-Audio_SP14,i,241,308.4745147144019,2028.319377792238,331.9082919475392,2097.765368101552
