audio,vowel,n_points
061ea7d0-Audio_SP16,a,349
061ea7d0-Audio_SP16,e,330
061ea7d0-Audio_SP16,i,226
061ea7d0-Audio_SP16,o,355
061ea7d0-Audio_SP16,u,47
0af9ac47-Audio_SP14,a,515
0af9ac47-Audio_SP14,e,528
0af9ac47-Audio_SP14,i,261
0af9ac47-Audio_SP14,o,419
0af9ac47-Audio_SP14,u,46
0e6115f2-Audio_SP19,a,418
0e6115f2-Audio_SP19,e,450
0e6115f2-Audio_SP19,i,382
0e6115f2-Audio_SP19,o,439
0e6115f2-Audio_SP19,u,81
0f786745-Audio_SP20,a,525
0f786745-Audio_SP20,e,380
0f786745-Audio_SP20,i,358
0f786745-Audio_SP20,o,419
0f786745-Audio_SP20,u,81
12c532f8-Audio_SP15,a,515
12c532f8-Audio_SP15,e,417
12c532f8-Audio_SP15,i,227
12c532f8-Audio_SP15,o,368
12c532f8-Audio_SP15,u,81
181d5ce9-Audio_SP21,a,209
181d5ce9-Audio_SP21,e,235
181d5ce9-Audio_SP21,i,140
181d5ce9-Audio_SP21,o,249
181d5ce9-Audio_SP21,u,38
1c403477-Audio_SP13,a,339
1c403477-Audio_SP13,e,393
1c403477-Audio_SP13,i,325
1c403477-Audio_SP13,o,412
1c403477-Audio_SP13,u,58
1d46eb6e-Audio_SP18,a,756
1d46eb6e-Audio_SP18,e,702
1d46eb6e-Audio_SP18,i,460
1d46eb6e-Audio_SP18,o,618
1d46eb6e-Audio_SP18,u,118
2988c6fc-Audio_SP13,a,374
2988c6fc-Audio_SP13,e,297
2988c6fc-Audio_SP13,i,297
2988c6fc-Audio_SP13,o,274
2988c6fc-Audio_SP13,u,53
2e25304d-Audio_SP12,a,161
2e25304d-Audio_SP12,e,115
2e25304d-Audio_SP12,i,84
2e25304d-Audio_SP12,o,114
2e25304d-Audio_SP12,u,33
30a90cb2-Audio_SP21,a,354
30a90cb2-Audio_SP21,e,368
30a90cb2-Audio_SP21,i,395
30a90cb2-Audio_SP21,o,348
30a90cb2-Audio_SP21,u,54
3361ee02-Audio_SP10,a,254
3361ee02-Audio_SP10,e,265
3361ee02-Audio_SP10,i,201
3361ee02-Audio_SP10,o,250
3361ee02-Audio_SP10,u,51
34ad326e-Audio_SP7,a,231
34ad326e-Audio_SP7,e,183
34ad326e-Audio_SP7,i,125
34ad326e-Audio_SP7,o,154
34ad326e-Audio_SP7,u,28
375a28cd-Audio_SP16,a,422
375a28cd-Audio_SP16,e,415
375a28cd-Audio_SP16,i,312
375a28cd-Audio_SP16,o,487
375a28cd-Audio_SP16,u,90
42d56bbf-Audio_SP23,a,1096
42d56bbf-Audio_SP23,e,1330
42d56bbf-Audio_SP23,i,976
42d56bbf-Audio_SP23,o,1219
42d56bbf-Audio_SP23,u,328
49ae7020-Audio_SP17,a,269
49ae7020-Audio_SP17,e,289
49ae7020-Audio_SP17,i,248
49ae7020-Audio_SP17,o,238
49ae7020-Audio_SP17,u,33
501e6487-Audio_SP19,a,707
501e6487-Audio_SP19,e,634
501e6487-Audio_SP19,i,383
501e6487-Audio_SP19,o,598
501e6487-Audio_SP19,u,136
514fc6b6-Audio_SP19,a,575
514fc6b6-Audio_SP19,e,647
514fc6b6-Audio_SP19,i,414
514fc6b6-Audio_SP19,o,413
514fc6b6-Audio_SP19,u,95
51a17262-Audio_SP18,a,349
51a17262-Audio_SP18,e,426
51a17262-Audio_SP18,i,264
51a17262-Audio_SP18,o,335
51a17262-Audio_SP18,u,52
5278b5b9-Audio_SP15,a,235
5278b5b9-Audio_SP15,e,164
