audio,vowel,n_full_tokens,n_plot_tokens
061ea7d0-Audio_SP16,a,818,409
061ea7d0-Audio_SP16,e,756,378
061ea7d0-Audio_SP16,i,617,309
061ea7d0-Audio_SP16,o,714,357
061ea7d0-Audio_SP16,u,137,69
0af9ac47-Audio_SP14,a,988,494
0af9ac47-Audio_SP14,e,1081,541
0af9ac47-Audio_SP14,i,572,286
0af9ac47-Audio_SP14,o,862,431
0af9ac47-Audio_SP14,u,106,53
0e6115f2-Audio_SP19,a,851,426
0e6115f2-Audio_SP19,e,909,455
0e6115f2-Audio_SP19,i,836,418
0e6115f2-Audio_SP19,o,918,459
0e6115f2-Audio_SP19,u,139,70
0f786745-Audio_SP20,a,1175,588
0f786745-Audio_SP20,e,881,441
0f786745-Audio_SP20,i,699,350
0f786745-Audio_SP20,o,843,422
0f786745-Audio_SP20,u,223,112
12c532f8-Audio_SP15,a,1039,520
12c532f8-Audio_SP15,e,849,425
12c532f8-Audio_SP15,i,562,281
12c532f8-Audio_SP15,o,804,402
12c532f8-Audio_SP15,u,155,78
181d5ce9-Audio_SP21,a,454,227
181d5ce9-Audio_SP21,e,464,232
181d5ce9-Audio_SP21,i,293,147
181d5ce9-Audio_SP21,o,474,237
181d5ce9-Audio_SP21,u,72,36
1c403477-Audio_SP13,a,754,377
1c403477-Audio_SP13,e,924,462
1c403477-Audio_SP13,i,737,369
1c403477-Audio_SP13,o,936,468
1c403477-Audio_SP13,u,132,66
1d46eb6e-Audio_SP18,a,1460,730
1d46eb6e-Audio_SP18,e,1305,653
1d46eb6e-Audio_SP18,i,930,465
1d46eb6e-Audio_SP18,o,1191,596
1d46eb6e-Audio_SP18,u,267,134
2988c6fc-Audio_SP13,a,729,365
2988c6fc-Audio_SP13,e,604,302
2988c6fc-Audio_SP13,i,569,285
2988c6fc-Audio_SP13,o,524,262
2988c6fc-Audio_SP13,u,91,46
2e25304d-Audio_SP12,a,405,203
2e25304d-Audio_SP12,e,319,160
2e25304d-Audio_SP12,i,210,105
2e25304d-Audio_SP12,o,264,132
2e25304d-Audio_SP12,u,67,34
30a90cb2-Audio_SP21,a,806,403
30a90cb2-Audio_SP21,e,823,412
30a90cb2-Audio_SP21,i,858,429
30a90cb2-Audio_SP21,o,777,389
30a90cb2-Audio_SP21,u,107,54
3361ee02-Audio_SP10,a,575,288
3361ee02-Audio_SP10,e,589,295
3361ee02-Audio_SP10,i,519,260
3361ee02-Audio_SP10,o,504,252
3361ee02-Audio_SP10,u,120,60
34ad326e-Audio_SP7,a,475,238
34ad326e-Audio_SP7,e,385,193
34ad326e-Audio_SP7,i,273,137
34ad326e-Audio_SP7,o,322,161
34ad326e-Audio_SP7,u,59,30
375a28cd-Audio_SP16,a,854,427
375a28cd-Audio_SP16,e,887,444
375a28cd-Audio_SP16,i,619,310
375a28cd-Audio_SP16,o,997,499
375a28cd-Audio_SP16,u,203,102
42d56bbf-Audio_SP23,a,2356,1178
42d56bbf-Audio_SP23,e,2706,1353
42d56bbf-Audio_SP23,i,2037,1019
42d56bbf-Audio_SP23,o,2443,1222
42d56bbf-Audio_SP23,u,702,351
49ae7020-Audio_SP17,a,626,313
49ae7020-Audio_SP17,e,652,326
49ae7020-Audio_SP17,i,542,271
49ae7020-Audio_SP17,o,565,283
49ae7020-Audio_SP17,u,87,44
501e6487-Audio_SP19,a,1576,788
501e6487-Audio_SP19,e,1452,726
501e6487-Audio_SP19,i,898,449
501e6487-Audio_SP19,o,1210,605
501e6487-Audio_SP19,u,303,152
514fc6b6-Audio_SP19,a,1228,614
514fc6b6-Audio_SP19,e,1269,635
514fc6b6-Audio_SP19,i,826,413
514fc6b6-Audio_SP19,o,831,416
514fc6b6-Audio_SP19,u,201,101
51a17262-Audio_SP18,a,727,364
51a17262-Audio_SP18,e,835,418
51a17262-Audio_SP18,i,508,254
51a17262-Audio_SP18,o,637,319
51a17262-Audio_SP18,u,110,55
5278b5b9-Audio_SP15,a,514,257
5278b5b9-Audio_SP15,e,411,206
5278b5b9-Audio_SP15,i,524,262
5278b5b9-Audio_SP15,o,490,245
5278b5b9-Audio_SP15,u,98,49
5586979c-Audio_SP18,a,1250,625
5586979c-Audio_SP18,e,1221,611
5586979c-Audio_SP18,i,740,370
5586979c-Audio_SP18,o,1061,531
5586979c-Audio_SP18,u,113,57
5819ce7a-Audio_SP11,a,1150,575
5819ce7a-Audio_SP11,e,1090,545
5819ce7a-Audio_SP11,i,847,424
5819ce7a-Audio_SP11,o,819,410
5819ce7a-Audio_SP11,u,144,72
5a932187-audio_SP16,a,1165,583
5a932187-audio_SP16,e,1041,521
5a932187-audio_SP16,i,810,405
5a932187-audio_SP16,o,898,449
5a932187-audio_SP16,u,212,106
63239054-Audio_SP15,a,729,365
63239054-Audio_SP15,e,646,323
