vowel,cluster,n_speakers,f1_median_mean,f2_median_mean,f3_median_mean,f1_median_median,f2_median_median,f3_median_median
a,1,2,625.3917554647542,884.0926217384601,1652.5351481014723,625.3917554647542,884.0926217384601,1652.5351481014723
a,2,19,596.354309640708,1425.7583685962354,2407.3163129310187,609.5767928202173,1428.624782600808,2374.0553696035768
a,3,22,707.9465484737916,1584.1171707750575,2675.17952002727,693.3101317176097,1557.8384268739783,2608.179786773183
e,1,22,450.0348016056552,1832.0206274004079,2566.4878957220044,449.45642301997225,1841.719878776565,2576.8051284770017
e,2,19,527.3943881801528,1976.6105941532132,2778.6912555649305,520.6957793353644,1974.2373095128603,2732.192218948029
e,3,2,415.3910922108429,2085.4114375062973,3635.6803017976345,415.3910922108429,2085.4114375062973,3635.6803017976345
i,1,30,365.8192866085534,2097.494452794938,2732.1066323938567,362.9093881783805,2099.676094723045,2724.363958950389
i,2,2,312.14829554223655,2136.7560064761497,3493.7379075383924,312.14829554223655,2136.7560064761497,3493.7379075383924
i,3,11,421.51567097715196,2464.3145635827436,3070.4510416362978,420.8222314108283,2411.643823070924,3066.743482596936
o,1,9,468.0893999368284,982.3444502605637,2526.1539075907403,478.5544978352185,982.2333116962157,2476.687529953062
o,2,5,487.11409888884907,1042.942127944517,2134.927578931627,498.52475526709503,1018.425424562808,2163.25230530694
o,3,8,507.55104593396766,1114.004230691503,2381.990217782562,512.0194119847531,1110.171926051611,2396.317991052895
o,4,10,522.4135647256305,1120.5389151933364,2641.4166697463024,512.663866549068,1118.7282119650777,2643.5890667217054
o,5,2,548.0910256831667,1147.9211879784225,3051.5517126097175,548.0910256831667,1147.9211879784225,3051.5517126097175
o,6,4,452.21173252410745,1158.2080211317552,2584.9196441762488,456.6021384968967,1177.4273061999716,2576.428266424564
o,7,2,593.8981901796194,1216.704980369828,2333.9475784808574,593.8981901796194,1216.704980369828,2333.9475784808574
o,8,3,616.0570606688715,1331.7647867290036,2753.283220464303,629.2976685259247,1348.2862424776984,2789.5947359650945
u,1,8,408.09484944167707,879.4543726270479,2285.89014252044,410.8828989700638,881.0411918895995,2274.0136600567557
u,2,14,418.8331755286409,904.2193557911368,2629.6622446672623,424.76100182046025,904.2164723572298,2627.1892807603217
u,3,4,493.33082585926655,936.0684875742766,2768.966376187067,498.31048856345535,946.1725419517113,2681.9643485012166
u,4,5,362.6726838207963,996.148503674555,2502.334958886896,362.0744260890253,998.8292556763474,2581.481093452334
u,5,10,457.59952535512895,1039.5363590454126,2432.9409399490128,461.1918313461306,1034.1917837959309,2460.982150105951
u,6,2,370.26002317733514,1167.8977088691495,2765.38334585718,370.26002317733514,1167.8977088691495,2765.38334585718
